sector_tab_order,cluster,priority_score,company,domain,hq_country,subsector,sells (what & to whom),employees_est,"valuation (date, round)",crossed $1B,latest round,revenue evidence,f1_risk,why_f1 / angle,verify flags
4,Health,50,Thyme Care,thymecare.com,USA,Digital Health,"Value-based oncology care navigation - coordinates cancer patients' care across payers/providers to reduce costly, fragmented treatment",~500 (est),$2B+,"2026-09-02 (Series E roughly doubled prior valuation past $2B, having already been near/above $1B at Series D within the prior year)","Series E, $125M, led by Morgan Health with Humana and CVS Health Ventures participating","Real revenue evidence - reported ~$174M ARR (2025, per Latka)","Low - no F1 ties found; strategic backers are health insurers (Humana, CVS), not F1-adjacent",Dignity framing: cancer-patient navigation and support - high sensitivity category; messaging should emphasize patient support/access rather than commercial growth metrics.,f1-risk note
4,Health,46,MiRus,mirusmed.com,USA,Medtech & Diagnostics,"Molybdenum-rhenium (MoRe) biomaterials platform for spine implants, plus a balloon-expandable TAVR (transcatheter aortic valve replacement) system in development",~200 (est),$4.4B,2026-05-18,"$1.5B strategic investment from Boston Scientific (~34% stake) for MiRus LLC, incl. exclusive option to acquire the TAVR program for further milestone payments up to $3B total","Revenue unproven at scale - spine biomaterials commercial, but flagship TAVR product still pre-market; Boston Scientific's own SEC 8-K/10-Q confirm the deal structure","Low - no F1 ties found; strategic investor is Boston Scientific (medtech, not motorsport-adjacent)","Dignity framing: cardiovascular and spine implant patients; a premium medtech sponsor with a marquee-name partner (Boston Scientific) could support a 'engineering for the human body' narrative, but product is still pre-commercial for its highest-value indication so messaging should stay technical rather than patient-testimonial-led.",revenue unproven; f1-risk note
4,Health,43,vVardis,vvardis.com,Switzerland,Medtech & Diagnostics,"Curodont - a biomimetic, drill-free and needle-free treatment that repairs early-stage tooth decay",~150 (est),$1B+,2026-04 (investment from Apollo Global Management),Investment from Apollo Global Management valuing the company at $1B-plus; company reportedly preparing for a possible US IPO in 2026,Has commercial product sales through dental clinics (Curodont is marketed); exact revenue undisclosed,Low - no F1 ties found; founder-led Swiss dental-science company (sisters Haley and Goly Abivardi),"Dignity framing: drill-free, pain-free dental care - strong patient-comfort narrative with broad consumer appeal, low regulatory sensitivity.",f1-risk note
4,Health,36,HistoSonics,histosonics.com,USA,Medtech & Diagnostics,"Edison histotripsy system - a noninvasive, sound-wave based tumor destruction device, FDA-cleared for liver tumors and expanding to kidney/pancreas/prostate cancer",~300 (est),$3.75B (following $2.25B majority-stake deal),2025-08 (crossed $1B via $2.25B majority stake acquisition by K5 Global/Bezos Expeditions-led consortium); further financing Oct 2025,"$250M financing Oct 17 2025 with Bezos Expeditions, Thiel Bio, Wellington Management, Founders Fund participating, following the Aug 2025 $2.25B majority-stake transaction",Has commercial revenue - FDA-cleared device in market since ~2023 for liver cancer; exact figures undisclosed,Low - no F1 ties found,Dignity framing: noninvasive cancer therapy that avoids surgery/radiation for vulnerable oncology patients; strong human-interest and quality-of-life narrative but avoid overstating cure claims - stick to FDA-cleared indications.,f1-risk note
4,Health,35,Garner Health,getgarner.com,USA,Digital Health,"Healthcare navigation/provider-quality analytics platform for self-insured employers, using claims data to rank and steer employees to higher-quality doctors",~500 (est),$2.74B,2026-05-28,"Series E, $100M, led by Index Ventures; participation from Kleiner Perkins, Redpoint, Thrive Capital, Sequoia, Founders Fund, Kaiser Permanente Ventures","Revenue unproven publicly (B2B enterprise contracts with self-insured employers, no disclosed ARR)",Low - no F1 ties found; B2B health-benefits company,Not directly patient-facing (B2B analytics for employers) so dignity framing is muted; positioning would center on data/analytics and cost-of-care rather than individual patient stories.,revenue unproven; f1-risk note
4,Health,33,Kailera Therapeutics,kailera.com,USA,Biotech & Longevity,GLP-1-based obesity therapeutics - four clinical-stage candidates across multiple mechanisms/administration routes,~100 (est),$1B+ (est) - exact current figure not independently reconfirmed in this research pass,2025 (spun out Dec 2024 from Atlas Venture/Hengrui licensing deal with ~$400M Series A; reported to have raised a much larger round in 2025 pushing valuation into billions - flagged for reconfirmation),Series A ~$400M (Dec 2024) plus a larger 2025 round (amount/lead investor not independently reconfirmed this pass - est),Revenue unproven - clinical-stage obesity biotech,"Low apparent risk, but this entry carries lower confidence on exact valuation/round terms - verify before outreach",Dignity framing: obesity treatment touches body-image and metabolic-health sensitivities; frame around metabolic health/science rather than weight-loss aesthetics.,revenue unproven; f1-risk note
4,Health,32,Hemab Therapeutics,hemab.com,Denmark,Biotech & Longevity,"Biopharmaceutical pipeline for rare bleeding disorders (Glanzmann Thrombasthenia, Von Willebrand Disease, Factor VII Deficiency, Heavy Menstrual Bleeding), incl. lead candidate sutacimig",~120 (est),$2B (per Dealroom),2026 (upsized IPO),"Upsized IPO in 2026, following prior Series C financing",Revenue unproven - clinical-stage rare-disease biotech (lead asset in Phase 2),"Low - no F1 ties found; now publicly traded (Copenhagen-founded, US-listed)","Dignity framing: very high sensitivity - serious, often life-threatening rare bleeding disorders including patients currently lacking adequate therapies; framing must be respectful and avoid false hope given investigational status.",revenue unproven; f1-risk note
4,Health,32,Parabilis Medicines,unconfirmed (est) - unable to verify official domain in this research pass,USA,Biotech & Longevity,"Cancer therapeutics (oncology-focused biopharmaceutical pipeline); Cambridge, MA based per Dealroom",~100 (est),$4.5B (per Dealroom),2026 (IPO); private Series F raised January 2026 preceded the IPO,Series F (January 2026) followed by 2026 IPO,Revenue unproven - clinical-stage oncology biotech,Confidence lower than other entries - could not independently verify company domain/details beyond Dealroom and Crunchbase News listings; recommend re-confirming before outreach,Dignity framing: cancer therapeutics - high sensitivity; avoid premature efficacy claims given clinical stage.,revenue unproven; f1-risk note
4,Health,29,METIS TechBio (剂泰科技),metistechbio.com,China,Biotech & Longevity,"AI-driven nanoparticle drug-delivery platform (AiLNP, NanoForge) and pipeline candidates incl. MTS-004 and MTS-105 (hepatocellular carcinoma)",~150 (est),"$1.2B (per Dealroom, IPO 2026)","2026 (IPO, per Dealroom); most recent disclosed private round was a Series D of RMB 400M (~$55-60M) in August 2025, valuation not disclosed for that round","IPO 2026 (Beijing-based); prior Series D RMB 400M, Aug 2025",Revenue unproven - preclinical/early pipeline nanotech-biotech,"Chinese company - no evidence found of state ownership or sanctions, but flagged for standard extra diligence given HQ; no F1 ties found",Dignity framing: drug-delivery platform aimed at hard-to-treat cancers (hepatocellular carcinoma); moderate sensitivity; ensure no state-ownership issues are confirmed before outreach given China HQ.,revenue unproven; f1-risk note
4,Health,29,Pomelo Care,pomelocare.com,USA,Digital Health,"Virtual maternity, fertility, and pediatric care coordinated with payers/employers/labor unions - clinical support for high-risk pregnancy and early childhood",~150 (est),$1.7B,"2026 (mid-year, per industry roundups)","Series C, $92-171M reported total raised, led by Andreessen Horowitz with SV Angel, BoxGroup, Stripes, Plus Capital",Revenue unproven (not disclosed); payer/employer contract model,Low - no F1 ties found,Dignity framing: maternal and infant health for often-underserved populations - high-sensitivity category; messaging must avoid commodifying pregnancy/childbirth outcomes and should defer to clinical framing over marketing.,revenue unproven; f1-risk note
4,Health,29,Retro Biosciences,retro.bio,USA,Biotech & Longevity,"Longevity therapeutics platform (autophagy, plasma-inspired therapeutics, cellular reprogramming) including an Alzheimer's clinical-trial pill (RTR242)",~130 (est),$1.8B,2026-05-22,New financing round (initial close) led by 4P Capital; backed by OpenAI CEO Sam Altman,"Revenue unproven - clinical-stage biotech, first human trial underway",Low - no F1 ties found,Dignity framing: Alzheimer's patients and aging populations - high sensitivity; avoid any 'cure' language given trial is early-stage.,revenue unproven; f1-risk note
4,Health,28,Kestra Medical Technologies,kestramedical.com,USA,Medtech & Diagnostics,ASSURE wearable cardioverter defibrillator system for patients at risk of sudden cardiac arrest,~600 (est),$1.2B,2025-03-06 (IPO),IPO raised $202M,"Has commercial revenue - device on market, publicly traded with reported financials","Low - no F1 ties found; now a public company, so sponsorship would need investor-relations sign-off","Dignity framing: cardiac-arrest prevention for at-risk patients - sensitive, life-safety category; strong technical/engineering story, avoid alarmist messaging about cardiac death risk.",f1-risk note
4,Health,28,Kriya Therapeutics,kriyatx.com,USA,Biotech & Longevity,"Gene-therapy platform targeting chronic diseases (geographic atrophy, thyroid eye disease, type 1 diabetes, steatotic liver disease, trigeminal neuralgia); also publishing longevity-adjacent gene-therapy research (AAV-FGF21 lifespan extension in mice)",~150 (est),"~$2B (est, per secondary sources; not independently confirmed at exact figure)",2025-09 (Series D),"Series D, $320M, announced September 2025",Revenue unproven - clinical/preclinical-stage gene therapy company; therapies explicitly not yet approved by any regulator,Low - no F1 ties found,Dignity framing: gene therapy for serious chronic diseases; sensitive category given investigational status - messaging must not imply approved treatments exist yet.,revenue unproven; f1-risk note
4,Health,25,Caris Life Sciences,carislifesciences.com,USA,Medtech & Diagnostics,"Precision-oncology molecular profiling platform (DNA/RNA/protein analysis of tumor tissue and blood, incl. Caris Detect multi-cancer early-detection blood test) for cancer patients, physicians and biopharma partners","~2,500 (est) - established lab/diagnostics company (founded 2008) with 1.1M+ patient cases and 6.5M+ tests completed",$4.2B (per Dealroom; some other reports suggest a higher IPO valuation - treat exact figure as (est)),2025 (IPO),"IPO, 2025 (Irving, TX headquartered)",Has substantial commercial revenue - large-scale precision-oncology diagnostics lab with millions of tests run; specific figures not captured this pass,Low - no F1 ties found; now publicly traded,"Dignity framing: cancer diagnostics directly serving patients - high sensitivity, strong 'precision medicine' narrative; avoid overstating diagnostic certainty in any messaging.",f1-risk note
4,Health,25,Kardium,kardium.com,Canada,Medtech & Diagnostics,Globe Pulsed Field System - a cardiac ablation device for treating atrial fibrillation (AFib),~400 (est),$1.7B+ (est) - exact current figure not independently reconfirmed in this research pass,"2024-2025 (est) - reported to have reached unicorn status around 2024; $250M raise in July 2025 and FDA approval (Sept 2025) likely increased valuation further, exact crossing date within window not confirmed","$250M round, July 2, 2025 (CA$340M), supporting commercial launch/manufacturing; prior $104M round June 2024 led by Fidelity Management & Research, T. Rowe Price, Durable Capital Partners","Newly commercial - FDA approval Sept 3, 2025; first commercial procedures announced Oct 1, 2025; Health Canada approval Aug 2026 - revenue still ramping/largely unproven at scale","Low apparent risk, but exact crossing-date-within-window is not fully confirmed - verify before outreach",Dignity framing: AFib treatment for cardiac patients - moderate-high sensitivity; strong 'advancing heart disease treatment' narrative given recent FDA approval.,revenue unproven; f1-risk note
4,Health,21,Science Corporation,sciencecorp.com,USA,Medtech & Diagnostics,"Therapeutic implantable devices, incl. the Science Eye retinal/vision-restoration implant program and other neurotechnology (led by Max Hodak, ex-Neuralink)",~180 (est),$1.5B (est),2026 (per industry roundup; exact date/round terms not independently confirmed - flagged as (est)),Details unconfirmed (est) - unable to verify primary round size/lead investor from public sources checked,Revenue unproven - clinical/device development stage,"Low apparent risk, but confidence in this entry is lower than others given limited primary-source verification; recommend re-confirming valuation/round before outreach","Dignity framing: restoring vision to blind patients is a powerful, sensitive narrative - any sponsorship messaging must avoid overpromising on unapproved/investigational device outcomes.",revenue unproven; f1-risk note; valuation provisional
4,Health,19,Livsmed,livsmed.com,South Korea,Medtech & Diagnostics,"ArtiSential multi-joint articulating laparoscopic surgical instruments; developing STARK, a home-grown surgical robot",~400 (est),~$1B (₩1.4 trillion market cap),2025-12-24 (KOSDAQ IPO),"IPO raised ₩135.9B (~$94M) at ₩55,000/share - largest KOSDAQ IPO of 2025",Has commercial revenue - established surgical-instrument maker with existing product sales prior to IPO,Low - no F1 ties found; South Korean medtech manufacturer,"Dignity framing: minimally invasive surgical tools improving patient outcomes; moderate sensitivity, technical/engineering narrative fits well.",f1-risk note
5,Consumer,48,Rhode,rhodeskin.com,USA,Consumer Brands,"Hailey Bieber-founded lifestyle skincare and beauty brand (skin-tint, lip products, minimalist skincare)",~60-100 (est),"$1B (acquisition, up to $200M in earnout)","May 28, 2025",Acquired by e.l.f. Beauty for $1B ($800M cash+stock + up to $200M performance earnout),"$212M net sales for the twelve months ended March 31, 2025, profitable, more than doubled consumer base YoY",low,"Massive Gen Z/Millennial beauty following, now backed by e.l.f. Beauty's retail/marketing scale; strong mass-market activation candidate. No F1 ties.",f1-risk note
5,Consumer,47,Nordic Knots,nordicknots.com,Sweden,Consumer Brands,"Scandinavian-design home textiles: handwoven wool/linen/jute rugs, curtains, bedding",~200-350 (est),$2.2B (€1.9B),March 2026,"$100M (€86M) raise led by Imaginary Ventures, w/ Creades, Iris Ventures, St Dominique Capital",Targeting $100M+ revenue in 2026 (company-reported); expanding physical flagship retail in major fashion capitals,low,"Fast-scaling premium lifestyle/home brand expanding into global fashion capitals; affluent, design-conscious consumer base overlaps with F1 paddock/lifestyle audience. No F1 ties.",f1-risk note
5,Consumer,34,ShopMy,shopmy.us,USA,Consumer Apps & Marketplaces,"Creator-driven commerce infrastructure connecting brands, tastemakers/influencers, and shoppers (curated affiliate/product-linking platform)",~100-150 (est),$1.5B,October 2025,"$70M growth round led by Avenir, w/ Bain Capital Ventures, Bessemer, Menlo",Facilitates $1B+ in annual sales (GMV) through the platform; reported profitable since 2024,low,Fast-growing creator-commerce infra reaching beauty/fashion/lifestyle shoppers; mass-market DTC audience overlaps with F1's growing female/Gen-Z fanbase. No F1 or motorsport ties found.,f1-risk note
5,Consumer,34,Substack,substack.com,USA,Gaming & Media,"Creator economy publishing platform for newsletters, podcasts, and video subscriptions",~100-150 (est),$1.1B,July 2025,"Series C, $100M led by BOND and The Chernin Group","~$45M ARR estimated (Sacra, July 2025), 5M+ paid subscriptions across the platform as of March 2025",low,"Leading creator/media publishing platform; potential content-partnership angle (driver newsletters, paddock storytelling, team media) rather than trackside branding. No F1 ties.",f1-risk note
5,Consumer,32,Fresha,fresha.com,United Kingdom,Consumer Apps & Marketplaces,"Booking and payments marketplace for salons, spas, and wellness/beauty businesses",~700-1000 (est; global marketplace scale),$1B,May 2026,"Series C, $80M",Revenue not fully disclosed; monetizes via transaction fees + SaaS subscriptions across large global salon/spa network,low,Global beauty/wellness booking marketplace with broad mainstream consumer reach; potential lifestyle/beauty activation partner. No F1 ties.,f1-risk note
5,Consumer,32,ModRetro,modretro.com,USA,Gaming & Media,Modern-engineered retro handheld gaming hardware (Palmer Luckey-founded),"~40-70 (est, likely under 51)",$1B,March 2026,"Series A, $195M (total raised $217M)",Revenue unproven publicly; early-stage hardware sales to collector/enthusiast niche,low,Collectible/nostalgia gaming hardware brand with cult following and high-profile founder; could support limited-edition merch/collab activations. No F1 ties. Note: headcount likely below the 51+ preference.,revenue unproven; f1-risk note
5,Consumer,28,Ninja,ninja.sa,Saudi Arabia,Consumer Apps & Marketplaces,Quick-commerce grocery and essentials delivery app,~200-400 corporate (est; plus delivery workforce),$2B,July 2025,Unicorn round; $254M raised to date,Revenue not disclosed; fast GMV growth in Saudi quick-commerce category,low,Fast-growing Saudi quick-commerce app in a market hosting a Formula 1 race (Jeddah); potential regional activation/promo tie-in. No existing F1 sponsorship ties found.,f1-risk note
6,Industrial & Mobility,58,Sharpa,sharpa.ai (est),Singapore,Mobility & Autonomy,Robots designed to operate autonomously in real-world/outdoor physical environments,180 (est),$3.3B,August 2026,$669M funding,revenue unproven,none identified,Singapore robotics company; no F1/auto exposure found,revenue unproven
6,Industrial & Mobility,40,Advanced Manufacturing Company of America,amca-us.com (est),USA,Manufacturing & Materials,Contract manufacturer of precision defense and aerospace parts,400 (est),$1.1B,May 2026,$300M Series B (Caffeinated Capital),"revenue unproven (private, defense-parts backlog cited but not disclosed)",none identified,Defense/aerospace parts manufacturer; no motorsport supply relationship found,revenue unproven
6,Industrial & Mobility,39,Mahindra Last Mile Mobility,mahindralastmile.com (est),India,Mobility & Autonomy,Electric three-wheeler and last-mile EV manufacturing (Mahindra Group EV subsidiary),"1,200 (est)","~$1.3B (INR 10,822 crore) (est, FX-based)",July 2026,~INR 322 crore funding round,"Operating EV manufacturer with existing commercial sales (revenue evidence: established EV product line, exact figures unproven)",medium - parent-linkage check needed,"Parent Mahindra Group has past motorsport involvement (Formula E via Mahindra Racing, since exited); no current F1 tie, but sponsorship team should verify no residual conflict before outreach given Mahindra brand's motorsport history",revenue unproven; f1-risk note
6,Industrial & Mobility,34,Nearfield Instruments,nearfieldinstruments.com,Netherlands,Manufacturing & Materials,Metrology instruments (atomic force microscopy-based) for semiconductor fab process control,180 (est),$1.6B,June 2026,growth round (amount undisclosed in source),revenue unproven; sells into leading-edge fabs (ASML-ecosystem supplier reputation),none identified,Semiconductor metrology tool maker; no automotive/motorsport exposure found,revenue unproven
6,Industrial & Mobility,34,SendCutSend,sendcutsend.com,USA,Manufacturing & Materials,"On-demand custom sheet metal, CNC and waterjet fabrication marketplace (laser cutting, CNC machining, finishing) for makers and Fortune 500 manufacturers",250 (est),$1B,May 2026,"$110M Series A (Paradigm, Sequoia)",Profitable/high-growth per founders; total raised only ~$123M pre-unicorn implying strong revenue base (exact figures unproven),none identified,"US industrial fabrication marketplace with no motorsport, auto-OEM or F1 sponsorship ties found",revenue unproven
6,Industrial & Mobility,33,Porter,porter.in,India,Logistics & Supply Chain,"Last-mile delivery, intra-city logistics and mini-truck/vehicle booking platform for businesses",900 (est),$1.2B,2025,"$200M round (Kedaara Capital, Wellington Management, Tiger Global, Sequoia)",Established multi-city operating logistics business; exact revenue unproven publicly,none identified,India intra-city logistics platform; no F1 ties found,revenue unproven
6,Industrial & Mobility,29,Nominal,nominal.io,USA,Manufacturing & Materials,"Software platform (Nominal Core/Connect) for hardware test data capture and analysis used by aerospace, defense and industrial engineering teams",150 (est),$1B,March 2026,"$115M Series B (Founders Fund, Sequoia)","revenue unproven; customers include Anduril, Regent, Hermeus, Scout AI",low,"Hardware-testing software vendor to aerospace/defense primes; no F1 team or auto-OEM customer disclosed, but adjacent to motorsport-relevant telemetry/test tooling space worth re-checking before outreach",revenue unproven; f1-risk note
6,Industrial & Mobility,27,Agrovision,agrovision.com (est),USA,AgTech & FoodTech,"Grower, packer, shipper and marketer of superfruits (cherries, berries) using proprietary genetics and data analytics","800 (est, seasonal ag workforce)",$1B,2025 (approx.),$100M round,Operating agribusiness with commercial fruit sales; exact revenue unproven publicly,none identified,US fruit agribusiness; no F1/auto ties found,revenue unproven
6,Industrial & Mobility,27,Halter,halterhq.com,New Zealand,AgTech & FoodTech,"Solar-powered smart livestock collars enabling virtual fencing, herd movement, and health/heat monitoring for dairy and beef farms",700 (est),$1B+,2025,"growth round (Blackbird, DST Global reported)","Thousands of paying farms across NZ, Australia, US reported; exact revenue unproven",none identified,Agtech livestock-hardware company; no motorsport ties found,revenue unproven
6,Industrial & Mobility,27,Jumbotail,jumbotail.com,India,AgTech & FoodTech,B2B food and grocery marketplace digitizing procurement for small kirana/corner retailers,600 (est),$1B,2025,growth round,GMV-based marketplace with disclosed retailer network; exact revenue unproven,none identified,India B2B food marketplace; no F1 ties found,revenue unproven
6,Industrial & Mobility,24,Fruitist,fruitist.com,USA,AgTech & FoodTech,Premium fresh-fruit brand (blueberries) using proprietary varietals and data-driven agriculture for quality/shelf-life,300 (est),$1B,2025,growth round,National US retail distribution (major grocery chains) reported; exact revenue unproven,none identified,Consumer fruit/agtech brand; no F1 ties found,revenue unproven
7,Fintech & Digital Assets,42,Barq,barq.sa (est),Saudi Arabia,Fintech Crossers,Digital payments and mobile wallet platform for consumers and merchants in Saudi Arabia,400 (est),$1.85B,September 2026,"Series A, $329.5M (Noon Investments, Sohar International Bank, M20 Fund)",revenue unproven publicly; company cites SR440B+ in processed transaction volume and 15M users as traction proxy,low-medium,Uses Mastercard/UnionPay network rails as a standard card-issuing partner (not an ownership/parent relationship); Saudi Arabia hosts the Jeddah F1 race but Barq itself has no direct or state-linked F1 sponsorship identified,revenue unproven; f1-risk note
7,Fintech & Digital Assets,37,Tempo,tempo.xyz,United States,Digital Assets & Stablecoins,"Stablecoin-native, Ethereum-compatible Layer-1 payments blockchain built for high-throughput enterprise settlement","45 (est, below 51 -- flagged; offset by valuation well above $2B)",$5B,October 2025,"Series A, $500M (led by Thrive Capital and Greenoaks; incubated by Stripe and Paradigm)","revenue unproven -- pre-mainnet/early network with design partners including Shopify, Visa, Deutsche Bank; no transaction/revenue figures disclosed",low,"Backers (Thrive Capital, Greenoaks, Sequoia, Ribbit) and incubators (Stripe, Paradigm) have no known F1 team or series sponsorship",revenue unproven; f1-risk note
7,Fintech & Digital Assets,36,Ominimo,ominimo.com,Hungary/Serbia,Insurtech,AI- and data-driven motor (car) insurance underwriting and distribution,130,$1.6B (€1.4B),July 2026,"Series B, €20.1M/€22.5M (led by EBRD venture arm; Zurich Insurance as strategic minority shareholder)","Strong evidence: profitable; annualized gross written premium run-rate ~€350M (2024: ~€26.3M, 2025: ~€157.8M)",low,"No known F1/motorsport ties for Ominimo, EBRD, or Zurich Insurance's minority stake",f1-risk note
7,Fintech & Digital Assets,35,Whop,whop.com,United States,Digital Assets & Stablecoins,Creator/community commerce marketplace increasingly built around stablecoin payment rails (Tether-backed),180 (est),$1.6B,February 2026,"Strategic round, $200M (Tether)","revenue unproven publicly; marketplace take-rate model on creator sales, no disclosed revenue figure. NOTE: primarily a creator-commerce marketplace -- stablecoin rails are a growing but not sole business line, so sector fit is borderline",low-medium,Sole strategic investor Tether has no known direct F1 sponsorship (unlike Crypto.com/OKX/Bybit/Kraken/Gate.io); flag only because Tether is a major stablecoin issuer active across crypto-sponsorship deals generally,revenue unproven; f1-risk note
7,Fintech & Digital Assets,33,Erebor Bank,erebor.com (est),United States,Fintech Crossers,"Nationally chartered digital bank serving crypto companies, stablecoin issuers, AI/defense-tech and 'innovation economy' clients","60 (est, flagged: below 51-employee comfort threshold is offset by valuation far above $2B)",$4.35B,December 2025,"Seed/Series A, $635M (led by Lux Capital; backed by Peter Thiel)","revenue unproven -- pre-launch/early-stage chartered bank, no public revenue disclosed",low,Founder Palmer Luckey (Anduril) and backer Peter Thiel/Lux Capital have no known F1 team or series sponsorship,revenue unproven; f1-risk note
7,Fintech & Digital Assets,29,Mesh,meshconnect.com,United States,Digital Assets & Stablecoins,"Crypto payments connectivity layer linking wallets, exchanges and stablecoins so merchants can accept crypto and settle in stablecoin/fiat",120 (est),$1B,January 2026,"Series C, $75M (led by Dragonfly Capital; Paradigm)","Company states ~$10B/month in payments volume processed via partnerships with PayPal, Revolut, Ripple, Paxos and Rain; net revenue not disclosed (revenue unproven)",low,Not a crypto exchange (infrastructure/connectivity layer); no known F1/motorsport sponsorship by Mesh or lead investors,revenue unproven; f1-risk note
7,Fintech & Digital Assets,29,Moneybox,moneyboxapp.com,United Kingdom,Fintech Crossers,"Digital wealth app for retail investors -- ISAs, pensions, and automated round-up investing/savings",230 (est),$1.1B,2026,"Secondary share sale, £45M","UK press has reported Moneybox approaching/at profitability with growing AUM-based and subscription revenue; precise figures unconfirmed (revenue unproven, exact numbers)",low,No known F1/motorsport ties; UK consumer investing app with no motorsport sponsorship history found,revenue unproven; f1-risk note
7,Fintech & Digital Assets,29,Slash,slash.com (est),United States,Fintech Crossers,"Business banking platform combining corporate cards, payments and accounting automation for SMBs/e-commerce brands",150 (est),$1.4B,April 2026,"Series C, $100M (Ribbit Capital, Khosla Ventures, Goodwater Capital)","revenue unproven publicly; company cites strong transaction volume growth among SMB/e-commerce customers, no disclosed revenue figure",low,"No known F1/motorsport sponsorship by Slash or its investors (Ribbit Capital, Khosla Ventures, Goodwater Capital)",revenue unproven; f1-risk note
7,Fintech & Digital Assets,29,Super.com,super.com,United States,Fintech Crossers,"Consumer fintech 'super app' bundling discounted travel booking, cashback/rewards and savings/banking products",300 (est),$1.2B,2026,"Series D, $65M",Company has publicly stated it is profitable/cash-flow positive on hundreds of millions in annual bookings; exact revenue figure not disclosed,low,No known F1/motorsport ties for Super.com or its investor base,f1-risk note
8,Software & Cyber,37,Arena,arena.ai (unverified — possible name collision with unrelated brands),USA,Devtools & Data,AI decision-intelligence / enterprise data platform,~45 (est) — FLAG: valuation $1.7B is below the $2B exception bar for sub-51 headcount,$1.7B,January 2026,$150M Series A,revenue unproven,none,No F1/motorsport ties identified; confirm exact legal entity before outreach given generic name,revenue unproven
8,Software & Cyber,37,Exein,exein.io,Italy,Cybersecurity,"Embedded/physical-AI cybersecurity for industrial devices, robots, drones and autonomous vehicles (IoT/OT security)","~40 (est) — FLAG: below the preferred 51-employee threshold and valuation $1.7B is under the $2B exception bar; included for completeness, review headcount risk before adding",$1.7B,"September 16, 2026","$270M round led by Headline, with European Investment Bank participation",revenue unproven,none,"Headline/EIB-backed; no F1/motorsport ties identified; EIB is an EU public development bank, not a sanctioned or distressed state entity",revenue unproven
8,Software & Cyber,32,Xbow,xbow.com,USA,Cybersecurity,"Autonomous ""AI hacker"" offensive-security platform that finds and validates software vulnerabilities",~70 (est),$1.32B,May 2026,$155M Series C led by Samsung (strategic),revenue unproven,flag,"Samsung participated as a minority strategic investor in the Series C; no direct F1 ties, but Samsung is a large industrial conglomerate with past motorsport sponsorship history — light diligence recommended before outreach",revenue unproven; f1-risk note
8,Software & Cyber,31,Basis,"usebasis.ai (est, unverified)",USA,Enterprise SaaS Crossers,AI-driven accounting-automation software for finance and accounting teams,~60 (est),$1.1B,February 2026,$100M Series B,revenue unproven,none,No F1/motorsport ties identified,revenue unproven
8,Software & Cyber,31,Code Metal,codemetal.ai,USA,Devtools & Data,AI coding-assistant/compiler platform targeting embedded and enterprise software systems,~55 (est),$1.3B,February 2026,$125M Series B,revenue unproven,none,VC-backed; no F1/motorsport or major SaaS-incumbent investor ties found,revenue unproven
8,Software & Cyber,31,Core Automation,coreautomation.ai (est),USA,Enterprise SaaS Crossers,Enterprise platform automating complex business workflows,"~25 (est) — FLAG: seed-stage, valuation exactly at $1B, likely below 51-employee threshold with no $2B exception",$1.0B,April 2026,"$100M Seed (Threshold Ventures, Scribble Ventures)",revenue unproven,none,Pure VC seed round; no F1/motorsport ties or Salesforce/ServiceNow/Workday-class strategic investors identified,revenue unproven
8,Software & Cyber,26,OpenRouter,openrouter.ai,USA,Devtools & Data,Unified API/gateway that routes developer requests across many LLM providers (AI model marketplace infrastructure),~35 (est) — FLAG: known lean team; valuation $1.3B is below the $2B exception bar for sub-51 headcount,$1.3B,March 2026,$113M Series B led by CapitalG (Alphabet/Google growth fund),"revenue unproven (transaction-based marketplace processes paid LLM usage, but no disclosed revenue figure)",flag,"CapitalG (Alphabet-affiliated growth fund) led the round as a minority strategic investor — flagged per Big-Tech-investor rule, not a hard fail",revenue unproven; f1-risk note
