#,company,domain,hq_country,sector,subsector,employees_est,funding_total,why_f1
97,IQM Quantum Computers,iqm.fi,Finland,GPU & AI Cloud,Superconducting Quantum Computing Hardware,435,$600M+ total cumulative raised,Europe's largest quantum-hardware raise outside the US; on-prem and cloud-accessible superconducting systems with global hub expansion underway.
98,IREN,iren.com,Australia,GPU & AI Cloud,Vertically Integrated AI Cloud/GPU Clusters,"492 (201-500 band, near ceiling)",$250M+ (Nasdaq-listed; renewable-powered AI data centers across US/Canada),Vertically integrated AI cloud provider combining owned power/land with GPU clusters; global renewable-energy angle fits F1 sustainability push.
99,Kneron,kneron.com,Taiwan,GPU & AI Cloud,Edge AI Silicon (NPU),150,$226M total cumulative; latest round 2023,Foxconn-backed edge-AI NPU maker with automotive and consumer-device wins across Asia; global expansion ambitions could use a high-visibility platform.
100,Lightelligence,lightelligence.ai,US,GPU & AI Cloud,Photonic Computing,250,$247M total cumulative; Series C (Sep 2025),"Photonic-computing scale-up fresh off a 2025 raise, still building market awareness for its optical AI accelerator platform outside core enterprise channels."
101,Lightmatter,lightmatter.co,USA,GPU & AI Cloud,Photonic AI Networking,363 (201-500 band),$250M+ total (reported cumulative ~$850M across rounds),Photonic interconnect leader for AI data centers backed by major tech investors; classic AI-networking scale-up profile.
102,MatX,matx.com,USA,GPU & AI Cloud,AI Training Chips,133 (51-200 band),$250M+ total across Seed/Series A-B rounds,Purpose-built AI training chip startup aiming to cut large-model training cost 10x; well-funded silicon scale-up.
103,Modal,modal.com,USA,GPU & AI Cloud,Serverless GPU Compute,122 (51-200 band),"$466M total (Seed $7M, Series A $16M 2023, Series B $87M 2025, Series C $355M 2026)","Unicorn serverless compute platform with a fresh $355M Series C in 2026; revenue up 5x, aggressive growth marketing phase."
104,Mythic,mythic.ai,US,GPU & AI Cloud,Analog Compute-in-Memory AI Chips,92,"$300M+ total cumulative (incl. oversubscribed raise backed by Honda, Lockheed Martin, SoftBank, DCVC)","Analog compute-in-memory inference chips for data center, automotive and robotics; Honda/automotive investor base is a natural bridge into motorsport."
105,NextSilicon,nextsilicon.com,Israel,GPU & AI Cloud,AI/HPC Compute Architecture,381 (201-500 band),"$250M+ total (Series B and later rounds, ~$460M cumulative reported)",Rethinking compute architecture for HPC/AI workloads with strong Israeli deep-tech VC backing; global scale-up seeking visibility.
106,Northern Data Group,northerndata.de,Germany,GPU & AI Cloud,GPU Cloud (Taiga Cloud) / AI Data Centers,147,$800M+ (incl. Tether strategic investment 2024); public listing (Nasdaq/Frankfurt),Operates one of Europe's largest GPU clusters via Taiga Cloud; well-capitalized European neocloud with no current F1 tie.
107,Nscale,nscale.com,United Kingdom,GPU & AI Cloud,AI Data Center / GPU Cloud,354 (201-500 band),"$3.7B+ total (Seed $30M 2023 through Series C $2B at $14.6B val., March 2026)",Nvidia-backed European AI data-center builder with largest-ever European Series B/C rounds; strong global-brand sponsorship budget.
108,Pasqal,pasqal.com,France,GPU & AI Cloud,Neutral-Atom Quantum Computing,304,$300M+ total cumulative; Series C (2024),France's flagship neutral-atom quantum computing scale-up; strong fit for European F1 rounds and government/industrial partnership storytelling.
109,Positron,positron.ai,US,GPU & AI Cloud,AI Inference Chips (Asimov),80,$309M total cumulative; $234M Series B at $1B+ valuation (Jan 2026),Newly minted inference-chip unicorn targeting Nvidia Rubin-class efficiency; freshly capitalized and building brand awareness fast.
110,Preferred Networks,preferred.jp,Japan,GPU & AI Cloud,AI Training Chips & Supercomputers (MN-Core),387,"$385M+ total cumulative (SoftBank, Toyota, Fanuc, NTT among backers)",Japan's leading vertically-integrated AI chip-to-model company (MN-Core processors); strong industrial-partner base and APAC visibility ambitions.
111,Quantum Machines,quantum-machines.co,Israel,GPU & AI Cloud,Quantum Control Systems Hardware,326,$280M+ total cumulative; Series C (2023),Makes the control-electronics hardware/orchestration layer used across the quantum computing industry; well-funded infrastructure player with global reach.
112,QuEra Computing,quera.com,US,GPU & AI Cloud,Neutral-Atom Quantum Computing,201,"$230M total cumulative; backed by Google, NVIDIA and SoftBank (2025)","Harvard/MIT-spinout neutral-atom quantum computer maker with marquee strategic investors (Google, Nvidia, SoftBank); rapidly scaling global commercial presence."
113,Rebellions,rebellions.ai,South Korea,GPU & AI Cloud,AI Inference Chips,315 (201-500 band),"$250M+ total, multiple rounds incl. Samsung and sovereign-fund backing",Korean AI inference chipmaker with global commercial deployments and strong funding; fits Asia-market expansion for F1 sponsorship.
114,Rescale,rescale.com,USA,GPU & AI Cloud,HPC / Applied-AI Simulation Cloud,246 (201-500 band),$230M+ total across Series A-C rounds,"Cloud HPC/simulation platform for engineering (aerospace, automotive) workloads; F1 engineering-simulation angle is a natural fit."
115,Rigetti Computing,rigetti.com,US,GPU & AI Cloud,Quantum Computing Hardware (Superconducting),198,$500M+ cumulative (incl. 2025 at-the-market public offerings; Nasdaq: RGTI),Publicly traded superconducting-qubit pioneer building its own chip fab (Fab-1); public-market visibility makes sponsorship-driven brand building attractive.
116,SambaNova Systems,sambanova.ai,USA,GPU & AI Cloud,AI Chips & Enterprise AI Cloud,402 (201-500 band),"$1.1B+ total (Series D, 2021, plus subsequent rounds)","Full-stack AI chip/cloud provider (RDU architecture) serving enterprises and sovereigns; large funding base, not F1-affiliated."
117,SiMa.ai,sima.ai,USA,GPU & AI Cloud,Edge/Physical AI Inference Chips,247 (201-500 band),$270M+ total (Series C and prior rounds),Physical AI chip platform for robotics/automotive/industrial; automotive-adjacent use cases align naturally with motorsport sponsorship.
118,TensorWave,tensorwave.com,USA,GPU & AI Cloud,AMD-based GPU Cloud,160 (51-200 band),"$493M total (Seed $43M 2024, Series A $100M 2025, Series B $350M 2026)",Fast-scaling AMD-powered AI cloud with fresh $350M raise and $1.55B valuation; unsponsored challenger brand seeking mainstream visibility.
119,TeraWulf,terawulf.com,USA,GPU & AI Cloud,AI/HPC Energy Infrastructure (ex-crypto miner),73,"$250M+ equity plus $1.3B senior secured notes (Flash Compute JV, 2026)","Public HPC/AI data-center developer with $3.1B cash position and Fluidstack/Anthropic as anchor tenants; lean team, big capital raises."
120,Together AI,together.ai,USA,GPU & AI Cloud,Training & Inference Cloud,410 (201-500 band),$1.33B total; Series C $800M at $8.3B valuation (July 2026),"Leading open-model training/inference cloud, Aramco Ventures-backed, riding a 2.5x valuation step-up; strong global sponsorship budget."
121,Voltage Park,voltagepark.com,USA,GPU & AI Cloud,Neocloud / GPU-as-a-Service,150 (51-200 band),"$500M+ total (Navigation Fund grant, 2023); merged with Lightning AI Jan 2026, combined co valued $2.5B+",Well-funded US neocloud running 30k+ Hopper/Blackwell GPUs; not an F1 sponsor; global media reach fits GPU-cloud brand-building play.
122,Vultr,vultr.com,USA,GPU & AI Cloud,GPU/Cloud Compute Provider,395 (201-500 band),"$250M+ (incl. $2B Sixth Street financing facility, 2024)",Independent global cloud/GPU provider (185 countries) with a major debt-financed AI infrastructure buildout; no F1 tie today.
123,Xanadu,xanadu.ai,Canada,GPU & AI Cloud,Photonic Quantum Computing,355,$500M+ total cumulative (newly public: Nasdaq/TSX: XNDU),"Room-temperature photonic quantum computing pioneer, first pure-play photonic quantum company to go public; fresh public listing raises brand-visibility appetite."
124,Yondr Group,yondrgroup.com,United Kingdom,GPU & AI Cloud,Hyperscale AI Data Center Developer,312 (201-500 band),"$250M+ total (private-equity backed hyperscale developer, global footprint)",Global hyperscale data-center developer/operator building AI-ready capacity for the largest tech firms; strong brand-building profile.
125,01.AI,01.ai,China,Generative AI & Model Labs,Frontier LLM lab,150,"$300M total (Series A, 2023)","Kai-Fu Lee's frontier LLM lab (Yi models); well-capitalized, pursuing pre-IPO fundraising and international sovereign-AI deals."
126,Absci,absci.com,United States,Generative AI & Model Labs,Science AI (generative biologics),171,"$250M+ total (public co., IPO 2020 plus follow-ons)","Generative-AI biologics design platform; publicly traded but scale-up-sized team, actively seeking category-defining brand exposure."
127,AGIBOT (Zhiyuan Robotics),agibot.com,China,Generative AI & Model Labs,Robotics foundation models (humanoid),249,"$1B+ total (multiple rounds 2023-2025, backers incl. Alibaba, Meituan, BYD)","Embodied-AI foundation-model company building humanoid/quadruped robots at scale (10,000th unit shipped 2026); part of China's best-funded robotics wave."
128,AI21 Labs,ai21.com,Israel,Generative AI & Model Labs,Frontier LLM lab,230,"$636M total (Series D $300M led by Nvidia/Google, May 2025)",Long-running Israeli LLM pioneer (Jamba/Jurassic) with deep enterprise ties and marquee backers; global rebrand push after recent restructuring.
129,Anysphere (Cursor),cursor.com,United States,Generative AI & Model Labs,Frontier coding AI lab,300,"$3.27B+ total (Series D $2.3B, Nov 2025, ~$29.3B valuation)","Maker of Cursor and the in-house Composer models; one of the fastest-growing, best-funded AI labs, actively building consumer-facing brand awareness."
130,Apptronik,apptronik.com,United States,Generative AI & Model Labs,Robotics foundation models (humanoid),300,"~$1B total (Series A-X extension $520M, Feb 2026, $5B valuation)","Apollo humanoid-robot foundation-model maker backed by Google, Mercedes-Benz, Qatar Investment Authority; racing/engineering brand synergy."
131,Baichuan AI,baichuan-ai.com,China,Generative AI & Model Labs,Frontier LLM lab,150,"$1.04B total (Series A, 2024)","One of China's leading LLM labs; heavily capitalized and pushing global enterprise/consumer expansion, a fit for F1's China market ambitions."
132,Black Forest Labs,blackforestlabs.ai,Germany,Generative AI & Model Labs,Image/video generation models,126,"$330M+ total (seed $31M 2024; Series B ~$300M 2025, ~$4B valuation)",Creators of FLUX and Stable Diffusion lineage; leading European image/video foundation-model lab competing directly with much larger US labs.
133,DeepSeek,deepseek.com,China,Generative AI & Model Labs,Frontier LLM lab,190,"$7B total (first outside round, May 2026, $52B valuation; second $8B round in progress)",Globally famous open-weight frontier model maker; newly raised its first-ever external capital and is rapidly scaling headcount and global visibility.
134,Enveda Biosciences,enveda.com,United States,Generative AI & Model Labs,Science AI (chemical biology),392,"$409M+ total (Series C $130M, 2024)","AI-native natural-product drug discovery platform with a large, fast-growing team and blue-chip biotech/tech investor base."
135,Field AI,fieldai.com,United States,Generative AI & Model Labs,Robotics foundation models,298,"$405M+ total (Series A, May 2025, $2B valuation)","JPL/DARPA-founded 'general robot intelligence' foundation-model lab deployed across construction, energy and manufacturing; fast-scaling and well capitalized."
136,Generate Biomedicines,generatebiomedicines.com,United States,Generative AI & Model Labs,Science AI (protein design),325,$693M total (Series C 2024; listed Feb 2026),"Generative-AI protein design platform (Flagship Pioneering-backed), recently public, still scale-up sized and building brand recognition."
137,Genesis Molecular AI,genesis.ml,United States,Generative AI & Model Labs,Science AI (molecular foundation models),169,$300M+ total (multiple rounds through 2025),"Builds proprietary foundation models (GEMS/Pearl) for small-molecule drug design; investors include a16z, NVentures, BlackRock, T. Rowe Price."
138,H Company,hcompany.ai,France,Generative AI & Model Labs,Agentic frontier AI lab,306,$220M+ seed total (2024),"Paris-based agentic-AI foundation model lab founded by former DeepMind/Meta/OpenAI researchers; one of Europe's largest seed rounds, French GP tie-in."
139,Hippocratic AI,hippocraticai.com,United States,Generative AI & Model Labs,Voice/speech LLM (healthcare),336,$278M total (multiple rounds through 2025),"Safety-focused healthcare-specific LLM/voice-agent lab; backed by a16z, General Catalyst, Kleiner Perkins, NVentures; scaling fast toward brand-building phase."
140,Imbue,imbue.com,United States,Generative AI & Model Labs,Reasoning-focused LLM lab,83,"$232M total (Series B $200M led by Astera Institute, 2023)","Well-capitalized reasoning/agent research lab (formerly Generally Intelligent) at unicorn valuation, still small enough to want major brand lift."
141,Insilico Medicine,insilico.com,United States,Generative AI & Model Labs,Science AI (generative drug discovery),288,$500M+ total (multiple rounds through 2024; HKEX-listed 2025),"Pioneer of generative-AI drug discovery with global (US/China/HK) footprint; recently public but still scale-up-sized, seeking brand visibility."
142,Kyutai,kyutai.org,France,Generative AI & Model Labs,Voice / speech foundation models,52,"€300M / ~$330M committed funding (Iliad, CMA CGM, Schmidt Futures, founded 2023)",Leading open-science voice/multimodal lab (Moshi) backed by French shipping/telecom billionaires; strong French sponsorship-market tie-in.
143,Lila Sciences,lila.ai,United States,Generative AI & Model Labs,Science AI (autonomous labs),497,"$250M+ total (Flagship Pioneering-backed launch, 2025)","Flagship Pioneering's 'scientific superintelligence' platform for life/chem/materials science; large, richly funded lab nearing scale-up ceiling."
144,Liquid AI,liquid.ai,United States,Generative AI & Model Labs,Efficient foundation models,133,"$250M+ total (Series A, 2024-2025)",MIT-spinout foundation-model lab (Liquid Neural Networks/LFM); efficiency-and-performance engineering story pairs naturally with motorsport tech.
145,Luma AI,lumalabs.ai,United States,Generative AI & Model Labs,World / video generation models,300,"$1.07B total (Series C $900M, Nov 2025, $4B valuation)","Video/world-model lab (Dream Machine, Ray) expanding internationally (London, Riyadh) with heavy brand/advertising crossover ambitions."
146,Magic,magic.dev,United States,Generative AI & Model Labs,Frontier code LLM lab,55,"$466M total (2024, backers incl. Eric Schmidt, Atlassian, Sequoia)",Long-context frontier code-model lab (LTM architecture) targeting AGI-for-software; small elite team with large capital base looking to build brand awareness.
147,MiniMax,minimaxi.com,China,Generative AI & Model Labs,Multimodal foundation models,180,"$1.15B+ total pre-IPO, plus ~$2B raise, July 2026 (HKEX-listed Jan 2026)","Text/voice/video foundation-model group (Talkie, Hailuo) with a fresh multi-billion-dollar capital base post-IPO seeking global consumer brand relevance."
148,Moonshot AI,moonshot.cn,China,Generative AI & Model Labs,Frontier LLM lab,300,"~$2.96B total (rounds 2023-2025, incl. $1B Alibaba-led round; $35B valuation, 2026)","Maker of the Kimi model family, one of China's best-funded and fastest-growing frontier labs, actively expanding global brand presence."
149,Owkin,owkin.com,France,Generative AI & Model Labs,Science AI (biology reasoning models),427,$300M+ total (Series B $180M 2022 plus later rounds),Franco-American biology 'reasoning model' lab partnered with top hospitals; large global (US/France/UK) footprint fits F1's international calendar.
150,Periodic Labs,periodic.com,United States,Generative AI & Model Labs,Science AI (autonomous discovery),82,$300M+ seed (2025),"Ex-OpenAI/DeepMind team building AI scientists and autonomous labs for materials/chemistry; one of the largest seed rounds in AI history, high investor visibility."
151,Physical Intelligence,physicalintelligence.company,United States,Generative AI & Model Labs,Robotics foundation models,80,"$1.1B total (Series in talks up to $1B more, 2026; prior $600M round 2024)","Leading robot foundation-model lab (pi-0 models) backed by Founders Fund, Thrive, Lux, OpenAI; needs consumer-facing brand halo as it moves toward commercial robots."
152,Poolside,poolside.ai,France,Generative AI & Model Labs,Frontier code/LLM lab,155,"$626M+ total (Series B 2024; up to $1B Nvidia investment pending, 2026, $12B valuation)",Well-funded frontier model lab building foundation models for software engineering; French roots align with F1's Euro fanbase and sponsorship market.
153,Reflection AI,reflection.ai,United States,Generative AI & Model Labs,Frontier LLM / agentic AI,185,"$2.1B+ total ($2B round led by Nvidia, Oct 2025; $2.5B round March 2026, $27.5B valuation)",Open frontier-model challenger (ex-DeepMind/OpenAI team) with a huge Nvidia/SpaceX compute deal; explosive valuation growth makes it a marquee-budget prospect.
154,Replit,replit.com,United States,Generative AI & Model Labs,AI Coding Assistant (Prosumer Dev Tool),~300-350 (reports range 282-521 across sources; using conservative mid-estimate),$922M total; $400M Series D at $9B valuation (Mar 2026),"Consumer-friendly ""vibe coding"" platform with rapid mainstream adoption beyond professional developers and a $9B valuation, giving strong brand and marketing budget fit."
155,Sakana AI,sakana.ai,Japan,Generative AI & Model Labs,Multimodal / evolutionary AI,190,"$379M total (Series B, Nov 2025, $2.65B valuation)","Japan's flagship frontier AI lab (ex-Google Brain/OpenAI founders); backed by MUFG, NVIDIA, Lux; Japanese GP presence and nation-branding upside."
156,Skild AI,skild.ai,United States,Generative AI & Model Labs,Robotics foundation models,60,"$1.8B total ($1.4B round, March 2026, $15B valuation)","General-purpose robot brain / foundation model startup out of CMU, richly funded by SoftBank, Lightspeed, Coatue; motorsport-grade robotics + speed narrative fits F1."
157,StepFun,stepfun.com,China,Generative AI & Model Labs,Multimodal foundation models,150,"~$1B total (multiple rounds 2023-2025, backers incl. Alibaba, Tencent, IDG Capital)",Shanghai-based multimodal frontier-model lab (Step series) with major Chinese tech-conglomerate backing and global expansion ambitions.
158,Suno,suno.com,United States,Generative AI & Model Labs,Music generation models,300,"$775M total (Series D $400M, June 2026, $5.4B valuation)",Category-defining AI music generation lab with viral consumer reach and a huge new war chest; music + motorsport crossover is an obvious activation angle.
159,Thinking Machines Lab,thinkingmachines.ai,United States,Generative AI & Model Labs,Frontier LLM lab,150,"$2.0B total (record $2B seed, July 2025)","Mira Murati's frontier AI lab (ex-OpenAI CTO); one of the best-capitalized pre-product labs in the world, high-visibility founding team craving mainstream brand exposure."
160,Upstage,upstage.ai,South Korea,Generative AI & Model Labs,Frontier LLM lab,239,$400M+ total (Series C $120M Apr 2026 + $380.6M Korea Growth Fund investment),"Korea's first genAI unicorn and sovereign-AI LLM leader; freshly capitalized with national growth-fund backing, eyeing global brand-building."
161,Waabi,waabi.ai,Canada,Generative AI & Model Labs,Robotics / autonomy foundation models,331,"$283M+ total (Series B $200M led by Uber, May 2024)","Physical-AI/self-driving-truck foundation model lab led by Raquel Urtasun; racing-adjacent autonomy tech narrative, Canadian market entry point for F1."
162,World Labs,worldlabs.ai,United States,Generative AI & Model Labs,World / spatial models,87,"$1.23B total ($1B round led by Autodesk/Nvidia/a16z, Feb 2026)","Fei-Fei Li's spatial-intelligence/world-model lab (Marble); massive war chest, strong design/visual brand (3D world generation) well suited to trackside activation."
163,Writer,writer.com,United States,Generative AI & Model Labs,Enterprise agentic LLM lab,420,"$369M total (Series C $200M, Nov 2024, $1.9B valuation)",Builds its own full-stack LLMs for enterprise agentic work; unicorn status and enterprise reach make it a candidate for global B2B brand marketing via F1.
164,Xaira Therapeutics,xaira.com,United States,Generative AI & Model Labs,Science AI (drug discovery),204,"$1B+ total (launch round, April 2024, incl. ARCH, Sequoia, Lux, F-Prime)","One of the largest-ever science-AI launches; generative biology foundation models for drug design, flush with capital and building global visibility."
165,Alchemy,alchemy.com,USA,"Trading, Crypto & Wealth",Blockchain / Trading Infrastructure,351,"$565M total, Series C1 (2022, a16z/Lightspeed)","Core infrastructure powering Robinhood, Circle, Visa and other trading/fintech platforms; brand awareness campaign would resonate with both developer and consumer audiences."
166,Alpaca,alpaca.markets,USA,"Trading, Crypto & Wealth",Brokerage-as-a-Service / Trading API,482,$320M+ total across rounds,Global brokerage infrastructure API (9M+ accounts powered) expanding into 40+ countries — matches F1's international footprint and multi-market growth ambitions.
167,Altruist,altruist.com,USA,"Trading, Crypto & Wealth",RIA Custodian / Wealth Infrastructure,293,"$310M+ total, Series F (2025, $1.5B valuation)",Fast-growing challenger custodian for independent wealth advisors; recently raised a major round and is scaling brand visibility beyond the advisor niche.
168,Bakkt,bakkt.com,USA,"Trading, Crypto & Wealth",Crypto Trading Infrastructure,389,"$770M+ raised (incl. Series B 2021); public via SPAC 2021, ICE-backed",ICE-backed institutional crypto trading platform pivoting toward consumer-facing growth; deep-pocketed parent and public listing support a marquee sponsorship.
169,BitGo,bitgo.com,USA,"Trading, Crypto & Wealth",Crypto Custody & Infrastructure,~300 (201-500 band),$500M+ raised pre-IPO across multiple rounds; NYSE IPO 2025 (BTGO),Major institutional crypto custodian now public; needs consumer-facing brand lift to match Coinbase/Kraken's F1-driven visibility in the same custody/exchange category.
170,Blockdaemon,blockdaemon.com,USA,"Trading, Crypto & Wealth",Crypto / Blockchain Infrastructure,206,"$276M total, Series C ($207M, 2022, Sapphire Ventures/Tiger Global, $3.25B valuation)",Institutional-grade staking/custody/node infrastructure securing $110B+ in assets; well-capitalized infra player looking to build brand beyond its enterprise client base.
171,Bullish,bullish.com,Cayman Islands,"Trading, Crypto & Wealth",Crypto Derivatives Exchange,~385,"$300M+ private raise (2021, Peter Thiel/Alan Howard/Novogratz-backed) + NYSE IPO (2025)","Newly public, institutionally-regulated crypto exchange actively building global brand recognition post-IPO; sponsorship-hungry challenger to Coinbase/Kraken in the exact category already validated by F1."
172,Copper.co,copper.co,United Kingdom,"Trading, Crypto & Wealth",Crypto Custody & Prime Brokerage,260,"$246M+ total (Series C $196M, 2022, Dragonfly-led)",London-based institutional crypto custodian with deep ties to traditional finance; UK base aligns with F1's Silverstone/European core and Formula 1's own UK HQ.
173,Digital Asset,digitalasset.com,USA,"Trading, Crypto & Wealth",Market Infrastructure / DLT for Capital Markets,365,"$300M+ total across rounds (bank-consortium and VC backed incl. Goldman Sachs, Digital Currency Group; last major raise 2021)",Creator of the Canton Network powering tokenized capital markets infrastructure for major banks/exchanges; global financial-institution brand seeking wider visibility.
174,DriveWealth,drivewealth.com,USA,"Trading, Crypto & Wealth",Brokerage-as-a-Service Infrastructure,373,"$600M+ total, Series D ($450M, 2021, SoftBank Vision Fund 2)",Powers fractional-share investing for global fintechs and neobanks across 150+ countries — global infrastructure story that mirrors F1's own international broadcast reach.
175,Paxos,paxos.com,USA,"Trading, Crypto & Wealth",Stablecoin & Crypto Infrastructure,329,"$540M+ total, Series D (2021)",Regulated stablecoin/tokenization infrastructure behind PayPal USD and Global Dollar; strong balance sheet for a marquee global sponsorship play.
176,Polymarket,polymarket.com,USA,"Trading, Crypto & Wealth",Prediction Markets,~460 (50-500 band),$2B+ total — $70M Series B (2024) plus ~$2B strategic investment from Intercontinental Exchange (Oct 2025),"Fastest-growing prediction market globally, huge event-driven engagement (elections, sports, culture); F1 race-outcome and season markets are a natural fit, massive earned-media momentum post-ICE deal, no existing motorsport sponsorship footprint."
177,Stash,stash.com,USA,"Trading, Crypto & Wealth",Wealth & Investing App,242,"$347M total, Series G (2021)",Mainstream retail investing app built around accessibility/education; motorsport sponsorship would extend brand beyond core fintech marketing channels.
178,Trumid,trumid.com,USA,"Trading, Crypto & Wealth",Fixed Income / Bond Trading Platform,194,"$270M+ total (Series E $208M 2021, Series F $27M 2022; backed by BofA, Citi, Wells Fargo, TPG)",Electronic credit-trading platform backed by major banks; F1's global institutional and finance-sector audience is a strong fit for brand-building beyond Wall Street.
179,Zerohash,zerohash.com,USA,"Trading, Crypto & Wealth",Crypto Infrastructure / Embedded Trading,246,"$250M+ total, latest round 2025",White-label crypto/stablecoin trading infrastructure powering many fintech apps; B2B awareness campaign via F1 would reach both enterprise partners and end consumers.
