f1_sponsor,sponsor_f1_relationship,category,rank,competitor,domain,note,also_comparable_to
ZYN (Philip Morris International),Ferrari partner,"Beverages, Food & CPG",6,Rogue Nicotine Pouches (Swisher),swisher.com,Fast-growing US independent nicotine pouch brand,
ZYN (Philip Morris International),Ferrari partner,"Beverages, Food & CPG",7,Kick Up Nicotine Pouches (Swisher),swisher.com,Fast-growing US independent nicotine pouch brand,
ZYN (Philip Morris International),Ferrari partner,"Beverages, Food & CPG",8,Black Buffalo,blackbuffalo.com,Fast-growing tobacco-free smokeless nicotine alternative brand,
ZYN (Philip Morris International),Ferrari partner,"Beverages, Food & CPG",9,Bandit Nicotine Pouches (Turning Point Brands),turningpointbrands.com,Fast-growing US independent nicotine pouch brand,
ZYN (Philip Morris International),Ferrari partner,"Beverages, Food & CPG",10,XQS (Reemtsma/Imperial Brands),xqs.com,Fast-growing European nicotine pouch brand,
ZYN (Philip Morris International),Ferrari partner,"Beverages, Food & CPG",11,Cardinal Nicotine Pouches,cardinalpouches.com,Fast-growing US independent nicotine pouch brand,
ZYN (Philip Morris International),Ferrari partner,"Beverages, Food & CPG",12,Zoin Nicotine Pouches,zoin.se,Fast-growing Swedish independent nicotine pouch brand,
ZYN (Philip Morris International),Ferrari partner,"Beverages, Food & CPG",13,Nicorette (Haleon),nicorette.com,Fast-growing global nicotine replacement gum/lozenge brand,
ZYN (Philip Morris International),Ferrari partner,"Beverages, Food & CPG",14,Nicotinell (Haleon),nicotinell.com,Fast-growing global nicotine replacement gum/lozenge brand,
ZYN (Philip Morris International),Ferrari partner,"Beverages, Food & CPG",15,Habitrol,habitrol.com,Fast-growing nicotine replacement gum and lozenge brand,
ZYN (Philip Morris International),Ferrari partner,"Beverages, Food & CPG",16,Stoker's (Turning Point Brands),stokersproducts.com,Fast-growing US smokeless tobacco and nicotine brand,
Airia,Williams partner,"Cloud, Data & AI Software",1,LlamaIndex,llamaindex.ai,AI data framework for LLM applications,Claude (Anthropic)
Airia,Williams partner,"Cloud, Data & AI Software",2,Crew AI,crewai.com,AI agent framework startup,Claude (Anthropic)
Airia,Williams partner,"Cloud, Data & AI Software",3,Haystack (deepset),haystack.deepset.ai,"Open-source LLM orchestration framework, Germany",
Airia,Williams partner,"Cloud, Data & AI Software",4,Vellum AI,vellum.ai,LLM application development platform startup,
Airia,Williams partner,"Cloud, Data & AI Software",5,Langfuse,langfuse.com,Fast-growing LLM observability/orchestration startup,
Airia,Williams partner,"Cloud, Data & AI Software",6,Portkey AI,portkey.ai,AI gateway/orchestration startup,
Airia,Williams partner,"Cloud, Data & AI Software",7,Humanloop,humanloop.com,LLM evaluation/orchestration startup,
Airia,Williams partner,"Cloud, Data & AI Software",8,Braintrust,braintrust.dev,Fast-growing AI evaluation/orchestration startup,
Airia,Williams partner,"Cloud, Data & AI Software",9,Galileo,rungalileo.io,AI observability/evaluation startup,
Airia,Williams partner,"Cloud, Data & AI Software",10,Arize AI,arize.com,ML observability platform,
Airia,Williams partner,"Cloud, Data & AI Software",11,WhyLabs,whylabs.ai,AI observability startup,
Airia,Williams partner,"Cloud, Data & AI Software",12,Fiddler AI,fiddler.ai,AI observability/explainability platform,
Airia,Williams partner,"Cloud, Data & AI Software",13,Weights & Biases,wandb.ai,Fast-growing ML experiment tracking unicorn,
Airia,Williams partner,"Cloud, Data & AI Software",14,Comet ML,comet.com,ML experiment tracking platform,
Airia,Williams partner,"Cloud, Data & AI Software",15,Relevance AI,relevanceai.com,Fast-growing AI agent platform startup,
Airia,Williams partner,"Cloud, Data & AI Software",16,Lindy AI,lindy.ai,AI agent automation startup,Claude (Anthropic)
Airia,Williams partner,"Cloud, Data & AI Software",17,Gumloop,gumloop.com,AI workflow automation startup,
Airia,Williams partner,"Cloud, Data & AI Software",18,Zapier,zapier.com,Fast-growing workflow automation platform,
Airia,Williams partner,"Cloud, Data & AI Software",19,Make (Integromat),make.com,Fast-growing visual workflow automation platform,
Airia,Williams partner,"Cloud, Data & AI Software",20,Beam AI,beam.ai,AI agent automation startup,
Airia,Williams partner,"Cloud, Data & AI Software",21,Superagent,superagent.sh,Open-source AI agent framework startup,
Airia,Williams partner,"Cloud, Data & AI Software",22,Dust,dust.tt,"Fast-growing enterprise AI agent platform, France",
Alteryx,McLaren partner,"Cloud, Data & AI Software",1,RapidMiner (Altair),rapidminer.com,No-code data science platform,
Alteryx,McLaren partner,"Cloud, Data & AI Software",2,Datameer,datameer.com,Data preparation/analytics platform,
Alteryx,McLaren partner,"Cloud, Data & AI Software",3,Prophecy,prophecy.io,Fast-growing low-code data engineering startup,
Alteryx,McLaren partner,"Cloud, Data & AI Software",4,Ascend.io,ascend.io,Fast-growing data pipeline automation startup,
Alteryx,McLaren partner,"Cloud, Data & AI Software",5,Matillion,matillion.com,Fast-growing cloud data integration/ETL platform,
Alteryx,McLaren partner,"Cloud, Data & AI Software",6,Hevo Data,hevodata.com,Fast-growing ETL/data pipeline startup,
Alteryx,McLaren partner,"Cloud, Data & AI Software",7,Airbyte,airbyte.com,Fast-growing open-source ETL unicorn,
Alteryx,McLaren partner,"Cloud, Data & AI Software",8,Rivery,rivery.io,Data pipeline platform startup,
Alteryx,McLaren partner,"Cloud, Data & AI Software",9,Dagster Labs,dagster.io,Fast-growing data orchestration startup,
Alteryx,McLaren partner,"Cloud, Data & AI Software",10,Prefect,prefect.io,Fast-growing workflow orchestration startup,
Alteryx,McLaren partner,"Cloud, Data & AI Software",11,Meltano,meltano.com,Open-source ELT platform,
Alteryx,McLaren partner,"Cloud, Data & AI Software",12,Census,getcensus.com,Fast-growing reverse ETL startup,
Alteryx,McLaren partner,"Cloud, Data & AI Software",13,Hightouch,hightouch.com,Fast-growing reverse ETL startup,
Alteryx,McLaren partner,"Cloud, Data & AI Software",14,Y42,y42.com,German data ops platform startup,
Alteryx,McLaren partner,"Cloud, Data & AI Software",15,Keboola,keboola.com,Czech data ops platform,
Alteryx,McLaren partner,"Cloud, Data & AI Software",16,Omni Analytics,omni.co,Fast-growing BI startup,
Alteryx,McLaren partner,"Cloud, Data & AI Software",17,Preset,preset.io,Commercial open-source BI platform (Apache Superset),
Alteryx,McLaren partner,"Cloud, Data & AI Software",18,Metabase,metabase.com,Fast-growing open-source BI platform,
Alteryx,McLaren partner,"Cloud, Data & AI Software",19,Lightdash,lightdash.com,Open-source BI startup,
Alteryx,McLaren partner,"Cloud, Data & AI Software",20,GoodData,gooddata.com,Embedded analytics platform,
Alteryx,McLaren partner,"Cloud, Data & AI Software",21,Qrvey,qrvey.com,Embedded analytics platform,
Alteryx,McLaren partner,"Cloud, Data & AI Software",22,Cube Dev,cube.dev,Fast-growing semantic layer startup,
Alteryx,McLaren partner,"Cloud, Data & AI Software",23,Talend,talend.com,Data integration/quality platform,
Alteryx,McLaren partner,"Cloud, Data & AI Software",24,Estuary,estuary.dev,Fast-growing real-time data integration startup,
Alteryx,McLaren partner,"Cloud, Data & AI Software",25,Mode Analytics,mode.com,BI and analytics platform,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",1,Plane,plane.so,Fast-growing open-source Jira alternative,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",2,Huly,huly.io,Open-source all-in-one project management startup,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",3,Taiga,taiga.io,Open-source agile project management,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",4,Tara AI,tara.ai,AI-powered engineering project management startup,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",5,ZenHub,zenhub.com,GitHub-native project management platform,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",6,YouTrack (JetBrains),jetbrains.com/youtrack,Jira alternative from JetBrains,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",7,Backlog (Nulab),nulab.com/backlog,"Project management for dev teams, Japan-based growth",
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",8,Targetprocess (Apptio),apptio.com,Enterprise agile management platform,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",9,Digital.ai Agility,digital.ai,Enterprise agile planning platform,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",10,Aha!,aha.io,Fast-growing product roadmapping software,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",11,Productboard,productboard.com,Fast-growing product management unicorn,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",12,ProductPlan,productplan.com,Product roadmapping software,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",13,Craft.io,craft.io,Product management platform,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",14,Favro,favro.com,Agile planning and collaboration platform,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",15,Hive,hive.com,Fast-growing project management startup,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",16,Miro,miro.com,Fast-growing visual collaboration unicorn,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",17,Figma,figma.com,Fast-growing design/collaboration platform,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",18,Mural,mural.co,Visual collaboration platform,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",19,Whimsical,whimsical.com,Diagramming/collaboration startup,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",20,Lucid Software,lucid.co,Fast-growing diagramming/visual collaboration platform,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",21,GitBook,gitbook.com,Fast-growing docs/knowledge base platform,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",22,Slab,slab.com,Team knowledge base startup,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",23,Guru,getguru.com,Fast-growing knowledge management platform,
Atlassian,Williams title partner (Atlassian Williams Racing),"Cloud, Data & AI Software",24,Tettra,tettra.com,Knowledge base for teams startup,
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",1,Render,render.com,Fast-growing developer cloud/PaaS challenger,
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",2,Railway,railway.app,Fast-growing developer cloud platform startup,
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",3,Fly.io,fly.io,"Edge app deployment platform, strong dev growth",
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",4,Northflank,northflank.com,Cloud platform-as-a-service startup,
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",5,Vast.ai,vast.ai,GPU compute marketplace startup,CoreWeave
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",6,Replicate,replicate.com,AI model hosting/inference cloud startup,Meta AI (Meta)
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",7,Denvr Dataworks,denvrdata.com,GPU cloud infrastructure startup,CoreWeave
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",8,Hyperstack (NexGen Cloud),hyperstack.cloud,Emerging GPU cloud platform,
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",9,Yotta Data Services,yotta.com,India AI cloud/data center challenger,
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",10,Ori Global Cloud,ori.co,UK-based GPU cloud infrastructure startup,
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",11,Latitude.sh,latitude.sh,Bare-metal cloud infrastructure challenger,CoreWeave
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",12,phoenixNAP,phoenixnap.com,Global cloud/bare-metal infrastructure provider,CoreWeave
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",13,Leaseweb,leaseweb.com,European hosting/cloud infrastructure provider,CoreWeave
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",14,Contabo,contabo.com,Budget VPS/cloud infrastructure challenger,
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",15,Hivelocity,hivelocity.net,Bare-metal cloud infrastructure provider,
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",16,OpenMetal,openmetal.io,Private/bare-metal cloud infrastructure startup,
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",17,Cudo Compute,cudocompute.com,Distributed GPU cloud startup,
AWS (Amazon),F1 global partner; Hungarian GP title (per one source); F1 Sim Racing sponsor,"Cloud, Data & AI Software",18,TensorDock,tensordock.com,GPU cloud marketplace startup,
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",1,Prime Intellect,primeintellect.ai,Well-funded decentralized AI training startup,
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",2,Liquid AI,liquid.ai,MIT-spinout foundation model startup,Meta AI (Meta)
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",3,Arcee AI,arcee.ai,Small language model startup,Meta AI (Meta)
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",4,Nous Research,nousresearch.com,Open-weight AI research startup,Meta AI (Meta)
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",5,Twelve Labs,twelvelabs.io,Fast-growing video understanding AI startup,
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",6,Elicit (Ought),elicit.com,AI research assistant startup,
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",7,Harvey AI,harvey.ai,Fast-growing legal AI startup,
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",8,Decagon AI,decagon.ai,Fast-growing AI customer service agents startup,
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",9,Skild AI,skild.ai,Well-funded robotics foundation model startup,
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",10,Physical Intelligence,physicalintelligence.company,Well-funded robotics AI startup,
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",11,World Labs,worldlabs.ai,Well-funded spatial intelligence AI startup,
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",12,Safe Superintelligence Inc.,ssi.inc,Well-funded AI safety lab startup,
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",13,Thinking Machines Lab,thinkingmachines.ai,Well-funded new AI lab startup,
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",14,Reflection AI,reflection.ai,AI coding agents startup,
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",15,Cartesia,cartesia.ai,Fast-growing voice AI startup,ElevenLabs
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",16,Hume AI,hume.ai,Emotional/voice AI startup,ElevenLabs
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",17,Speechmatics,speechmatics.com,"Speech recognition AI, UK",ElevenLabs
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",18,AssemblyAI,assemblyai.com,Fast-growing speech-to-text API startup,ElevenLabs
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",19,Rev.ai,rev.ai,Speech AI API platform,ElevenLabs
Claude (Anthropic),Williams AI partner,"Cloud, Data & AI Software",20,Jasper AI,jasper.ai,AI marketing content platform,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",1,Factory AI,factory.ai,Fast-growing autonomous coding agents startup,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",2,All Hands AI (OpenHands),all-hands.dev,Open-source AI software engineer startup,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",3,CodeRabbit,coderabbit.ai,Fast-growing AI code review startup,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",4,Greptile,greptile.com,AI code review startup,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",5,Bito AI,bito.ai,AI coding assistant startup,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",6,Codegen,codegen.com,AI code agent startup,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",7,Continue.dev,continue.dev,Open-source AI coding assistant,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",8,Pythagora,pythagora.ai,AI app builder startup,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",9,Lovable,lovable.dev,"Fast-growing AI app builder unicorn, Sweden",
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",10,Bolt.new (StackBlitz),stackblitz.com,Fast-growing AI web app builder,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",11,Sweep AI,sweep.dev,"AI coding agent for pull requests, startup",
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",12,Mintlify,mintlify.com,Fast-growing AI documentation platform,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",13,Vercel (v0),vercel.com,AI-assisted web app builder platform,Claude (Anthropic)
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",14,MutableAI,mutable.ai,AI coding automation startup,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",15,Second (CodeSandbox),codesandbox.io,AI cloud development environments startup,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",16,Refact.ai,refact.ai,AI coding assistant startup,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",17,Cosine,cosine.sh,"AI software engineer startup, UK",
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",18,Traversal AI,traversal.io,"AI incident response for engineering teams, startup",
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",19,Blackbox AI,blackbox.ai,AI coding assistant startup,
Cognition AI,Aston Martin partner,"Cloud, Data & AI Software",20,Tessl,tessl.io,Spec-driven AI coding startup,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",1,Aiven,aiven.io,"Fast-growing managed open-source data platform, Finland",
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",2,Upstash,upstash.com,Fast-growing serverless streaming/database startup,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",3,Ably,ably.com,Realtime messaging platform,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",4,PubNub,pubnub.com,Realtime messaging platform,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",5,Memphis.dev,memphis.dev,Streaming data platform startup,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",6,Synadia (NATS),synadia.com,Messaging system commercial backer,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",7,Solace,solace.com,Enterprise event streaming/messaging platform,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",8,Axual,axual.com,"Kafka management platform, Netherlands",
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",9,Lenses.io,lenses.io,Kafka management and observability platform,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",10,Conduktor,conduktor.io,Fast-growing Kafka management platform startup,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",11,Ververica,ververica.com,"Apache Flink-based streaming platform, Germany",
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",12,DeltaStream,deltastream.io,Streaming SQL platform startup,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",13,RisingWave,risingwave.com,Fast-growing streaming database startup,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",14,Quix,quix.io,Streaming data platform startup,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",15,Bytewax,bytewax.io,Python streaming processing startup,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",16,Timeplus,timeplus.com,Streaming analytics startup,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",17,CelerData (StarRocks),celerdata.com,Fast-growing real-time analytics database startup,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",18,Tinybird,tinybird.co,Fast-growing real-time analytics API startup,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",19,Meroxa,meroxa.com,Data integration/CDC startup,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",20,Rockset,rockset.com,Real-time analytics database,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",21,Imply,imply.io,Real-time analytics platform (Apache Druid),
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",22,Deephaven Data Labs,deephaven.io,Real-time data engine startup,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",23,Hazelcast,hazelcast.com,In-memory computing/streaming platform,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",24,EMQ Technologies,emqx.com,MQTT messaging platform for IoT streaming,
Confluent,Racing Bulls partner,"Cloud, Data & AI Software",25,Kurrent,kurrent.io,Event sourcing database platform,
Dropbox,McLaren partner,"Cloud, Data & AI Software",1,Filen,filen.io,"Privacy-focused cloud storage startup, EU",
Dropbox,McLaren partner,"Cloud, Data & AI Software",2,Internxt,internxt.com,Decentralized privacy-first cloud storage startup,
Dropbox,McLaren partner,"Cloud, Data & AI Software",3,Proton Drive,proton.me/drive,Fast-growing Swiss privacy-first cloud storage,
Dropbox,McLaren partner,"Cloud, Data & AI Software",4,Koofr,koofr.eu,EU cloud storage challenger,
Dropbox,McLaren partner,"Cloud, Data & AI Software",5,Degoo,degoo.com,Cloud backup challenger,
Dropbox,McLaren partner,"Cloud, Data & AI Software",6,Jottacloud,jottacloud.com,Norwegian cloud storage provider,
Dropbox,McLaren partner,"Cloud, Data & AI Software",7,Nextcloud,nextcloud.com,Fast-growing open-source self-hosted file sync platform,
Dropbox,McLaren partner,"Cloud, Data & AI Software",8,ownCloud,owncloud.com,Open-source enterprise file sync platform,
Dropbox,McLaren partner,"Cloud, Data & AI Software",9,Seafile,seafile.com,Open-source file sync and share platform,
Dropbox,McLaren partner,"Cloud, Data & AI Software",10,Files.com,files.com,Enterprise file transfer/sync platform,
Dropbox,McLaren partner,"Cloud, Data & AI Software",11,FileCloud,filecloud.com,Fast-growing enterprise file sharing platform,
Dropbox,McLaren partner,"Cloud, Data & AI Software",12,Livedrive,livedrive.com,UK cloud backup provider,
Dropbox,McLaren partner,"Cloud, Data & AI Software",13,SpiderOak,spideroak.com,Secure cloud backup provider,
Dropbox,McLaren partner,"Cloud, Data & AI Software",14,CrashPlan,crashplan.com,Business backup software,
Dropbox,McLaren partner,"Cloud, Data & AI Software",15,Carbonite,carbonite.com,Cloud backup software,
Dropbox,McLaren partner,"Cloud, Data & AI Software",16,Frame.io,frame.io,Video review/collaboration platform,
Dropbox,McLaren partner,"Cloud, Data & AI Software",17,Bynder,bynder.com,Fast-growing digital asset management platform,
Dropbox,McLaren partner,"Cloud, Data & AI Software",18,Brandfolder,brandfolder.com,Digital asset management platform,
Dropbox,McLaren partner,"Cloud, Data & AI Software",19,Canto,canto.com,Digital asset management platform,
Dropbox,McLaren partner,"Cloud, Data & AI Software",20,Filestage,filestage.io,Fast-growing content review/approval startup,
Dropbox,McLaren partner,"Cloud, Data & AI Software",21,MASV,massive.io,Fast-growing large file transfer startup,
Dropbox,McLaren partner,"Cloud, Data & AI Software",22,WeTransfer,wetransfer.com,Large file transfer platform,
Dropbox,McLaren partner,"Cloud, Data & AI Software",23,Hightail,hightail.com,File sharing/creative review platform,
Dropbox,McLaren partner,"Cloud, Data & AI Software",24,TeraBox,terabox.com,Fast-growing free cloud storage app,
Dropbox,McLaren partner,"Cloud, Data & AI Software",25,Zoolz,zoolz.com,Cloud backup and storage provider,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",1,Sentry,sentry.io,Fast-growing error tracking/observability platform,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",2,Chronosphere,chronosphere.io,Fast-growing observability unicorn,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",3,Better Stack,betterstack.com,Fast-growing observability/monitoring startup,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",4,SigNoz,signoz.io,Open-source observability startup,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",5,Highlight.io,highlight.io,Open-source observability startup,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",6,Coralogix,coralogix.com,Fast-growing Israeli observability platform,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",7,groundcover,groundcover.com,Fast-growing eBPF observability startup,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",8,Middleware,middleware.io,Observability startup,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",9,Last9,last9.io,Fast-growing India observability startup,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",10,Checkly,checklyhq.com,Synthetic monitoring startup,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",11,Uptime.com,uptime.com,Website/uptime monitoring platform,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",12,StatusCake,statuscake.com,Uptime monitoring platform,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",13,Catchpoint,catchpoint.com,Digital experience monitoring platform,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",14,Logz.io,logz.io,"Fast-growing observability platform, Israel",
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",15,Axiom,axiom.co,Fast-growing log management startup,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",16,OpenObserve,openobserve.ai,Open-source observability platform,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",17,Cronitor,cronitor.io,Monitoring/cron job tracking startup,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",18,Rookout,rookout.com,Debugging/observability startup,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",19,Lumigo,lumigo.io,Serverless observability startup,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",20,Thundra,thundra.io,Serverless observability platform,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",21,Edge Delta,edgedelta.com,Fast-growing observability pipeline startup,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",22,Observe Inc.,observeinc.com,Fast-growing observability data platform startup,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",23,Sematext,sematext.com,Monitoring and log management platform,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",24,Causely,causely.io,AI root-cause observability startup,
Dynatrace,Racing Bulls partner,"Cloud, Data & AI Software",25,Zenduty,zenduty.com,"Incident management/observability platform, India",
ElevenLabs,Audi F1 partner,"Cloud, Data & AI Software",1,Lovo.ai,lovo.ai,AI voice generation startup,
ElevenLabs,Audi F1 partner,"Cloud, Data & AI Software",2,Replica Studios,replicastudios.com,AI voice for games and film,
ElevenLabs,Audi F1 partner,"Cloud, Data & AI Software",3,Voicemod,voicemod.net,Real-time AI voice changer startup,
ElevenLabs,Audi F1 partner,"Cloud, Data & AI Software",4,Respeecher,respeecher.com,"Voice cloning for film/media, Ukraine",
ElevenLabs,Audi F1 partner,"Cloud, Data & AI Software",5,Podcastle,podcastle.ai,AI podcast/voice production startup,
ElevenLabs,Audi F1 partner,"Cloud, Data & AI Software",6,Krisp,krisp.ai,AI noise cancellation/voice startup,
