#,company,domain,hq_country,sector,signal_type,signal,signal_date,employees_est,affordability,why_f1_now,already_in_lists,source
74,Pinterest,pinterest.com,USA,Technology/Social Media,new-cmo,"Pinterest named Claudine Cheever as Chief Marketing Officer, succeeding Andrea Mallard who moved to Microsoft AI.",Jan 2026,4000,2025 revenue ~$3.6B,"New marketing chief needs a signature global growth play for international/Gen Z users; F1's visual, lifestyle-driven fandom fits Pinterest's core content categories.",yes,TS1
75,Progressive,progressive.com,USA,Insurance,new-cmo,"Progressive Insurance named former 3M executive Remi Kent to succeed longtime CMO Jeff Charney, effective November 1.",Nov 2025,65000,2025 revenue ~$75B,A new CMO succeeding a marketing icon (creator of the 'Flo' campaign) has motivation to make a bold new mark; insurance is under-represented in F1's sponsor roster.,yes,TS1
76,RGP,rgp.com,USA,Professional Services/Consulting,new-cmo,RGP appointed Jennifer Jones as the company's first-ever Chief Marketing Officer.,May 2025,1400,2025 revenue ~$550M,A first-time CMO mandate to build brand awareness for a growing consulting firm; B2B services firms increasingly use F1 hospitality for client relationship-building.,yes,TS1
77,Sonos,sonos.com,USA,Consumer Electronics/Audio,new-cmo,"Sonos hired advertising veteran Colleen DeCourcy, formerly of Snap, as its new Chief Marketing Officer starting in January.",Nov 2025,1500,2025 revenue ~$1.7B,"New CMO rebuilding brand trust after the 2024 app crisis; F1's tech-forward, audiophile-adjacent fanbase fits a premium audio brand relaunch.",yes,TS1
78,Vuori,vuoriclothing.com,USA,Apparel/Activewear,new-cmo,"Vuori named Karen Riley-Grant as its next Chief Marketing Officer, effective Jan 22.",Jan 2026,1500,>$400M raised; ~$5.5B valuation,Fast-scaling Lululemon challenger needs a marquee global platform under its new CMO to build awareness beyond North America; F1's international footprint fits its expansion plan.,yes,TS1
79,Zendesk,zendesk.com,USA,Software/SaaS,new-cmo,Zendesk appointed Tifenn Dano Kwan as Chief Marketing Officer.,May 2026,6000,Revenue ~$1.9B,New CMO for an enterprise CX platform seeking global B2B visibility; SaaS peers already use F1 team paddocks to demonstrate real-time-data platforms to enterprise buyers.,yes,TS1
80,Zeta Global,zetaglobal.com,USA,Marketing Technology/AdTech,new-cmo,"Zeta Global appointed Leah Pope as Chief Marketing Officer, effective August 3.",Aug 2026,2200,2025 revenue ~$1.2B,A martech company's new CMO has an incentive to run a flagship campaign that showcases its own AI-marketing platform at scale; F1's data-rich fan engagement is a natural proof point.,yes,TS1
81,Coca-Cola,coca-cola.com,USA,Beverages/CPG,rebrand,Coca-Cola launched a new global visual identity system across more than 200 markets on July 20.,Jul 2026,79000,2025 revenue >$47B,A worldwide visual-identity relaunch requires a marquee live-sports platform for maximum visibility; Coca-Cola is not a current global F1 partner.,,TS1
82,Del Monte Corporation (Fresh Del Monte Produce),freshdelmonte.com,USA,Food/CPG,rebrand,"Fresh Del Monte Produce changed its corporate name to Del Monte Corporation, effective June 9, following its acquisition of Del Monte Foods assets.",Jun 2026,35000,2025 revenue ~$4.5B,Corporate identity consolidation after a major acquisition is the natural moment to relaunch global brand visibility across new markets.,,TS1
83,Elavon,elavon.com,USA,Fintech/Payments,rebrand,"Elavon launched a fresh logo and brand identity for 2026, aligning its look with the modern payments customer journey.",2026,4000,Parent U.S. Bancorp 2025 revenue >$28B,A payments brand refresh needs a high-visibility platform to compete with fintech sponsors already active in F1's growing crypto/payments sponsor category.,,TS1
84,HONOR,hihonor.com,China,Consumer Electronics/Smartphones,rebrand,"HONOR unveiled a new standalone visual identity, the 'Ring of HONOR' graphic symbol, on July 23.",Jul 2026,10000,Estimated annual revenue >$8B,"Global smartphone brand rebrand coincides with an international expansion push; category rivals Lenovo and Qualcomm Snapdragon are already active F1 sponsors, giving HONOR a direct category-parity pitch.",yes,TS1
85,KFC (Yum! Brands),kfc.com,USA,Restaurants/QSR,rebrand,"KFC unveiled a refreshed global brand identity in 2026, rebuilt around its bucket icon while retaining Colonel Sanders and its red-and-white palette.",2026,25000,Parent Yum! Brands 2025 revenue ~$7.5B,"A global identity refresh needs a high-energy, live-audience platform to relaunch its visual system worldwide; QSR remains under-represented among F1 global sponsors.",yes,TS1
86,Animoca Brands,animocabrands.com,Hong Kong,Web3 / Gaming,ipo,Animoca Brands is expected to list on Nasdaq in 2026 via a reverse merger with Currenc Group.,2026,500,Portfolio and holdings valued in the billions across its web3/gaming investment book,Web3 gaming investor going public wants mainstream sports-audience crossover for its game and NFT portfolio.,,TS2
87,BETA Technologies,beta.team,USA,Electric Aviation (eVTOL),ipo,"BETA Technologies IPO'd on the NYSE in 2025, raising roughly $1 billion for its electric aircraft program.",2025,1000,Raised roughly $1B in its IPO,"Newly public electric-aviation pioneer wants a premium global performance-engineering platform, echoing F1's tech-transfer story.",yes,TS2
88,BitGo,bitgo.com,USA,Crypto Custody,ipo,"BitGo IPO'd on the NYSE (BTGO) on January 22, 2026, raising $213M as the first digital-asset IPO of the year.",January 2026,700,"Raised $213M in its IPO, valued over $2B",Newly public institutional crypto custodian needs global brand trust-building to win enterprise clients.,yes,TS2
89,Blockchain.com,blockchain.com,United Kingdom,Crypto Exchange / Wallet,ipo,Blockchain.com confidentially filed paperwork with the SEC for a proposed US IPO in 2026.,2026,700,Last privately valued near $14B with a large global exchange and wallet user base,"Crypto platform pre-IPO seeking mainstream credibility via a global, non-crypto-native sports audience.",yes,TS2
90,Chime Financial,chime.com,USA,Fintech / Neobank,ipo,"Chime IPO'd on Nasdaq (CHYM) in June 2025, raising approximately $864M at an $11.6B valuation.",June 2025,1500,Raised ~$864M IPO proceeds at an $11.6B valuation,Newly public neobank wants to build brand awareness beyond its core US Gen Z/millennial base.,yes,TS2
91,Consensys,consensys.io,USA,Crypto Infrastructure (MetaMask),ipo,Consensys is reportedly working with JPMorgan and Goldman Sachs on a mid-2026 IPO.,2026,1000,Last privately valued near $7B; MetaMask serves tens of millions of users globally,MetaMask's parent pursuing an IPO wants a mainstream consumer brand halo beyond crypto-native audiences.,,TS2
92,Discord,discord.com,USA,Social / Gaming Communication,ipo,Discord confidentially filed for a US IPO in January 2026.,January 2026,1000,Last privately valued near $15B with strong subscription and ad revenue growth ahead of IPO,Gaming-native platform going public wants to expand into mainstream sports fandom and esports crossover audiences.,yes,TS2
93,Figma,figma.com,USA,Design Software / SaaS,ipo,"Figma IPO'd on the NYSE in July 2025, with market cap surpassing $56 billion post-listing.",July 2025,1500,Raised over $1.2B in its IPO; large post-listing cash balance,Freshly public design category leader building brand recognition beyond its core creative/tech user base.,yes,TS2
94,Hinge Health,hingehealth.com,USA,Digital Health,ipo,"Hinge Health IPO'd on the NYSE (HNGE) on May 22, 2025, raising $437M at roughly a $3B valuation.",May 2025,1500,Raised $437M in its IPO,Newly public digital musculoskeletal-health brand seeking employer and consumer visibility globally.,yes,TS2
95,Klarna Group plc,klarna.com,Sweden,Fintech / BNPL,ipo,Klarna listed on the NYSE (KLAR) in September 2025 after a multi-year IPO delay.,September 2025,4000,Multi-billion-dollar post-IPO market cap; global consumer payments leader,"Newly public global fintech needs mainstream trust-building, the same playbook past F1 fintech sponsors have used.",yes,TS2
96,Ledger,ledger.com,France,Crypto Hardware Wallets,ipo,Ledger is working with Goldman Sachs toward a 2026 NYSE listing.,2026,800,Last privately valued near $1.4B with a profitable global hardware business,"French crypto-security brand targeting a 2026 US listing wants global premium visibility, with a natural France/Alpine tie-in.",,TS2
97,Medline Industries,medline.com,USA,Medical Supplies,ipo,"Medline filed its S-1 with the SEC on May 20, 2026 ahead of a planned 2026 IPO expected to value the company near $50B.",May 2026,43000,Expected IPO valuation near $50B,Pre-IPO medical-products giant building broader global brand recognition beyond healthcare-only channels.,,TS2
98,Navan,navan.com,USA,Corporate Travel / Expense,ipo,"Navan confidentially filed for a US IPO in June 2025 and publicly filed in September 2025, targeting a Nasdaq listing under NAVN.",September 2025,3000,Last privately valued near $9.2B,Pre-IPO corporate travel platform wants a premium global brand association as it competes for enterprise travel budgets.,yes,TS2
99,Netskope,netskope.com,USA,Cybersecurity,ipo,"Netskope listed on Nasdaq (NTSK) on September 18, 2025, raising $908M at an $8.79B valuation.",September 2025,2500,Raised $908M in its IPO,Newly public cybersecurity vendor needs enterprise brand elevation in a crowded category.,yes,TS2
100,Oura,ouraring.com,Finland,Wearables / Health Tech,ipo,"Oura confidentially filed for an IPO on May 21, 2026, with reports it could list as early as September 2026.",May 2026,1000,Last valued near $11B in a 2025 funding round,"Wearable performance-health brand pre-IPO wants elite-athlete association, echoing driver biometric storylines in F1.",yes,TS2
101,Strava,strava.com,USA,Fitness / Sports Tech,ipo,"Strava confidentially filed for a US IPO in January 2026, last valued at $2.2B in a May 2025 round led by Sequoia Capital.",January 2026,800,$2.2B private valuation with a large global subscription base,Endurance/sports-tech platform pre-IPO wants direct association with elite motorsport athletes and performance data culture.,yes,TS2
102,Anduril Industries,anduril.com,USA,Defense Tech,mega-round,"Anduril raised a $5 billion Series H in May 2026, reaching a $61 billion valuation.",May 2026,6000,"$5B raised, $61B valuation","Now one of the most valuable defense-tech companies globally, seeking mainstream brand recognition to match its scale.",yes,TS2
103,Anysphere (Cursor),cursor.com,USA,AI Coding Tools,mega-round,"Anysphere raised a $2.3B Series D in November 2025 at a $29.3B valuation, after a $900M round mid-2025.",November 2025,300,"$3.5B total raised, $29.3B valuation",Fastest-growing AI coding startup ever wants mainstream brand recognition beyond developer circles.,yes,TS2
104,Apptronik,apptronik.com,USA,Humanoid Robotics,mega-round,"Apptronik raised $520M in February 2026, extending a round to over $935M total, with NVIDIA and Boeing among backers.",February 2026,800,$935M+ total raised across 2025-2026 rounds,Humanoid-robotics leader backed by NVIDIA and Boeing wants a marquee global platform to showcase precision engineering.,yes,TS2
105,Cerebras Systems,cerebras.ai,USA,AI Chips,mega-round,"Cerebras raised a $1B Series H in February 2026 at a $23B valuation, tripling from a $1.1B Series G just four months earlier.",February 2026,500,$2.1B raised across two 2025-2026 rounds,"AI chip challenger to Nvidia, now super-capitalized, needs global brand parity with larger rivals.",yes,TS2
106,Decart,decart.ai,Israel,Artificial Intelligence (World Models),mega-round,Decart raised a $300M round led by Radical Ventures at a valuation approaching $4B.,2026,150,$300M raised at a near-$4B valuation,Frontier AI lab building global brand recognition quickly after a major valuation jump.,,TS2
107,Etched,etched.ai,USA,AI Chips,mega-round,Etched raised a $300M Series C led by Sequoia Capital at a $10B pre-money valuation.,2026,150,$300M raised at a $10B+ valuation,AI chip challenger needs brand awareness to compete for mindshare against Nvidia and other incumbents.,yes,TS2
108,Figure AI,figure.ai,USA,Humanoid Robotics,mega-round,"Figure raised $1 billion in 2025, the first-ever billion-dollar round for a robotics startup.",2025,400,$1B raised in a single round,Best-funded humanoid-robotics startup wants a global stage to build consumer trust in physical AI.,yes,TS2
109,Helsing,helsing.ai,Germany,Defense AI,mega-round,"Helsing raised $1.8B in a Series E in July 2026 at an $18B valuation, Europe's biggest defense-startup round.",July 2026,900,"$1.8B raised, $18B valuation",Europe's most valuable defense-AI startup wants a European engineering-performance platform for brand-building.,yes,TS2
110,Isomorphic Labs,isomorphiclabs.com,United Kingdom,AI Drug Discovery,mega-round,Isomorphic Labs raised a €1.8 billion Series B in H1 2026.,H1 2026,400,€1.8B raised in a single round,"Alphabet-backed AI drug-discovery firm, now hugely capitalized, expanding recognition beyond scientific and investor circles.",,TS2
111,Lambda,lambdal.com,USA,AI Cloud / GPU Compute,mega-round,Lambda raised a $480M Series D in February 2025 to expand its GPU cloud for AI training.,February 2025,600,$480M raised in a single round,"AI infrastructure provider scaling GPU cloud capacity globally, competing for enterprise brand mindshare.",,TS2
112,Mach Industries,machindustries.com,USA,Defense Tech,mega-round,Mach Industries raised a $300M Series C at a $1.8B valuation in 2026.,2026,300,$300M raised at a $1.8B valuation,Well-capitalized defense-tech maker wants public brand recognition beyond a DoD-only client base.,,TS2
113,Mercury,mercury.com,USA,Fintech (Business Banking),mega-round,"Mercury raised a $300M Series C in March 2025 at a $3.5B valuation, followed by a $200M Series D at $5.2B.",March 2025,800,"$300M raised in a single round, valuation up 49% since",Fast-growing startup-banking platform building global brand awareness among founders and business owners.,yes,TS2
114,Mistral AI,mistral.ai,France,Artificial Intelligence (LLMs),mega-round,"Mistral AI raised a €1.7 billion Series C in September 2025 led by ASML at an €11.7B valuation, and was in talks for a further ~€3B round by mid-2026.",September 2025,500,"€1.7B raised, in talks for ~€20B valuation round","France's AI champion, freshly capitalized, is a natural fit for the France-based Alpine F1 team's home platform.",yes,TS2
115,Neura Robotics,neura-robotics.com,Germany,Humanoid Robotics,mega-round,Neura Robotics raised a billion-dollar-plus funding round in 2026.,2026,400,$1B+ raised in a single round,German humanoid-robotics leader scaling fast wants global consumer-brand recognition ahead of product launch.,yes,TS2
116,Nscale,nscale.com,United Kingdom,AI Cloud Infrastructure,mega-round,Nscale raised a €1.7 billion Series C in H1 2026.,H1 2026,600,€1.7B raised for global GPU-infrastructure build-out,AI infrastructure company scaling GPU capacity globally wants a global performance-tech brand tie-in.,yes,TS2
117,Perplexity AI,perplexity.ai,USA,AI Search,mega-round,"Perplexity raised roughly $800M across multiple 2025 rounds, reaching a $20B valuation by September 2025.",September 2025,300,"$1.22B raised total, $20B valuation",Fast-scaling AI-search challenger to Google needs global consumer brand awareness to build habitual usage.,yes,TS2
118,Proxima Fusion,proximafusion.com,Germany,Fusion Energy,mega-round,"Proxima Fusion raised over €411M in July 2026, the largest European fusion investment on record, taking total funding above €650M.",July 2026,200,€650M+ raised in total,Record-setting European fusion startup wants a premium engineering platform to build public trust in fusion energy.,,TS2
119,Radiant Nuclear,radiantnuclear.com,USA,Nuclear Microreactors,mega-round,"Radiant raised over $300M in December 2025, just six months after a $165M Series C, to fund its first factory.",December 2025,300,"$300M+ raised, funding a dedicated manufacturing factory",Portable-nuclear startup building its first factory wants a global engineering and energy-innovation brand platform.,,TS2
120,Ramp,ramp.com,USA,Fintech (Corporate Cards),mega-round,"Ramp raised a $300M round at a $32B valuation in 2025, then a further $750M round at a $44B valuation.",2025,2000,Over $1B raised across 2025 rounds at up to a $44B valuation,Fast-scaling fintech unicorn wants a premium global brand halo to support international enterprise expansion.,yes,TS2
121,Saronic,saronic.com,USA,Maritime Defense Tech,mega-round,"Saronic raised a $1.75 billion Series D in 2026, one of the largest-ever financings for a maritime defense startup.",2026,800,$1.75B raised in a single round,Freshly mega-funded autonomous-vessel maker building a global brand as it scales manufacturing.,yes,TS2
122,Scale AI,scale.com,USA,AI Data Infrastructure,mega-round,"Meta invested $14.3B for a 49% stake in Scale AI in June 2025, valuing the company at $29B.",June 2025,900,$14.3B strategic investment from Meta,Massively capitalized AI data-labeling leader diversifying its brand beyond enterprise AI buyers.,yes,TS2
123,Shield AI,shield.ai,USA,Defense AI,mega-round,"Shield AI raised $2B in a Series G in March 2026, reaching a $12.7B valuation.",March 2026,1200,$2B raised in a single round,Well-capitalized defense-AI firm expanding its public profile as it scales into new international markets.,yes,TS2
124,Sierra Space,sierraspace.com,USA,Space Infrastructure,mega-round,Sierra Space raised a $550M Series C in March 2026.,March 2026,1900,$550M raised for spacecraft and orbital-infrastructure scale-up,Space infrastructure company scaling commercial operations wants a premium global engineering-brand association.,yes,TS2
125,Sila Nanotechnologies,silanano.com,USA,Battery Materials,mega-round,Sila raised a $300M round led by Atreides Management and Sutter Hill Ventures.,2025,600,$300M newly raised for commercial battery-material scale-up,Battery-materials maker fresh off a mega-round wants association with F1's electrification and sustainability push.,,TS2
126,Stegra,stegra.com,Sweden,Green Steel,mega-round,Stegra secured a €1.3 billion Series A in H1 2026.,H1 2026,1000,€1.3B raised for green-steel plant scale-up,Green-steel producer raising huge capital wants association with F1's sustainability and materials-innovation narrative.,,TS2
127,Stoke Space,stokespace.com,USA,Space Launch,mega-round,Stoke Space raised a $350M Series D+ in February 2026 for its fully reusable launch vehicle program.,February 2026,500,$350M raised for reusable-rocket commercialization,"Reusable-rocket startup fresh off a mega-round wants brand exposure tied to elite engineering, echoing F1's tech-transfer story.",yes,TS2
128,The Exploration Company,exploration.space,France,Space (Reentry Capsules),mega-round,"The Exploration Company was in talks to raise $300M+, valuing it above $2B, per a July 2026 Bloomberg report.",July 2026,400,In talks to raise $300M+ at a $2B+ valuation,"European SpaceX rival raising a mega-round is a natural fit for a European, France-linked sports platform.",,TS2
129,Together AI,together.ai,USA,AI Cloud / Inference,mega-round,Together AI raised a $305M Series B in February 2025 at a $3.3B valuation.,February 2025,250,$305M raised in a single round,Fast-scaling AI inference cloud provider building brand awareness among enterprise AI buyers.,yes,TS2
130,Vast,vastspace.com,USA,Space Stations,mega-round,Vast raised a $300M Series A in March 2026 for its private space station program.,March 2026,800,$300M raised in a single round,Well-funded private space-station developer building a public brand ahead of crewed missions.,yes,TS2
131,Walden Robotics,waldenrobotics.com,USA,Humanoid Robotics,mega-round,Walden Robotics launched in July 2026 with $300M in funding co-led by Toyota and Deviation Capital at a $1.1B valuation.,July 2026,200,"$300M raised at launch, backed by Toyota",New robotics brand launched with major capital and automaker backing needs global visibility from day one.,,TS2
132,Waymo,waymo.com,USA,Autonomous Vehicles,mega-round,Waymo raised a $16 billion funding round in 2026 to fund robotaxi expansion.,2026,3000,Raised $16B in one round to fund global robotaxi scale-up,Robotaxi leader expanding into new cities/countries needs a premium performance-and-safety-tech brand platform.,,TS2
133,xAI,x.ai,USA,Artificial Intelligence,mega-round,xAI raised a $20 billion Series E round in early 2026.,January 2026,1500,Raised $20B in a single funding round,"Elon Musk's AI venture, flush with new capital, is building a consumer-facing Grok brand globally.",yes,TS2
134,L'Oreal,loreal.com,France,Beauty / Consumer,acquisition-spree,"L'Oreal acquired Kering Beaute and Creed for a combined roughly $4.6B, with the Kering Beaute deal closing in 2025.",2025,90000,Global beauty leader with tens of billions in annual revenue; spent $4.6B+ on recent acquisitions,"Consolidating multiple luxury beauty brands under one house, needs a unifying global platform to launch them worldwide.",yes,TS2
135,Long Lake,longlake.com,USA,Real Estate / Travel Platform,acquisition-spree,"Long Lake has acquired roughly 30 businesses since 2023, including a $6.3B acquisition of American Express Global Business Travel announced May 2026.",May 2026,3000,Led a $6.3B acquisition of Amex GBT,Aggressive roll-up now spans dozens of acquired brands and needs one unifying global platform to tie them together.,,TS2
136,FineToday (Bain Capital),finetoday.co.jp,Japan,Personal Care / Consumer,pe-buyout,"Bain Capital acquired Kao's FineToday personal-care business (Biore, Kanebo and other brands) for approximately $1.29B in 2025.",2025,3000,PE-backed platform valued at $1.29B+ with a global personal-care brand portfolio,Newly PE-carved-out personal-care group needs an international platform to launch as a standalone global challenger to P&G and Unilever.,,TS2
