#,company,domain,hq_country,sector,sport,current_deal,deal_scale_est,employees_est,affordability,why_f1,already_in_lists,source
93,Kellanova (Cheez-It),kellanova.com,USA,Food & Beverage - Snacks,college,Title sponsor of the Cheez-It Citrus Bowl and Cheez-It Bowl.,n/a (undisclosed),"~23,000","Public snack-food company, $13B+ in annual revenue; already funds multiple college-football bowl naming rights.",Snack brands have no meaningful F1 presence despite race-day being a major at-home viewing/snacking occasion in the growing US audience.,yes,PS2
94,Keurig Dr Pepper (Dr Pepper),keurigdrpepper.com,USA,Beverage,college,"Dr Pepper is deeply tied to college football sponsorship, including its long-running Tuition Giveaway promotion.",n/a (undisclosed),"~28,000","Public beverage company, $15B+ in annual revenue; already funds one of college football's most recognizable promotional sponsorships.",Coca-Cola and PepsiCo brands dominate global sports sponsorship while F1 has no major soft-drink partner at all - open category white space.,yes,PS2
95,Northwestern Mutual,northwesternmutual.com,USA,Financial Services / Insurance,college,Corporate partner across multiple college sports conferences and bowl-adjacent sponsorships.,n/a (undisclosed),"~9,000","Fortune 500 insurer/wealth manager, $37B+ in annual revenue; already funds college-sports sponsorship programs.","Financial-services brands (Visa, Salesforce) already anchor F1's paddock - a peer-scale wealth manager like Northwestern Mutual has none.",,PS2
96,Pizza Hut,pizzahut.com,USA,Quick-Service Restaurant,college,Official March Madness sponsor with an estimated $10M/yr deal.,~$10M/yr (reported),"~6,000 (corporate; franchise system far larger)",Parent Yum! Brands generates $7B+ in annual revenue; already funds a top-tier March Madness sponsorship.,QSR brands have stayed largely out of F1 despite race-day viewing parties being a natural delivery/takeout occasion in the growing US fanbase.,yes,PS2
97,The Hershey Company (Reese's),thehersheycompany.com,USA,Confectionery,college,Reese's has been a long-running March Madness sponsor (bracket/confetti branding).,n/a (undisclosed),"~19,000","Public confectionery giant, $11B+ in annual revenue; already funds a marquee NCAA tournament sponsorship.",Hershey brands have no presence in F1 despite race weekends drawing family and youth audiences comparable to March Madness viewership.,yes,PS2
98,The Wendy's Company,wendys.com,USA,Quick-Service Restaurant,college,Official March Madness sponsor with an estimated $10M/yr deal.,~$10M/yr (reported),"~16,000 (corporate; franchise system far larger)","Public QSR company, $2.2B+ annual revenue; already funds a top-tier NCAA sponsorship.","Wendy's social-media-savvy marketing team already leans into cultural sports moments - F1's meme-friendly, younger US fanbase is an obvious extension.",yes,PS2
99,96.com,96.com,Philippines,betting,football,Burnley FC main shirt sponsor 2025/26,n/a,n/a,Asian betting brand funding Premier League front-of-shirt sponsorship,Asia-facing betting brand with Premier League shirt-sponsor budget; fits F1's Asian audience growth,,PS1
100,Accor,accor.com,France,hospitality,football,Paris Saint-Germain shirt sleeve sponsor,n/a,"~230,000","Euronext-listed, world's largest hotel groups by footprint, >€5B annual revenue",Global hospitality leader with race-weekend accommodation synergy; no current F1 presence,yes,PS1
101,AIA Group,aia.com,Hong Kong,insurance,football,Tottenham Hotspur main shirt sponsor since 2019,~£40M/yr,"~23,000","Largest independent pan-Asian life insurer, ~$16B revenue",No major insurer currently on F1 grid; strong APAC growth story matches F1's Asia race calendar push,yes,PS1
102,Airbnb,airbnb.com,United States,travel/hospitality,football,FIFA World Cup 2026 official supporter,n/a,"~7,000","NASDAQ-listed, ~$10B annual revenue",Global travel platform sponsoring the biggest sport mega-event; F1 race-weekend tourism is a natural adjacent fit,yes,PS1
103,Alaska Air Group,alaskaair.com,United States,airline,football,Portland Timbers main shirt sponsor,n/a,"~23,000","NYSE-listed, ~$11B annual revenue",Major US carrier already buying MLS shirt rights; fits F1's growing West Coast US race presence,,PS1
104,Alipay (Ant Group),alipay.com,China,fintech/payments,football,UEFA global partner sponsoring the Champions League and Euro tournaments,n/a,"~16,000","Ant Group-owned, world's largest mobile payments platform, hundreds of millions of users",Chinese fintech giant already buying top European football rights; F1's China GP and growing fanbase are a natural next step,yes,PS1
105,Ally Financial,ally.com,United States,banking/fintech,football,Charlotte FC main shirt sponsor,n/a,"~11,000","NYSE-listed digital bank, ~$8B annual revenue",US digital bank already sponsoring an MLS club; matches F1's US fintech-sponsor white space,yes,PS1
106,American Airlines,aa.com,United States,airline,football,FIFA World Cup 2026 official supporter,n/a,"~130,000","NASDAQ-listed, ~$53B annual revenue",Largest US airline with no F1 presence; World Cup 2026 co-host deal shows appetite for major motorsport-adjacent global sport spend,yes,PS1
107,American Family Insurance,amfam.com,United States,insurance,football,Atlanta United FC main shirt sponsor,n/a,"~13,000","Large private US insurer, >$16B annual revenue",US insurer already buying pro-sport shirt rights; matches F1's US expansion and category white space,yes,PS1
108,Anheuser-Busch InBev (Budweiser),ab-inbev.com,Belgium,beverages,football,FIFA World Cup 2026 sponsor and incoming UEFA Champions League beer partner replacing Heineken,n/a,"~164,000","Euronext-listed, world's largest brewer, ~$60B annual revenue","Direct global rival to Heineken, F1's current beer partner; taking over Heineken's own UCL slot shows aggressive category poaching",yes,PS1
109,Apple,apple.com,United States,technology,football,MLS Season Pass exclusive broadcaster and league-wide jersey sleeve sponsor,~$250M/yr (media+sponsorship),"~164,000","NASDAQ-listed, ~$390B annual revenue",Category-defining tech brand with no F1 presence; MLS deal proves willingness to bundle media rights and sponsorship at F1-relevant scale,yes,PS1
110,AXA,axa.com,France,insurance,football,Liverpool FC official training kit and back-of-shirt sponsor since 2017,n/a,"~145,000","CAC 40 insurer, >€100B annual revenue",Global insurance giant already funding Liverpool's training kit; no current F1 presence despite proven elite-club spend,yes,PS1
111,Bally's Corporation,ballys.com,United States,casino/betting,football,Nottingham Forest main shirt sponsor since 2023,n/a,"~10,500","NYSE-listed casino operator, ~$2.4B annual revenue",US-listed gaming company already buying Premier League exposure to build US brand relevance -- matches F1's US growth strategy,yes,PS1
112,Bank of America,bankofamerica.com,United States,banking,football,FIFA World Cup 2026 sponsor,n/a,"~213,000","NYSE-listed, ~$100B annual revenue","Top-tier US bank buying into World Cup 2026 ahead of the US audience; matches F1's US growth push (Miami, Vegas, Austin races)",yes,PS1
113,BBVA,bbva.com,Spain,banking,football,Official sponsor of the Argentina national football team,n/a,"~121,000","IBEX 35-listed global bank, >€25B annual revenue",Major global bank with no current F1 presence; Messi-era Argentina deal shows appetite for marquee global-sport rights,yes,PS1
114,Bet365,bet365.com,United Kingdom,betting,football,UEFA Champions League official global sponsor,n/a,"~7,000","Privately held, reported >£3B annual revenue","World's largest privately held bookmaker, already a UEFA Champions League sponsor; betting is a proven, legal F1 category",yes,PS1
115,Betsson AB,betssonab.com,Sweden,betting,football,Inter Milan main shirt sponsor 2025/26 (branded Betsson.sport under Italian ad rules),n/a,"~2,700","Nasdaq Stockholm-listed betting group, >€900M annual revenue",Nordic-listed betting group with proven Serie A-scale spend; betting is an established F1 sponsor category,yes,PS1
116,bj88,bj88.com,Philippines,betting,football,AFC Bournemouth main shirt sponsor 2025/26,n/a,n/a,Asian gaming group with existing Premier League-scale sponsorship budget,Asia-facing betting operator with proven Premier League-scale spend; F1's Asian races offer a natural next step,,PS1
117,BMW,bmw.com,Germany,automotive,football,Official mobility partner of the German Football Association (DFB),n/a,"~154,000","DAX-listed premium automaker, >€140B annual revenue","Former F1 engine supplier (2000-2009) with no current F1 team; rival manufacturers Audi, Mercedes, Ford and Honda are active or entering the grid",yes,PS1
118,Booking.com,booking.com,Netherlands,online travel,football,Official UEFA Euro 2024 partner,n/a,"~19,000","NASDAQ-listed (Booking Holdings), >$21B annual revenue",Global travel platform with race-weekend tourism synergy; no current F1 presence,yes,PS1
119,BoyleSports,boylesports.com,Ireland,betting,football,West Ham United main shirt sponsor since 2024,n/a,"~2,000","Ireland's largest independent bookmaker, family-owned, hundreds of shops plus online","Irish betting brand with West Ham-scale sport budget; betting is an established, legal F1 sponsorship category",yes,PS1
120,Bridgestone Americas,bridgestoneamericas.com,Japan,tires,football,Nashville SC main shirt sponsor,n/a,"~50,000 (Americas)","Subsidiary of Bridgestone Corp, global tire leader, >$30B group revenue",Former official F1 tire supplier (2007-2010) with existing motorsport marketing infrastructure and lapsed F1 relationship to reactivate,,PS1
121,Carabao Group,carabaogroup.com,Thailand,energy drinks,football,Title sponsor of the EFL Cup (Carabao Cup) since 2017,n/a,n/a,"Major Thai beverage conglomerate, publicly listed on the Stock Exchange of Thailand","Energy-drink category rival to Red Bull, which owns an F1 team, and to Monster's motorsport ties; proven UK cup-naming spend",yes,PS1
122,Carlsberg Group,carlsberggroup.com,Denmark,beverages,football,Long-time official partner of the Danish Football Association (DBU),n/a,"~40,000","Copenhagen-listed, world's fourth-largest brewer, >$10B annual revenue","Direct global rival to Heineken, F1's current beer partner, with decades of proven top-flight football sponsorship spend",yes,PS1
123,cinch,cinch.co.uk,United Kingdom,online car marketplace,football,Title sponsor of the Scottish Premiership since 2020,n/a,"~1,000+","Backed by Constellation Automotive Group, UK's largest used-car platform",Automotive-adjacent consumer brand with proven league-naming budget and clear F1 category fit,yes,PS1
124,Coca-Cola,coca-cola.com,United States,beverages,football,FIFA partner across World Cup 2026 and all FIFA competitions,n/a,"~79,000","NYSE-listed, ~$46B annual revenue",Largest beverage sponsor in world sport with no F1 presence; decades of proven mega-event global marketing spend,,PS1
125,Constellation Brands (Modelo),cbrands.com,United States,beverages,football,Modelo is a title-level sponsor of the Concacaf Gold Cup and Liga MX-adjacent properties,n/a,"~9,000","NYSE-listed, >$10B annual revenue","Best-selling beer brand in the US market with no F1 presence; rival to Heineken, F1's current beer partner",yes,PS1
126,Continental AG,continental.com,Germany,tires,football,Long-time official partner of the German Football Association (DFB),n/a,"~200,000","DAX-listed, world's fourth-largest tire maker, >€40B annual revenue","Direct global rival to Pirelli, F1's exclusive tire supplier; deep motorsport heritage (former F1 supplier) supports a credible pitch",yes,PS1
127,DEBET,debet.com,Vietnam,betting,football,Wolverhampton Wanderers main shirt sponsor 2025/26,n/a,n/a,Asian online betting operator funding Premier League front-of-shirt rights,Asia-facing betting brand buying Premier League exposure; matches F1's growing Asian broadcast audience,,PS1
128,Deutsche Bank,db.com,Germany,banking,football,Eintracht Frankfurt stadium naming sponsor (Deutsche Bank Park) since 2020,n/a,"~90,000","DAX-listed, one of Europe's largest banks, >€28B annual revenue",Major German bank already funding Bundesliga stadium naming rights; no current F1 presence,yes,PS1
129,Diageo,diageo.com,United Kingdom,spirits,football,FIFA World Cup 2026 official supporter (Johnnie Walker/Smirnoff),n/a,"~30,000","LSE-listed, ~£20B annual revenue",World's largest spirits company already sponsoring the World Cup; no current F1 presence despite mega-event budget,yes,PS1
130,DIGI Communications,digi.ro,Romania,telecom,football,"Rayo Vallecano and Real Oviedo shirt sponsor, La Liga 2025/26",n/a,"~13,000",Pan-European telecom operator listed on Bucharest and Amsterdam exchanges,Fast-growing pan-European telecom with disposable marketing budget and no current F1 presence,,PS1
131,DoorDash,doordash.com,United States,food delivery,football,FIFA World Cup 2026 official supporter,n/a,"~15,000","NASDAQ-listed, ~$10B annual revenue",Leading US food-delivery platform already buying World Cup rights; matches F1's US audience growth,,PS1
132,Easygo (Stake.com),stake.com,Australia,betting/crypto casino,football,Everton FC main shirt sponsor since 2023,~£10M/yr,"~1,000",Backed by billionaire founders Ed Craven & Bijan Tehrani; group valued >$1B,Crypto-linked betting brand already spending at Premier League shirt-sponsor scale; F1 already accepts crypto sponsors (Crypto.com),yes,PS1
133,EDP,edp.com,Portugal,energy/utility,football,Official sponsor of the Portugal national football team,n/a,"~12,000","Euronext Lisbon-listed utility, >€15B annual revenue",Major European utility already sponsoring a national team; energy/utility remains an open F1 sponsor category,,PS1
134,Enterprise Mobility,enterprisemobility.com,United States,car rental/mobility,football,Official UEFA Euro 2024 partner,n/a,"~90,000","Privately held, world's largest car rental company, >$35B annual revenue",Mobility brand with obvious motorsport fit; no current F1 presence despite proven mega-tournament football spend,,PS1
135,Experian,experianplc.com,Ireland,credit data/analytics,football,Copa America 2024 (US) official sponsor,n/a,"~22,000","LSE-listed, world's largest credit bureau, >$6.6B annual revenue",Global credit-data leader already sponsoring Copa America; no current F1 presence despite proven mega-event spend,yes,PS1
136,FedEx,fedex.com,United States,logistics,football,UEFA Champions League official global sponsor,n/a,"~500,000","NYSE-listed, ~$87B annual revenue","Direct rival to DHL, F1's current logistics partner; global express-delivery footprint matches F1's 24-race travel operation",yes,PS1
137,Grupo Bimbo,grupobimbo.com,Mexico,food (bakery),football,Major sponsor of Mexican national football and Liga MX properties,n/a,"~135,000","BMV-listed, world's largest bakery company, >$18B annual revenue",Mexico's largest food company already sponsoring national football; fits F1's Mexico City GP audience,yes,PS1
138,Hana Financial Group,hanafn.com,South Korea,banking,football,Official sponsor of the Korea Football Association and national team,n/a,"~13,000","KRX-listed, one of South Korea's largest financial groups, >$15B annual revenue",Major South Korean financial group already sponsoring the national team; fits F1's growth ambitions in Asia,yes,PS1
139,Herbalife,herbalife.com,United States,nutrition,football,"LA Galaxy main shirt sponsor since 2007, one of MLS's longest-running deals",n/a,"~7,500","NYSE-listed, ~$4.8B annual revenue","Global nutrition brand with a 15+ year MLS shirt deal, showing sustained appetite for pro-sport marketing spend",,PS1
140,Hisense,hisense.com,China,consumer electronics,football,FIFA World Cup 2026 sponsor; also long-time UEFA Euro sponsor,n/a,"~90,000","Global TV manufacturer, >$25B annual revenue","Proven mega-event electronics sponsor building Western brand awareness, similar playbook to Lenovo already in F1",yes,PS1
141,Hollywoodbets,hollywoodbets.net,South Africa,betting,football,Brentford FC main shirt sponsor since 2022,n/a,"~10,000",South Africa's largest private betting operator,Africa's largest private bookmaker with Premier League-scale spend; F1's growing African fanbase is untapped,,PS1
142,Home Depot,homedepot.com,United States,retail,football,FIFA World Cup 2026 official supporter,n/a,"~470,000","NYSE-listed, ~$150B annual revenue",Largest US home-improvement retailer already sponsoring the World Cup; matches F1's US market expansion,,PS1
143,Hyundai Motor Group,hyundai.com,South Korea,automotive,football,FIFA partner (Hyundai-Kia) and long-time UEFA Euro sponsor,n/a,"~120,000","Global top-5 automaker, >$150B annual group revenue","Major global automaker with no current F1 presence, unlike rivals Mercedes, Ford, Honda and Audi entering/active in F1",yes,PS1
144,Iberdrola,iberdrola.com,Spain,energy/utility,football,Title sponsor of the Spanish women's football league (Liga F Iberdrola),n/a,"~40,000","IBEX 35-listed global utility, >€45B annual revenue",Major European energy company with growing sport-sponsorship footprint and no current F1 presence,yes,PS1
145,Indeed (Recruit Holdings),indeed.com,United States,recruitment technology,football,Eintracht Frankfurt main shirt sponsor,n/a,"~13,000","Owned by Recruit Holdings (Tokyo-listed), Indeed generates multi-billion-dollar revenue",US recruitment tech giant with Bundesliga-scale sponsorship budget and zero current motorsport presence,,PS1
146,ING Group,ing.com,Netherlands,banking,football,Long-time official partner of the Dutch Football Association (KNVB),n/a,"~60,000","Euronext Amsterdam-listed, one of Europe's largest banks, >€20B annual revenue",Major European bank already a long-time Dutch football partner; fits F1's growing Dutch fanbase (Verstappen effect),yes,PS1
147,JD.com (Jingdong),jd.com,China,e-commerce,football,UEFA Champions League official e-commerce innovation partner through 2026/27,n/a,"~500,000","NASDAQ/HK-listed, >$150B annual revenue",Chinese e-commerce giant seeking Western sport credibility; F1's China race and growing Chinese fanbase are a natural fit,yes,PS1
148,Just Eat Takeaway.com,justeattakeaway.com,Netherlands,food delivery,football,UEFA Champions League official global sponsor,n/a,"~19,000","Amsterdam-listed, ~€5B annual revenue",Global food-delivery platform already buying top-tier Champions League rights with no current F1 presence,,PS1
149,Kaizen Gaming (Betano),kaizengaming.com,Greece,betting,football,Aston Villa main shirt sponsor since 2023,n/a,"~2,500",Private betting group reporting >€1.6B revenue in 2023,Betting brands are legal F1 sponsorship category in most markets; proven top-flight football shirt spend,,PS1
150,Kirin Holdings,kirinholdings.com,Japan,beverages,football,Long-time title sponsor of the Kirin Cup and official partner of the Japan Football Association,n/a,"~30,000","TSE-listed, one of Japan's largest beverage groups, >$16B annual revenue",Major Japanese beverage group with a namesake football tournament; fits F1's Japanese GP audience,yes,PS1
151,Leidos,leidos.com,United States,IT/defense services,football,D.C. United main shirt sponsor,n/a,"~47,000","NYSE-listed government-tech contractor, >$15B annual revenue","Large US government-tech contractor already buying pro-sport shirt rights, showing budget for global brand visibility",yes,PS1
152,Meilleurtaux,meilleurtaux.com,France,mortgage broking/fintech,football,Lille OSC shirt sponsor,n/a,n/a,Leading French mortgage broker owned by the Cafpi group,Leading French fintech/mortgage broker already buying Ligue 1 exposure; untapped fintech category in F1,,PS1
153,Mengniu Dairy,mengniuir.com,China,food & beverage,football,FIFA World Cup official dairy products sponsor,n/a,"~40,000","HK-listed, >$13B annual revenue",Major Chinese dairy giant already buying FIFA World Cup rights; fits F1's growth ambitions in China,,PS1
154,Midea Group,midea.com,China,home appliances,football,FC Barcelona shirt sleeve sponsor from 2025/26,n/a,"~190,000","Shenzhen-listed, world's largest appliance maker, >$55B annual revenue",Chinese consumer electronics giant buying elite European football exposure; matches F1's growth strategy in China,yes,PS1
155,Nationwide Mutual,nationwide.com,United States,insurance,football,Columbus Crew main shirt sponsor,n/a,"~24,000","Fortune 100 mutual insurer, >$30B annual revenue",Fortune 100 US insurer already funding an MLS shirt deal; matches F1's US expansion and open insurance category,yes,PS1
156,NET88,net88.com,Philippines,betting,football,Crystal Palace main shirt sponsor 2025/26,n/a,n/a,Asian betting operator funding top-flight English football rights,Asia-facing betting operator already funding top-flight English football; F1's global TV reach fits its growth ambitions,,PS1
157,Nike,nike.com,United States,sportswear,football,"Kit supplier and commercial partner to Brazil ($100M/yr), France, England and 10+ national federations",~$100M/yr (Brazil alone),"~79,000","NYSE-listed, ~$51B annual revenue",Direct global rival to Puma (Ferrari's F1 apparel partner); no current F1 team presence despite football dominance,yes,PS1
158,Ooredoo,ooredoo.com,Qatar,telecom,football,"Paris Saint-Germain training kit/back sponsor, long-running deal",n/a,"~14,000","Qatar state-backed telecom group operating across Middle East, Africa and Asia","Qatari state-backed telecom already funding a top European club; distinct from Qatar Airways, already an F1 partner",yes,PS1
159,Orange,orange.com,France,telecom,football,Long-time official partner of the French Football Federation (FFF),n/a,"~127,000","Euronext Paris-listed, France's largest telecom operator, >€40B annual revenue",France's largest telecom already a long-time FFF partner; no current F1 presence,yes,PS1
160,Plus500,plus500.com,Israel,online trading/fintech,football,Atalanta BC shirt sponsor,n/a,"~1,000","LSE-listed CFD trading platform, >$700M annual revenue",Retail trading platform already buying elite European football exposure; F1's affluent global audience fits its target demographic,yes,PS1
161,Proximus,proximus.com,Belgium,telecom,football,Official partner of the Belgian Football Association and Red Devils national team,n/a,"~12,000","Euronext Brussels-listed, Belgium's largest telecom operator, >€5.7B annual revenue",Belgium's largest telecom already a long-time national-team partner; fits F1's growing Belgian fanbase,yes,PS1
162,Reale Seguros (Reale Group),realegroup.eu,Italy,insurance,football,Real Sociedad shirt sponsor,n/a,"~4,000",Major Italian-Spanish mutual insurance group,Major Italian-Spanish insurer already funding La Liga club sponsorship; open insurance category in F1,,PS1
163,Riyadh Air,riyadhair.com,Saudi Arabia,airline,football,Atletico Madrid main shirt sponsor since 2024,n/a,n/a,"PIF-backed new national carrier of Saudi Arabia, launched with multi-billion-dollar backing",New PIF-adjacent airline actively buying global sport exposure; F1 fits its brand-launch international ambitions,yes,PS1
164,ROSHN Group,roshn.sa,Saudi Arabia,real estate,football,Title sponsor of the Saudi Pro League (Roshn Saudi League) since 2023,n/a,n/a,PIF-owned giga-project real estate developer with multi-billion-dollar development pipeline,Distinct PIF entity from Aramco already on the F1 grid; demonstrates Saudi state appetite for buying entire league naming rights,yes,PS1
165,Royal Bank of Canada (RBC),rbc.com,Canada,banking,football,LA Galaxy sleeve sponsor,n/a,"~94,000","TSX/NYSE-listed, one of North America's largest banks, >$50B annual revenue",Major North American bank already buying pro-sport shirt real estate; fits F1's growing Canadian GP profile,yes,PS1
166,Royal Caribbean Group,royalcaribbeangroup.com,United States,cruise/travel,football,Inter Miami CF main shirt sponsor,n/a,"~85,000","NYSE-listed, ~$13B annual revenue",Global travel brand riding Messi-era MLS exposure; premium leisure-travel audience overlaps with F1's race-weekend demographic,,PS1
167,SBOTOP,sbotop.com,Philippines,betting,football,Fulham FC main shirt sponsor,n/a,n/a,Established Asian licensed sportsbook operating at Premier League shirt-sponsor scale,"Asia-facing betting brand seeking Western sports credibility, matches F1's Asian TV audience growth",,PS1
168,Scotiabank,scotiabank.com,Canada,banking,football,Title sponsor of the Concacaf Champions Cup,n/a,"~90,000","TSX-listed, one of Canada's Big Five banks, >$30B annual revenue",Major North American bank buying regional football naming rights; fits F1's Canadian GP and Americas growth,yes,PS1
169,Sela,sela.sa,Saudi Arabia,entertainment/events,football,Newcastle United main shirt sponsor since 2023,~£25M/yr,"~5,000+",PIF-backed Saudi entertainment giant behind Riyadh Season and major global events,Distinct PIF-adjacent entity from Aramco (already F1); Saudi sports-investment pattern signals appetite for F1-scale spend,,PS1
170,Signal Iduna Group,signal-iduna.de,Germany,insurance,football,Borussia Dortmund stadium naming sponsor (Signal Iduna Park) since 2005,n/a,"~13,000",Major German mutual insurance group with multi-billion-euro premium income,German insurance group with two decades of stadium naming-rights spend; untapped insurance category in F1,yes,PS1
171,Snai,snai.it,Italy,betting,football,Fiorentina shirt sponsor,n/a,n/a,One of Italy's oldest and largest licensed betting operators,Longstanding Italian betting operator already funding Serie A; fits F1's strong Italian fanbase via Ferrari,,PS1
172,Socios.com (Chiliz),socios.com,Malta,fan tokens/blockchain,football,"Official fan-token partner of FC Barcelona, Paris Saint-Germain, Juventus and other top clubs since 2020",n/a,~350,"Backed by Chiliz blockchain platform, hundreds of millions in funding and sport-rights spend",Blockchain/fan-engagement brand seeking motorsport-scale fan bases; Crypto.com's F1 deal shows the category already converts,,PS1
173,Sony (PlayStation),playstation.com,Japan,gaming/electronics,football,UEFA Champions League official global sponsor,n/a,"~113,000 (Sony Group)",Sony Group ~$85B annual revenue,Gaming/electronics giant with no current F1 presence; UCL deal shows proven top-tier global sport rights spend,yes,PS1
174,Spotify,spotify.com,Sweden,music streaming,football,"FC Barcelona main shirt sponsor since 2022, extended 2025 at ~€65M/yr",~€65M/yr,"~11,000","NYSE-listed, ~$15B annual revenue, 600M+ users","Proven appetite for the world's biggest club-shirt deal; F1's young, global audience matches Spotify's core demographic",yes,PS1
175,State Farm,statefarm.com,United States,insurance,football,Copa America 2024 (US) official sponsor,n/a,"~58,000","Largest US auto/home insurer, >$100B annual revenue",Category-leading US insurer proving mega-event soccer spend; matches F1's US GP expansion,yes,PS1
176,Stellantis (Jeep),stellantis.com,Netherlands,automotive,football,Juventus main shirt sponsor 2025/26-2027/28 (Jeep brand),~€9M/yr,"~250,000 (group)","Global automaker, ~€180B annual revenue","Major automaker without an F1 works presence; direct rival positioning to Aston Martin/Aramco, Audi and Ford entering the grid",yes,PS1
177,Symetra Financial,symetra.com,United States,insurance,football,"Seattle Sounders FC main shirt sponsor, longest-running MLS shirt deal",n/a,"~1,700",Owned by Sumitomo Life; multi-billion-dollar balance sheet,"US insurer with the longest-running MLS shirt sponsorship, showing sustained sport-marketing commitment",,PS1
178,TIM (Telecom Italia),gruppotim.it,Italy,telecom,football,Long-time sponsor of Italian football including Coppa Italia branding,n/a,"~38,000","Borsa Italiana-listed, Italy's largest telecom operator, >€15B annual revenue",Italy's largest telecom already invested in Italian football; fits F1's strong Italian fanbase via Ferrari,yes,PS1
179,TotalEnergies,totalenergies.com,France,energy,football,Title sponsor of the Africa Cup of Nations (TotalEnergies AFCON) since 2016,n/a,"~100,000","CAC 40 energy major, >$200B annual revenue","Global energy major with no current F1 presence, unlike rival Aramco; AFCON deal proves appetite for major motorsport-adjacent global sport rights",yes,PS1
180,Turkish Airlines,turkishairlines.com,Turkey,airline,football,Official sponsor of UEFA Champions League,n/a,"~35,000","State-backed flag carrier flying to 300+ destinations, multi-billion-dollar revenue","Rival positioning to Emirates/Qatar Airways already in F1; extensive global-sport sponsorship playbook (also Euroleague, F.C. Barcelona-adjacent deals)",yes,PS1
181,Verizon,verizon.com,United States,telecom,football,FIFA World Cup 2026 official telecom sponsor,n/a,"~105,000","NYSE-listed, ~$134B annual revenue",Largest US wireless carrier with no F1 presence; World Cup 2026 US buildout mirrors F1's US market ambitions,yes,PS1
182,Vodafone Group,vodafone.com,United Kingdom,telecom,football,"Borussia Dortmund main shirt sponsor from 2025/26, ~€30M/season",~€30M/yr,"~92,000","LSE-listed global telecom group, >€36B annual revenue","Former F1 title sponsor (Vodafone McLaren Mercedes, 2007-2013) with proven F1 marketing playbook and lapsed relationship to reactivate",yes,PS1
183,W88,w88.com,Philippines,betting,football,Sunderland AFC main shirt sponsor 2025/26,n/a,n/a,Established Asian betting operator with Premier League-scale sponsorship spend,Asia-facing betting operator with proven top-flight football spend; F1's international calendar offers new reach,,PS1
184,Winamax,winamax.fr,France,betting,football,Olympique de Marseille main shirt sponsor,n/a,"~1,000",France's leading online poker/betting operator,"France's top betting operator with Ligue 1-scale spend; betting is a legal, F1-plausible sponsor category",yes,PS1
185,Wintrust Financial,wintrust.com,United States,banking,football,Chicago Fire FC main shirt sponsor,n/a,"~5,000","NASDAQ-listed bank holding company, >$60B in assets",Regional US bank already buying MLS shirt rights; fits F1's growing footprint in major US metro markets,,PS1
186,WWK Versicherungen,wwk.de,Germany,insurance,football,FC Augsburg stadium naming sponsor (WWK Arena),n/a,"~1,700",Major German mutual life insurer,German insurer already funding Bundesliga stadium rights; open insurance category in F1,,PS1
187,CJ Group,cj.net,South Korea,Conglomerate,golf,Title sponsor of the CJ Cup Byron Nelson on the PGA Tour.,n/a (undisclosed),"~40,000","Major South Korean conglomerate spanning food, entertainment and logistics, $25B+ in annual revenue.",Korean conglomerates are largely absent from F1 sponsorship despite the region's growing motorsport fandom and CJ's proven PGA Tour spend.,,PS2
188,Deere & Company (John Deere),deere.com,USA,Agricultural Equipment,golf,Longtime title sponsor of the PGA Tour's John Deere Classic.,n/a (undisclosed),"~83,000","Fortune 100 industrial manufacturer, $51B+ in annual revenue; already funds a decades-long PGA Tour title sponsorship.","Heavy-industrial and engineering brands have real currency in F1's technology story - John Deere has none, despite comparable golf-sponsorship commitment.",yes,PS2
189,Farmers Insurance,farmers.com,USA,Insurance,golf,Title sponsor of the PGA Tour's Farmers Insurance Open at Torrey Pines.,n/a (undisclosed),"~21,000","Major US insurer under Zurich ownership, billions in annual premiums; already funds a long-running PGA Tour title sponsorship.",Insurance brands are notably rare on F1's grid - Farmers' sustained golf investment shows appetite for premium sports-sponsorship spend that F1 doesn't yet capture.,yes,PS2
190,Fortinet,fortinet.com,USA,Cybersecurity,golf,Title sponsor of the PGA Tour's Fortinet Championship.,n/a (undisclosed),"~13,000","Public cybersecurity leader, $5.9B+ in annual revenue; already funds a PGA Tour title sponsorship.","Cybersecurity and enterprise-tech brands (Salesforce, Cisco via McLaren) are increasingly common on F1 grids - Fortinet has none despite comparable golf spend and a data-security story that fits F1's telemetry narrative.",yes,PS2
191,Genesis Motor (Hyundai Motor Group),genesis.com,South Korea,Automotive - Luxury,golf,"Title sponsor of the PGA Tour's Genesis Invitational, hosted by Tiger Woods.",n/a (undisclosed),"~2,000 (brand; Hyundai Motor Group ~120,000)",Hyundai Motor Group revenue exceeds $180B globally; Genesis is its fast-growing luxury division already funding a marquee PGA Tour event.,"Luxury automakers use F1 for brand-building globally (Aston Martin, Ferrari, Mercedes) - Genesis has none, despite comparable golf-sponsorship spend and ambitions to be seen as a global luxury player.",yes,PS2
192,Procore Technologies,procore.com,USA,Construction Software / Technology,golf,Title sponsor of the Procore Championship on PGA Tour Champions.,n/a (undisclosed),"~3,000","Public construction-tech company, $1.1B+ in annual revenue; already funds a PGA Tour Champions title sponsorship.","Fast-growing SaaS companies (Salesforce, Workday) already dot F1's grid - Procore's golf-sponsorship spend shows it plays in the same budget tier without yet being on an F1 car.",yes,PS2
