#,cluster,company,domain,hq_country,sector,event_type,event,event_date,amount,employees_est,why_f1,verify_before_outreach
84,Industrial & Energy,Valar Atomics,valaratomics.com,United States,nuclear / small modular reactors,mega-round,Raised $1B Series B at a reported $6B valuation for helium-cooled microreactors targeting AI data-center power,2026-08-04,$1B,150-250,"A newly minted multi-billion-dollar nuclear brand needs to build public confidence in advanced reactor technology beyond its data-center customer base -- a global, safety-and-performance-obsessed platform like F1 supports that trust narrative.",
85,Industrial & Energy,Fab2,fab2.com,United States,advanced manufacturing (semiconductor fab equipment),valuation-cross,"Raised $500M Series A at a $3.7B valuation to build smaller, faster chip-fabrication factories and tools",2026-09-09,$500M,150-250,"Founded by noted chip architect Jim Keller and freshly valued at $3.7B, Fab2 is trying to reinvent domestic chip manufacturing -- a high-profile global platform fits its ambition to become a household name in reshored advanced manufacturing.",
86,Industrial & Energy,Gravis Robotics,gravisrobotics.com,Switzerland,advanced manufacturing / autonomous heavy machinery,valuation-cross,Raised $200M Series A at a $1B valuation to retrofit construction/mining machinery with autonomous operation,2026-08-17,$200M,80-120,"A Swiss-engineered autonomy unicorn selling precision and safety to global construction and materials firms fits well with F1's engineering-precision brand halo, especially for a European team seeking industrial-tech sponsors.",
87,Industrial & Energy,Mariana Minerals,marianaminerals.com,United States,critical minerals / mining tech,valuation-cross,"Raised $310M Series B at a $1.5B valuation as a software-first developer/operator of copper, lithium and nickel projects",2026-08-05,$310M,80-120,A software-first critical-minerals unicorn supplying the EV/AI/defense supply chain is building a modern brand identity distinct from traditional mining -- global sponsorship visibility supports both capital raising and offtake partner recruitment.,
88,Industrial & Energy,Nova Fusion,novafusion.com,China,fusion energy / SMR,valuation-cross,Raised a $179M seed round that pushed its valuation to roughly $1.5B,2026-08-13,$179M,80-120,A seed-stage company reaching unicorn status on fusion ambitions alone signals aggressive investor confidence and a need for fast global credibility-building -- an area where sponsorship platforms with international reach add outsized brand value early.,CHECK
89,Industrial & Energy,Standard Bots,standardbots.com,United States,industrial robotics,valuation-cross,"Raised $200M Series C, crossing a $1B valuation, to scale U.S.-made AI-native industrial robot arms",2026-06-10,$200M,150-250,Newly minted unicorn with a 'designed & assembled in America' manufacturing story is building consumer and industrial-buyer awareness fast -- F1's engineering-performance narrative is an on-brand amplifier for a factory-automation challenger brand.,
90,Infra & Chips,DayOne Data Centers,dayonedatacenters.com,Singapore,Data center operator (Southeast Asia),mega-round,"Raised $4.5B in a Series C round, one of the largest data-center financings of 2026, to fund Southeast Asian hyperscale AI data-center capacity expansion.",2026-06-15,$4.5B Series C,"500-1,000",GDS Holdings' Southeast Asia data-center brand landing a multi-billion-dollar raise for regional hyperscale expansion — an operating infrastructure brand (not a pure real-estate SPV) with global growth ambitions.,
91,Infra & Chips,Firmus,firmus.co,Australia,AI data center / digital infrastructure operator,mega-round,"Raised $2B from Coatue, Nvidia, Blackstone Tactical Opportunities and Jane Street, pushing post-money valuation above $10.5B; funds Project Southgate AI-factory rollout across Australia/APAC. Follows a separate $10B Blackstone/Coatue debt facility closed Feb 2026.",2026-08-07,$2B equity ($10.5B valuation),200-500,"APAC-based AI infrastructure operator flush with Nvidia/Blackstone-backed mega-capital, pivoting from bitcoin mining to a global 'AI factory' brand story that needs visibility as it expands into new APAC markets, including Australia — natural home-market tie-in to the Australian GP.",
92,Infra & Chips,Sateliot,sateliot.space,Spain,Satellite connectivity (direct-to-device 5G),mega-round,Boosting an ongoing fundraising round to as much as €150M (~$172M) to accelerate deployment of its 5G non-terrestrial network offering direct-to-smartphone satellite connectivity.,2026-07-17,~$172M (€150M),50-100,"Spanish satellite-to-phone connectivity operator raising a step-change round — a consumer-facing 'connect anywhere' story from a Spanish GP host country, well suited to global broadcast sponsorship.",
93,Infra & Chips,Fractile,fractile.ai,United Kingdom,AI inference semiconductor,valuation-cross,"In advanced talks (co-led by Lightspeed and Redpoint, with Thrive Capital/Founders Fund) to raise ~$600M at a $6.5B valuation, a 6x jump from its $1B valuation just three months earlier, after landing a chip-supply deal with Anthropic.",2026-08-19,~$600M (at $6.5B valuation),50-150,"British in-memory-compute chip challenger with an explosive valuation run and a marquee AI-lab customer — a breakout UK tech story looking for global brand elevation, well suited to the British GP.",
94,Infra & Chips,Olix,olix.com,United Kingdom,Photonic AI inference semiconductor,valuation-cross,Raised a $312M Series B backed by Arm and the UK government's Sovereign AI venture fund at a $3.3B valuation — more than tripling its value six months after a $220M Series A.,2026-08-05,$312M ($3.3B valuation),50-120,Two-year-old London photonic-AI-chip startup tripling its valuation with UK sovereign backing — a rapidly emerging British deep-tech brand well matched to the British GP home audience.,
95,Other Sectors,Akulaku,akulaku.com,Indonesia,SEA champion (fintech BNPL),ipo,"Filed for Hong Kong IPO, Indonesia's leading buy-now-pay-later/digital banking platform",2026-09,undisclosed (HK IPO filing),2500-3500,"Indonesia's top consumer fintech brand going public, giving it fresh capital and a mandate for regional brand-building right as F1 courts Southeast Asian audiences and sponsors.",
96,Other Sectors,Asia OneHealthcare,asiaonehealthcare.com,Malaysia,SEA champion (healthcare),ipo,Confidentially filed for IPO in Kuala Lumpur targeting ~$2.5B valuation; backed by TPG and Hong Leong Group,2026-09,up to $2.5B valuation target,4000-6000,"Major Southeast Asian hospital group heading toward one of the region's largest IPOs, a marquee regional champion story fitting F1's SEA/Malaysia sponsorship and race-hosting ambitions.",CHECK
97,Other Sectors,Shiprocket,shiprocket.in,India,logistics (e-commerce enablement),ipo,"IPO listed on NSE/BSE, ~$170M raised, shares jumped 35% on debut; Temasek-backed e-commerce logistics platform",2026-08-19,$170M (IPO),2000-2500,"Newly public Indian logistics champion with a strong debut and fresh public-market capital, exactly the kind of high-visibility regional IPO F1 targets as it builds its India fan base and sponsor pipeline.",
98,Other Sectors,Nesto,nesto.ca,Canada,proptech (digital mortgage),mega-round,"$216M Series E at a $1.47B valuation, digital mortgage platform",2026-06-30,$216M,500-700,"Newly-crossed unicorn proptech brand with fresh capital for national expansion and consumer awareness building, a classic profile for first-time motorsport sponsorship to build trust and scale.",
99,Other Sectors,PixVerse,pixverse.ai,Singapore,media/gaming (AI video & interactive entertainment),mega-round,"$439M Series C extension pushing valuation past $2B, expanding into interactive entertainment and game development",2026-07-13,$439M,150-250,"Singapore-based AI video/entertainment unicorn with fresh nine-figure capital and ambitions in interactive content, fitting both the SEA-champion and media/gaming search criteria for F1 sponsorship prospecting.",
100,Other Sectors,Spiro,spiro.co,Kenya,MEA champion (electric mobility),mega-round,$270M raised (including a $55M extension) for Africa's largest electric-motorcycle and battery-swap network,2026-06,$270M,1000-1500,"Africa's flagship electric-mobility champion with a major capital raise, fitting F1's sustainability narrative and its push to build fan bases and sponsor relationships across the African continent.",CHECK
101,Other Sectors,Tripo AI,tripo3d.ai,United States,gaming tech (generative 3D content),mega-round,$150M Series A3 financing for generative AI tools that create 3D assets for games and interactive content,2026-07-02,$150M,80-120,"Well-funded generative 3D/gaming content platform positioned to supply game studios and virtual-experience builders, a fit for F1's gaming and esports partner ecosystem.",
102,Other Sectors,Udaan,udaan.com,India,marketplace (B2B e-commerce),mega-round,"$160M recapitalization (fresh equity, private credit and debt-to-equity conversion) to strengthen its balance sheet ahead of planned IPO",2026-07,$160M,1500-2000,"One of India's largest B2B marketplaces recapitalizing ahead of an IPO, a high-visibility turnaround story that could use F1's brand-building platform as it repositions for public markets.",
103,Other Sectors,Whatnot,whatnot.com,United States,marketplace (live commerce),mega-round,"$545M Series G led by Iconiq, Lightspeed and Avra, valuation nearly doubling to $20B, called the largest-ever live-commerce funding round",2026-08-07,$545M,1500-2000,Newly minted $20B marketplace with huge fresh marketing budget and a Gen-Z/collector audience overlapping F1's fastest-growing fan demographic; live-commerce format pairs naturally with race-day merchandise drops.,
104,Other Sectors,Tazapay,tazapay.com,Singapore,SEA champion (fintech infrastructure),rename-launch,"Acquired by Circle in a $400M all-stock deal for cross-border payments/banking infrastructure, deal expected to close 2027",2026-09-08,$400M,150-250,"Singapore's cross-border payments infrastructure champion being absorbed into a major global fintech (Circle), creating a newly resourced combined brand relevant to F1's Singapore GP market.",
