#,company,domain,hq_country,niche,employees_est,size_band,tag,affordability,why_f1,already_in_master,source_batch
118,Shennan Circuits Co,scc.com.cn,China,PCB & Substrates,15000,10k+,core,"Public (Shenzhen: 002916); revenue est. $1.5B+, 15,000+ employees",Large PCB/substrate maker with automotive and telecom exposure seeking international recognition,,X02a
119,Shinko Electric Industries,shinko.co.jp,Japan,IC Packaging & Substrates,7000,5k-10k,core,"Public (TSE: 6967); revenue ~$1.5B, ~7,000 employees",Semiconductor packaging/substrate maker seeking global brand visibility in mobility electronics,yes,X02a
120,SICK AG,sick.com,Germany,Industrial sensors,12000,10k+,core,"Private (family-controlled, listed preference shares Frankfurt:SIK); FY2024 revenue ~€2.2B (annual report)",Industrial-automation sensor leader seeking a high-visibility European brand platform,yes,X02b
121,Sigmatron International,sigmatronintl.com,United States,EMS electronics manufacturing,3000,1k-5k,core,Private (Transom Capital-owned since 2022); last public-filing (Nasdaq:SGMA) revenue ~US$400M,Mid-size US EMS seeking differentiated brand positioning post-take-private,,X02b
122,SIIX Corporation,siix.co.jp,Japan,EMS electronics manufacturing & trading,8000,5k-10k,core,Private (delisted 2018); group revenue historically ~US$2B+ (trade press),Japanese EMS/trading group with global manufacturing footprint seeking international brand exposure,,X02b
123,Smith & Associates (Smith),smithweb.com,United States,Independent electronic components distribution,1765,1k-5k,core,"Private; revenue ~US$666.6M, 1,765 employees (company profile data, verified via search)",Global independent distributor seeking premium brand trust signal in a market prone to counterfeit risk,,X02b
124,Smiths Interconnect,smithsinterconnect.com,United Kingdom,Connectors (RF/high-reliability),6000,5k-10k,core,"Division of Smiths Group plc (public, LSE: SMIN); parent revenue ~£3B, group ~14,000 employees",High-reliability interconnect for aerospace/defense translates directly to motorsport messaging,,X02a
125,SMTC Corporation,smtc.com,Canada,EMS electronics manufacturing,2000,1k-5k,core,Private (H.I.G. Capital-owned since 2019); last public-filing revenue ~US$450M,North American EMS repositioning post-buyout; motorsport visibility aids new business development,,X02b
126,Sumitomo Wiring Systems,sws.co.jp,Japan,Connectors & Wiring Harnesses,50000,10k+,core,"Subsidiary of Sumitomo Electric Industries (public, TSE: 5802); large-scale global operations",Sister brand Sumitomo Rubber has no current F1 tie; wiring systems fit car-electrical sponsorship category,,X02a
127,Sunlord Electronics,sunlordinc.com,China,Passive Components (inductors/EMI),10000,5k-10k,core,"Public (Shenzhen: 002138); revenue est. ~$600-700M, 10,000+ employees",Large-scale passive component maker expanding automotive-grade product lines,,X02a
128,Taiyo Yuden,yuden.co.jp,Japan,Passive Components (MLCC/inductors),20000,10k+,core,"Public (TSE: 6976); revenue ~$2B, ~20,000 employees",MLCC/inductor maker serving automotive electronics; reliability-under-vibration story fits F1,,X02a
129,TCL China Star Optoelectronics (CSOT),csot.com,China,Display panels (LCD/OLED),30000,10k+,core,Segment of Public TCL Technology (Shenzhen:000100); CSOT revenue ~US$8B FY2024 (annual report),Major display maker under TCL group; motorsport ties support TCL's consumer brand push in Europe,,X02b
130,TDK Corporation,tdk.com,Japan,Passive Components & Magnetics,100000,10k+,core,"Public (TSE: 6762); revenue ~$14B, ~100,000+ employees",Broad passive/magnetics portfolio and EV battery materials business align with F1 hybrid-era tech,yes,X02a
131,TE Connectivity,te.com,Switzerland,Connectors,85000,10k+,core,"Public (NYSE: TEL); FY revenue ~$16B, ~85,000 employees globally",Connector/sensor reliability under vibration and heat maps directly to on-car electrical systems messaging,yes,X02a
132,Tianma Microelectronics,tianma.com,China,"Display panels (LCD/OLED, automotive)",20000,10k+,core,Public (Shenzhen:000050); FY2024 revenue ~US$3B (annual report),Automotive-display leader; direct product relevance to F1 cockpit/dashboard display technology,,X02b
133,TPK Holding Co,tpk.com,Taiwan,Touch panel modules,30000,10k+,core,Public (TWSE:3673); FY2024 revenue ~US$2B (annual report),Global touch-technology leader looking to build brand recognition independent of end-device OEMs,,X02b
134,TPV Technology,tpv-tech.com,Hong Kong,EMS/ODM monitors & display assembly,50000,10k+,core,Public (HKEX:0903); FY2024 revenue ~US$8B (annual report),World's largest monitor/display ODM seeking consumer-facing brand elevation via motorsport,,X02b
135,Tripod Technology,tripod.com.tw,Taiwan,PCB Manufacturing,10000,5k-10k,core,"Public (TWSE: 3044); revenue ~$1B+, 10,000+ employees",Multilayer PCB maker seeking brand differentiation through global motorsport association,,X02a
136,Truly International Holdings,truly.com.cn,Hong Kong,Display modules & touch panels,40000,10k+,core,Public (HKEX:0732); FY2024 revenue ~US$1.5B (annual report),Diversified display/touch module maker seeking premium international brand exposure,,X02b
137,TT Electronics plc,ttelectronics.com,United Kingdom,Passive Components & Electronic Manufacturing,4200,1k-5k,core,"Public (LSE: TTG); revenue ~£400M, ~4,200 employees",UK-based electronics manufacturer with motorsport-adjacent aerospace/automotive base,yes,X02a
138,TTI Inc,ttiinc.com,United States,Electronic components distribution (Berkshire Hathaway),9000,5k-10k,core,Private (Berkshire Hathaway subsidiary); industry-estimated revenue ~US$5B+ (trade press),Well-capitalized Berkshire-owned distributor able to fund a significant sponsorship platform,yes,X02b
139,TTM Technologies,ttmtech.com,United States,PCB Manufacturing,15000,10k+,core,"Public (Nasdaq: TTMI); revenue ~$2.4B, ~15,000 employees",Complex/high-density PCB maker for aerospace/automotive fits F1's electronics-density narrative,,X02a
140,Turck Group,turck.com,Germany,Industrial automation sensors,5000,1k-5k,core,Private; FY2024 revenue ~€900M (company reports),Established automation-sensor maker seeking premium European brand platform,yes,X02b
141,TXC Corporation,txc.com.tw,Taiwan,Crystals & Timing,5500,5k-10k,core,"Public (TWSE: 6510); revenue ~$400-500M, ~5,500 employees",Crystal oscillator maker for automotive electronics seeking brand differentiation,,X02a
142,Unimicron Technology,unimicron.com,Taiwan,PCB & IC Substrates,30000,10k+,core,"Public (TWSE: 3037); revenue ~$3B, ~30,000 employees",Advanced substrate/PCB maker serving automotive electronics and semiconductor packaging,yes,X02a
143,Universal Display Corporation (UDC),oled.com,United States,OLED materials & IP licensing,450,250-1k,core,Public (NASDAQ:OLED); FY2024 revenue ~US$650M (10-K),High-margin OLED IP leader; motorsport sponsorship builds consumer awareness of an otherwise B2B ingredient brand,yes,X02b
144,Universal Scientific Industrial (USI),usiglobal.com,Taiwan,EMS & module manufacturing (SiP/IoT),30000,10k+,core,Public (TWSE:6120); FY2024 revenue ~US$3B (annual report),Module/SiP manufacturing scale; wants global brand recognition beyond Asian OEM circles,yes,X02b
145,Venture Corporation,venture.com.sg,Singapore,EMS & technology solutions,12000,10k+,core,Public (SGX:V03); FY2024 revenue ~S$2.6B (annual report),Singapore-based EMS with global life-sciences/tech clients seeking premium brand halo,,X02b
146,Victory Giant Technology,victorygiant.com,China,PCB Manufacturing,10000,5k-10k,core,"Public (Shenzhen: 300476); revenue est. $700M+, 10,000+ employees",High-layer-count PCB maker serving automotive/telecom seeking global brand exposure,,X02a
147,Visionox Technology,visionox.com,China,Display panels (AMOLED),8000,5k-10k,core,Public (Shenzhen:002387); FY2024 revenue ~US$900M (annual report; note recent margin pressure from OLED price competition),OLED maker seeking global brand recognition to differentiate from larger Korean/Chinese rivals,,X02b
148,WAGO,wago.com,Germany,Connectors & Terminal Blocks,9000,5k-10k,core,"Private (family-owned); revenue ~€1.1B, ~9,000 employees",Terminal-block and connection technology brand with engineering-credibility positioning,yes,X02a
149,Walsin Technology,walsin.com,Taiwan,Passive Components,6000,5k-10k,core,"Part of Walsin Lihwa Group (public, TWSE: 1605); revenue est. $500M-1B, thousands of employees",Passive component maker seeking differentiation from larger rivals via motorsport association,,X02a
150,Weidmüller,weidmueller.com,Germany,Connectors & Terminal Blocks,6000,5k-10k,core,"Private (family-owned); revenue ~€1.1B, ~6,000 employees",Industrial connectivity brand seeking premium motorsport association to reach B2B buyers,yes,X02a
151,Weikeng Industrial,weikeng.com.tw,Taiwan,Electronic components distribution,1500,1k-5k,core,Public (TWSE:3037); FY2024 revenue ~US$3B (annual report),Taiwanese distributor with large revenue base seeking international brand recognition,,X02b
152,Wistron Corporation,wistron.com,Taiwan,ODM/EMS notebooks & AI servers,55000,10k+,core,Public (TWSE:3231); FY2024 revenue ~US$30B (annual report),AI-server growth story and engineering precision align with F1 tech-partner positioning,yes,X02b
153,Wistron NeWeb Corporation (WNC),wnc.com.tw,Taiwan,ODM networking & wireless electronics,6000,5k-10k,core,Public (TWSE:6285); FY2024 revenue ~US$1.5B (annual report),Connectivity/telematics ODM; F1's real-time data theme fits its wireless-technology positioning,,X02b
154,World Peace Industrial Group (WPI),wpi-group.com,Taiwan,Electronic components distribution,1500,1k-5k,core,Public (TWSE:3057); FY2024 revenue ~US$3B (annual report),"Major Taiwanese distributor rivaling WPG Holdings, seeking differentiated global brand presence",,X02b
155,WPG Holdings,wpggroup.com,Taiwan,Electronic components distribution (Asia's largest),5000,1k-5k,core,Public (TWSE:3702); FY2024 revenue ~US$18B (annual report),Asia's largest component distributor seeking global brand recognition to match its scale,,X02b
156,WT Microelectronics,wtmec.com,Taiwan,Semiconductor/electronic components distribution,3500,1k-5k,core,Public (TWSE:3036); FY2024 revenue ~US$8B (annual report); parent of Future Electronics since 2023 acquisition,Large Asian distributor expanding globally via Future Electronics acquisition; sponsorship supports international brand push,,X02b
157,Würth Elektronik,we-online.com,Germany,Connectors & Passive Components,8000,5k-10k,core,"Part of Würth Group (private); revenue ~€1.3B, ~8,000 employees",Broad electromechanical/passive component range aligns with car-electronics sponsorship categories,yes,X02a
158,Yageo Corporation,yageo.com,Taiwan,Passive Components (resistors/MLCC),28000,10k+,core,"Public (TWSE: 2327); revenue ~$2B+ (post-KEMET acquisition group larger), ~28,000 employees",Global passive-components leader (incl. KEMET) with automotive push toward EV/hybrid platforms,yes,X02a
159,Yazaki Corporation,yazaki-group.com,Japan,Connectors & Wiring Harnesses,250000,10k+,core,"Private; global auto-harness leader, revenue est. $18B+, 250,000+ employees",World's largest wiring-harness maker; F1's complex looms are a natural technical showcase,,X02a
160,Yokogawa Electric Corporation,yokogawa.com,Japan,Industrial process sensors/instrumentation,18000,10k+,core,Public (TYO:6841); FY2024 revenue ~US$4B (annual report),Process-instrumentation leader seeking broader brand recognition beyond industrial-plant customers,yes,X02b
161,Zhen Ding Technology Holding,zdt.com.tw,Taiwan,PCB Manufacturing,60000,10k+,core,"Public (TWSE: 4958); revenue ~$6B, 60,000+ employees",World's largest PCB maker; scale and precision manufacturing story fits F1 engineering positioning,,X02a
162,Zollner Elektronik AG,zollner.de,Germany,EMS full-service electronics manufacturing,14000,10k+,core,"Private; group revenue reported ~€1.9B FY2024, 14,000+ staff (trade press)",Large German EMS with automotive-heavy client base; motorsport sponsorship fits engineering brand,,X02b
163,Abracon LLC,abracon.com,United States,Frequency Control & Passive Components,300,250-1k,sentiment,"Private; est. ~300 employees, revenue not publicly disclosed",Timing and passive-component supplier seeking design-win visibility via motorsport engineering credibility,,X02a
164,Binder GmbH & Co,binder-connector.de,Germany,Connectors (circular),1200,1k-5k,sentiment,"Private (family-owned); est. ~1,200 employees, revenue not publicly disclosed",Circular connector specialist seeking premium engineering-brand exposure,,X02a
165,Career Technology,careertech.com.tw,Taiwan,PCB Manufacturing,3000,1k-5k,sentiment,"Public (TWSE: 5299); mid-size specialist, revenue not fully verified",Multilayer PCB maker seeking international brand exposure beyond core Asia customer base,,X02a
166,Chilisin Electronics,chilisin.com.tw,Taiwan,Passive Components (inductors/EMI),1800,1k-5k,sentiment,"Public (TWSE: 2456); revenue est. ~$150-200M range, ~1,800 employees",Inductor/EMI component maker for automotive electronics seeking brand differentiation,,X02a
167,Coilcraft Inc,coilcraft.com,United States,Passive Components (inductors),1200,1k-5k,sentiment,"Private; est. ~1,200 employees, revenue not publicly disclosed",Precision inductor maker seeking premium brand exposure among engineering buyers,,X02a
168,Conec Elektronische Bauelemente,conec.com,Germany,Connectors,800,250-1k,sentiment,"Private; est. several hundred employees, revenue not publicly disclosed",Mid-size connector maker targeting industrial/automotive brand visibility,,X02a
169,Cornell Dubilier Electronics,cde.com,United States,Passive Components (capacitors),800,250-1k,sentiment,"Private; est. several hundred employees, revenue not publicly disclosed",Legacy capacitor maker seeking modern brand refresh through motorsport association,,X02a
170,Cyntec Co Ltd,cyntec.com,Taiwan,Passive Components (inductors/magnetics),2500,1k-5k,sentiment,"Subsidiary of TSMC-affiliated group; est. ~2,500 employees, revenue not publicly disclosed",Power inductor/magnetics specialist for automotive electronics seeking brand credibility,,X02a
171,DDK Ltd,ddknet.co.jp,Japan,Connectors,1500,1k-5k,sentiment,"Private; est. ~1,500 employees, revenue not publicly disclosed",Precision connector maker with automotive/industrial base seeking global brand exposure,,X02a
172,Dynamic Electronics,dynamice.com.tw,Taiwan,PCB Manufacturing,3000,1k-5k,sentiment,"Public (TWSE: 6212); mid-size specialist, revenue not fully verified",PCB maker seeking brand differentiation from larger Taiwanese rivals,,X02a
173,Elna Co Ltd,elna.co.jp,Japan,Passive Components (capacitors),1500,1k-5k,sentiment,"Public (TSE: 6879); smaller-cap specialist, est. ~1,500 employees",Capacitor specialist seeking differentiation from larger Japanese rivals via global sport marketing,,X02a
174,ERNI Electronics,erni.com,Switzerland,Connectors (board-level),1500,1k-5k,sentiment,"Private (family-owned); est. ~1,500 employees, revenue not publicly disclosed",Board-to-board connector maker with automotive/industrial focus seeking brand lift,,X02a
175,Escha GmbH,escha.net,Germany,Connectors (sensor/industrial),600,250-1k,sentiment,"Private; est. several hundred employees, revenue not publicly disclosed",Sensor-cable and connector maker targeting industrial automation brand visibility,,X02a
176,Fischer Connectors,fischerconnectors.com,Switzerland,Connectors (ruggedized),600,250-1k,sentiment,"Private (part of Conextivity Group); est. several hundred employees, revenue not publicly disclosed",Ruggedized connector brand targeting motorsport/defense-grade reliability positioning,yes,X02a
177,Fusion Worldwide,fusionww.com,United States,Independent electronic components distribution,600,250-1k,sentiment,"Private; industry-estimated revenue ~US$300-500M, no public financials available (trade press)",Independent distributor building brand trust in the open-market components space via a credibility platform,,X02b
178,Holy Stone Enterprise,holystone.com.tw,Taiwan,Passive Components (capacitors),1200,1k-5k,sentiment,"Public (TWSE: 6191); smaller-cap specialist, revenue not fully verified",Capacitor maker seeking global visibility beyond regional customer base,,X02a
179,I-PEX Inc,i-pex.com,Japan,Connectors (FPC/board-to-board),3000,1k-5k,sentiment,"Private; est. ~3,000 employees, revenue not publicly disclosed",Miniature high-density connectors used in compact automotive electronics packages,,X02a
180,IEC Electronics Corp,iec-electronics.com,United States,EMS aerospace/defense/medical electronics,900,250-1k,sentiment,"Public (NYSE American:IEC); FY2024 revenue ~US$180M, growing defense backlog (10-K)",Small but growing aerospace/defense EMS; sponsorship at lower tier builds brand credibility,,X02b
181,Kopin Corporation,kopin.com,United States,Microdisplays (AR/VR/defense optics),200,100-250,sentiment,"Public (NASDAQ:KOPN); FY2024 revenue ~US$28M, defense/AR design wins (10-K)",Niche microdisplay/AR innovator; small-scale sponsorship could showcase heads-up-display technology relevant to racing,,X02b
182,Lelon Electronics,lelon.com.tw,Taiwan,Passive Components (capacitors),3000,1k-5k,sentiment,"Public (TWSE: 6217); mid-size specialist, revenue not fully verified",Capacitor maker with China manufacturing base seeking global brand visibility,,X02a
183,LEMO SA,lemo.com,Switzerland,"Connectors (push-pull, medical/industrial)",2000,1k-5k,sentiment,"Private (part of Conextivity Group); est. ~2,000 employees, revenue not publicly disclosed","Swiss-engineered precision connectors align with premium, high-reliability brand positioning",yes,X02a
184,Master Electronics,masterelectronics.com,United States,Electronic components distribution,400,250-1k,sentiment,Private; industry-estimated revenue ~US$400M (trade press),Independent US distributor seeking brand differentiation in a consolidating distribution market,,X02b
185,MicroVision Inc,microvision.com,United States,Laser beam-scanning display & lidar technology,150,100-250,sentiment,"Public (NASDAQ:MVIS); small-cap, active lidar/display R&D program (10-K)",Lidar/display tech innovator seeking brand credibility; motorsport ties support automotive-sensing narrative,,X02b
186,ODU GmbH & Co KG,odu.de,Germany,Connectors (circular/push-pull),2700,1k-5k,sentiment,"Private (family-owned); mid-size specialist, est. ~2,700 employees; revenue not publicly disclosed",Precision circular connectors used in harsh-environment applications fit F1's reliability story,,X02a
187,Ohmite Manufacturing,ohmite.com,United States,Passive Components (resistors),400,250-1k,sentiment,"Private; small-mid specialist, revenue not publicly disclosed",Power resistor specialist seeking brand credibility in high-performance engineering circles,,X02a
188,Panduit Corp,panduit.com,United States,Connectors & Cable Management,5000,1k-5k,sentiment,"Private (family-owned); global manufacturer, est. ~5,000 employees",Cable/connectivity infrastructure brand seeking B2B visibility through motorsport engineering association,yes,X02a
189,PEI-Genesis,peigenesis.com,United States,Connector & electromechanical components distribution,500,250-1k,sentiment,Private; industry-estimated revenue ~US$150M (trade press),Specialty connector distributor at a modest scale; entry-tier sponsorship could raise its trade-brand profile,,X02b
190,Positronic Industries,connectpositronic.com,United States,Connectors (high-reliability),900,250-1k,sentiment,"Private; est. several hundred employees, revenue not publicly disclosed",High-reliability connector maker for aerospace/defense could leverage F1 for brand credibility,,X02a
191,Rakon Ltd,rakon.com,New Zealand,Frequency Control,500,250-1k,sentiment,"Public (NZX: RAK); smaller-cap specialist, revenue est. under $200M",Frequency-control specialist seeking international brand exposure beyond telecom/GPS niche,,X02a
192,Ralec Electronic Corp,ralec.com.tw,Taiwan,Passive Components (resistors),1000,250-1k,sentiment,"Private/small-cap; revenue not publicly disclosed, est. ~1,000 employees",Chip resistor specialist seeking international brand exposure,,X02a
193,River Eletec Corp,rivereletec.co.jp,Japan,Crystals & Timing,1200,1k-5k,sentiment,"Private/small-cap; est. ~1,200 employees, revenue not publicly disclosed",Niche crystal-device maker seeking global brand exposure beyond core Japanese customer base,,X02a
194,Rubycon Corporation,rubycon.co.jp,Japan,Passive Components (capacitors),4500,1k-5k,sentiment,"Private; est. ~4,500 employees across Japan/Asia plants, revenue not publicly disclosed",Aluminum electrolytic capacitor specialist seeking global brand recognition via motorsport,,X02a
195,Simmtech Co,simmtech.co.kr,South Korea,PCB & Substrates,2500,1k-5k,sentiment,"Public (KRX: 222800); mid-size specialist, revenue not fully verified",Memory-module substrate maker diversifying into automotive electronics,,X02a
196,Susumu Co Ltd,susumu.co.jp,Japan,Passive Components (resistors),3000,1k-5k,sentiment,"Public (TSE: 6939); mid-size specialist, revenue not fully verified, est. ~3,000 employees",Precision resistor maker seeking global brand visibility beyond core Japanese OEM base,,X02a
197,Viking Tech Corporation,vikingtech.com.tw,Taiwan,Passive Components (resistors/inductors),2000,1k-5k,sentiment,"Public (TWSE: 6142); mid-size specialist, revenue not fully verified",Passive component maker seeking brand differentiation in automotive electronics segment,,X02a
198,Wenglor sensoric,wenglor.com,Germany,Industrial optical sensors,900,250-1k,sentiment,Private; revenue estimated ~€150M (trade press),Smaller family-owned optical-sensor maker; modest sponsorship tier could support export brand-building,yes,X02b
199,WUS Printed Circuit,wuspcb.com,China,PCB Manufacturing,8000,5k-10k,sentiment,"Subsidiary of Nan Ya/Kunshan-based group; large-scale PCB manufacturer, revenue not fully verified",Large PCB manufacturer seeking international OEM brand recognition,,X02a
200,Yamaichi Electronics,yamaichi-electronics.com,Japan,Connectors (sockets/board-level),2000,1k-5k,sentiment,"Private; est. ~2,000 employees, revenue not publicly disclosed",Specialty socket/connector maker for automotive electronics seeking global exposure,,X02a
201,Young Poong Electronics,youngpoong.co.kr,South Korea,PCB Manufacturing,2000,1k-5k,sentiment,"Part of Young Poong Group (public parent); mid-size PCB operation, revenue not fully verified",PCB maker within a diversified Korean group seeking export-market brand visibility,,X02a
