sector,rank,priority_score,company,domain,hq_country,niche,employees_est,size_band,tag,timing_signal,other_sport_deal,affordability,why_f1
"04 Mining, Metals & Commodities",37,42,Alamos Gold,alamosgold.com,Canada,Gold mining,"2,600+",1k-5k,growth-projected,,,Growing Canadian gold miner with strong balance sheet,Employer brand within the Canadian mining talent market
"04 Mining, Metals & Commodities",38,42,AngloGold Ashanti,anglogoldashanti.com,South Africa/UK,Gold mining,"18,000+",10k+,core,,,"Top global gold producer, multi-billion revenue",Diversified global footprint fits several F1 host markets
"04 Mining, Metals & Commodities",39,42,ArcelorMittal,arcelormittal.com,Luxembourg,Steel manufacturing,"120,000+",10k+,core,,,"World's largest steelmaker outside China, ample marketing budget","Employer brand, European race markets, and automotive-steel supply chain"
"04 Mining, Metals & Commodities",40,42,Capstone Copper,capstonecopper.com,Canada,Copper mining,"3,200+",1k-5k,growth-projected,,,Rapidly growing pure-play copper producer with revenue rising toward floor-appropriate scale,Copper/EV narrative central to a high-growth investor story
"04 Mining, Metals & Commodities",41,42,Centerra Gold,centerragold.com,Canada,Gold & copper mining,"3,000+",1k-5k,growth-projected,,,Diversifying gold/copper miner with rising revenue,Copper addition strengthens the EV-narrative angle
"04 Mining, Metals & Commodities",42,42,Coeur Mining,coeur.com,USA,Gold & silver mining,"2,200+",1k-5k,growth-projected,,,Growing US precious-metals producer with revenue approaching floor-appropriate scale,US GP market fit and employer-brand differentiation
"04 Mining, Metals & Commodities",43,42,Concord Resources,concordresources.com,UK,Metals trading,150+,100-250,core,,,Independent metals trading house with billions in trading volume,B2B visibility within the metals-trading community
"04 Mining, Metals & Commodities",44,42,Eldorado Gold,eldoradogold.com,Canada,Gold mining,"3,500+",1k-5k,growth-projected,,,Multi-jurisdiction growing gold producer,"Growth-market visibility across Turkey, Greece and Canada operations"
"04 Mining, Metals & Commodities",45,42,Equinox Gold,equinoxgold.com,Canada,Gold mining,"4,000+",1k-5k,growth-projected,,,Rapidly scaling Americas gold producer,Growth-story investor appeal across the Americas
"04 Mining, Metals & Commodities",46,42,Eramet,eramet.com,France,Manganese & nickel mining,"13,000+",10k+,core,,,Diversified French mining group with multi-billion revenue,Battery-metals (nickel/manganese) narrative fits European race markets
"04 Mining, Metals & Commodities",47,42,Ero Copper,erocopperco.com,Canada,Copper mining (Brazil),"1,800+",1k-5k,growth-projected,,,Growing mid-cap copper producer with revenue rising on Tucuma ramp-up,Brazil home-market tie plus copper/EV growth story
"04 Mining, Metals & Commodities",48,42,Franco-Nevada,franco-nevada.com,Canada,Royalty & streaming (gold),50+,100-250,core,,,Revenue well above $200M threshold despite tiny headcount,B2B/investor-facing stature within the mining finance community
"04 Mining, Metals & Commodities",49,42,Gerdau,gerdau.com,Brazil,Steel manufacturing,"30,000+",10k+,core,,,"Largest steel producer in the Americas, multi-billion revenue",Brazil GP home-market fit and employer brand
"04 Mining, Metals & Commodities",50,42,Gold Fields,goldfields.com,South Africa,Gold mining,"18,000+",10k+,core,,,Major multinational gold producer with sponsorship-scale budget,B2B stature and Australian operations (St Ives) link to the Australian GP
"04 Mining, Metals & Commodities",51,42,Grupo Mexico,gmexico.com,Mexico,Diversified mining & infrastructure,"30,000+",10k+,core,,,Major Latin American mining conglomerate with multi-billion revenue,Mexico City GP home-market fit and copper/EV narrative
"04 Mining, Metals & Commodities",52,42,Hecla Mining,hecla.com,USA,Silver & gold mining,"1,800+",1k-5k,growth-projected,,,"Largest US silver producer, growing revenue base",US GP market fit and employer brand
"04 Mining, Metals & Commodities",53,42,Hindalco Industries,hindalco.com,India,Aluminum & copper production,"20,000+",10k+,core,,,Major Indian metals major (Aditya Birla Group) with multi-billion revenue,India growth-market story and automotive aluminum/copper supply narrative
"04 Mining, Metals & Commodities",54,42,Impala Platinum (Implats),implats.co.za,South Africa,Platinum group metals mining,"40,000+",10k+,core,,,Leading global PGM producer with multi-billion revenue,Hydrogen/fuel-cell and catalytic-converter technology narrative
"04 Mining, Metals & Commodities",55,42,Ivanhoe Mines,ivanhoemines.com,Canada,Copper mining (DRC),"4,500+",1k-5k,growth-projected,,,Kamoa-Kakula ramp-up driving rapidly rising revenue toward and above floor,High-growth copper/EV investor story with global visibility ambitions
"04 Mining, Metals & Commodities",56,42,JSW Steel,jsw.in,India,Steel manufacturing,"18,000+",10k+,core,,,Major fast-growing Indian steel producer,Growing India consumer market appeal and automotive-steel supply
"04 Mining, Metals & Commodities",57,42,KGHM Polska Miedz,kghm.com,Poland,Copper & silver mining,"18,000+",10k+,core,,,Major listed copper producer with multi-billion revenue,Copper/EV narrative and European market expansion ambitions
"04 Mining, Metals & Commodities",58,42,Liontown Resources,liontown.com.au,Australia,Lithium mining,600+,250-1k,growth-projected,,,Fast-growing ASX lithium developer with major offtake deals,EV/battery-metals growth story and Australian GP market
"04 Mining, Metals & Commodities",59,42,Mineral Resources (MinRes),mineralresources.com.au,Australia,Lithium & iron ore mining and mining services,"12,000+",10k+,core,,,Diversified Australian mining & mining-services major with multi-billion revenue,Battery-metals narrative and Australian GP home-market fit
"04 Mining, Metals & Commodities",60,42,MP Materials,mpmaterials.com,USA,Rare earths mining & processing,900+,250-1k,growth-projected,,,"Only major US rare earth producer, backed by >$400M in US government funding",EV motor-magnet supply-chain narrative fits US GP markets
"04 Mining, Metals & Commodities",61,42,Newmont,newmont.com,USA,Gold mining,"15,000+",10k+,core,,,World's largest gold miner by production; well above floor,Employer brand and B2B stature across US and Australian operating regions
"04 Mining, Metals & Commodities",62,42,Novonix,novonix.com,Australia/USA,Battery materials (anode/graphite),450+,250-1k,growth-projected,,,Fast-growing battery-materials tech company expanding in the US; deal near floor,Direct battery-technology narrative for F1's hybrid-era relevance
"04 Mining, Metals & Commodities",63,42,Nucor,nucor.com,USA,Steel manufacturing,"30,000+",10k+,core,,,Largest US steel producer with multi-billion revenue,Employer brand and lightweighting-steel narrative fit US GP markets
"04 Mining, Metals & Commodities",64,42,Ocean Partners,oceanpartners.com,UK,Metals & concentrates trading,150+,100-250,core,,,Specialist global metals-concentrate merchant with billions in trading volume,Battery-metals/concentrates trading narrative
"04 Mining, Metals & Commodities",65,42,Orica,orica.com,Australia,Mining explosives & blasting services,"13,000+",10k+,core,,,"World's largest commercial explosives provider, multi-billion revenue",Precision-engineering/technology narrative and Australian GP market
"04 Mining, Metals & Commodities",66,42,Perseus Mining,perseusmining.com,Australia,Gold mining (West Africa),"2,200+",1k-5k,growth-projected,,,Fast-growing West African gold producer with rising cash flow,Growth-market visibility and Australian listing base
"04 Mining, Metals & Commodities",67,42,Royal Gold,royalgold.com,USA,Royalty & streaming (gold/copper),45+,100-250,core,,,Revenue above $200M threshold; blue-chip royalty company,Investor-facing B2B stature and copper-royalty EV angle
"04 Mining, Metals & Commodities",68,42,Salzgitter,salzgitter-ag.com,Germany,Steel manufacturing,"25,000+",10k+,core,,,Major German steel group with multi-billion revenue,European GP markets and automotive-grade steel supply
"04 Mining, Metals & Commodities",69,42,Sigma Lithium,sigmalithiumresources.com,Brazil/Canada,Lithium mining,"1,000+",250-1k,growth-projected,,,Fast-scaling green-lithium producer with rapidly rising revenue,Brazil GP home-market fit and EV/battery-metals growth narrative
"04 Mining, Metals & Commodities",70,42,Southern Copper Corporation,southerncoppercorp.com,USA/Peru,Copper mining,"16,000+",10k+,core,,,"One of the world's largest copper reserve holders, multi-billion revenue",Copper/EV narrative with Mexico City GP market tie via parent Grupo Mexico
"04 Mining, Metals & Commodities",71,42,SSR Mining,ssrmining.com,Canada,Gold & silver mining,"3,000+",1k-5k,growth-projected,,,Diversified precious-metals producer across the Americas and Turkey,Growth-market visibility for a recovering multi-region producer
"04 Mining, Metals & Commodities",72,42,Steel Dynamics,steeldynamics.com,USA,Steel manufacturing,"12,000+",10k+,core,,,"Major US steel producer, multi-billion revenue",Automotive-grade steel supply and US GP market fit
"04 Mining, Metals & Commodities",73,42,Tata Steel,tatasteel.com,India/UK,Steel manufacturing,"65,000+",10k+,core,,,Major global steel producer with Tata Group's deep marketing resources,Tata Group's broader motorsport-adjacent brand ambitions and India growth story make Tata Steel a strong entry point despite steel being the direct product
"04 Mining, Metals & Commodities",74,42,Ternium,ternium.com,Luxembourg/Argentina,Steel manufacturing (Latin America),"20,000+",10k+,core,,,Leading Latin American steel producer with strong cash flow,Mexico City and São Paulo GP market ties
"04 Mining, Metals & Commodities",75,42,Trafigura,trafigura.com,Singapore,Commodity trading (metals & energy),"12,000+",10k+,core,,,Revenue in the hundreds of billions; one of the largest possible sponsors,Gulf trading-hub presence and B2B stature within global trading culture
"04 Mining, Metals & Commodities",76,42,Wheaton Precious Metals,wheatonpm.com,Canada,Royalty & streaming (precious metals),60+,100-250,core,,,Revenue exceeds $1B despite a lean headcount; sponsorship-scale capacity,Financing-partner brand story reaches a high-net-worth investor audience
"04 Mining, Metals & Commodities",77,34,Maptek,maptek.com,Australia,Mining software & spatial technology,600+,250-1k,adjacent,,,Privately held specialist software vendor; deal likely at or near floor,Data-visualization and simulation-tech narrative
"04 Mining, Metals & Commodities",78,34,MICROMINE,micromine.com,Australia,Mining software & technology,600+,250-1k,adjacent,,,Privately held global mining-software provider; deal scoped near floor,Digital-twin/simulation tech narrative fits F1 engineering culture
"04 Mining, Metals & Commodities",79,34,Piedmont Lithium,piedmontlithium.com,USA,Lithium mining,120+,100-250,growth-projected,,,Early-stage US lithium developer; deal scoped near floor,US EV supply-chain narrative central to its investment case
"04 Mining, Metals & Commodities",80,34,RCT (Remote Control Technologies),rct.global,Australia,Mining automation & remote control,500+,250-1k,adjacent,,,Part of the Perenti/Sandvik supplier network; scoped deal at floor,Automation/robotics narrative fits F1's technology story
"04 Mining, Metals & Commodities",81,34,Sandstorm Gold Royalties,sandstormgold.com,Canada,Royalty & streaming (gold),40+,100-250,growth-projected,,,Smaller but rapidly growing royalty portfolio approaching floor-level marketing spend,Growth-story visibility aimed at retail and institutional investors
"04 Mining, Metals & Commodities",82,34,Standard Lithium,standardlithium.com,USA/Canada,Lithium extraction (direct lithium extraction technology),120+,100-250,growth-projected,,,Pre-revenue developer backed by major partners; deal scoped near floor,Cutting-edge US EV supply-chain technology story
"04 Mining, Metals & Commodities",83,34,Vulcan Energy Resources,v-er.eu,Germany/Australia,Geothermal lithium extraction,200+,100-250,growth-projected,,,Early-stage zero-carbon lithium developer; deal scoped near floor,Zero-carbon EV/battery-metals narrative fits European race markets
"04 Mining, Metals & Commodities",84,34,Wenco International Mining Systems,wencomine.com,Canada,Mine fleet management software,400+,250-1k,adjacent,,,Hitachi-backed specialist software firm; regional/scoped deal at floor,Autonomous fleet-management and telemetry-tech narrative
05 Agriculture & AgTech,1,58,American Vanguard Corporation (AMVAC),american-vanguard.com,United States,Crop protection products,700+,250-1k,core,,,Revenue ~$500M listed company; feasible near floor for a US-market activation,Mid-cap agrochemical player seeking brand differentiation against much larger multinational rivals
05 Agriculture & AgTech,2,50,Albaugh LLC,albaugh.com,United States,Generic crop protection manufacturing,"1,500+",1k-5k,core,,,Revenue >$1B privately-held; comfortably above floor,Fast-growing generics manufacturer with expanding LATAM/global footprint seeking brand credibility
05 Agriculture & AgTech,3,50,Austevoll Seafood,austevoll-seafood.no,Norway,Pelagic fishing & salmon aquaculture (Lerøy majority owner),"5,000+",1k-5k,core,,,Revenue ~NOK 20B+ listed company; comfortably above floor,Large integrated seafood group with global export ambitions suited to premium sports sponsorship
05 Agriculture & AgTech,4,50,Bakkafrost,bakkafrost.com,Faroe Islands,Salmon aquaculture,"3,200+",1k-5k,core,,,Revenue ~€900M listed company; comfortably above floor,Fast-growing Nordic seafood exporter targeting premium global consumer markets
05 Agriculture & AgTech,5,50,Bioceres Crop Solutions,biocerescrops.com,Argentina,Ag biologicals & seed technology (Nasdaq-listed),"1,000+",250-1k,core,,,Revenue ~$500M listed company; comfortably above floor,LATAM-headquartered biotech leader well aligned with F1's São Paulo GP and broader Latin American fan growth
05 Agriculture & AgTech,6,50,BioMar Group,biomar.com,Denmark,Aquaculture feed,"2,200+",1k-5k,core,,,Revenue ~€2B privately-held (Schouw & Co. subsidiary); comfortably above floor,Global aquafeed leader with LATAM (Chile/Ecuador) and Asia growth aligned with F1's global footprint
05 Agriculture & AgTech,7,50,Cermaq Group,cermaq.com,Norway,Salmon aquaculture,"1,900+",1k-5k,core,,,Backed by Mitsubishi Corporation; comfortably above floor,"Global salmon farmer with Japanese conglomerate backing, seeking premium Western brand visibility"
05 Agriculture & AgTech,8,50,Compass Minerals,compassminerals.com,United States,Potash & plant-nutrition minerals,"2,000+",1k-5k,core,,,Revenue ~$1.1B listed company; comfortably above floor,North American mineral-nutrition leader seeking broader brand recognition beyond commodity trading circles
05 Agriculture & AgTech,9,50,DLF Seeds,dlf.com,Denmark,Grass & forage seed breeding,"2,700+",1k-5k,core,,,Revenue ~€800M cooperative-owned; comfortably above floor,World's largest grass-seed company seeking broader global brand recognition
05 Agriculture & AgTech,10,50,Ginkgo Bioworks,ginkgobioworks.com,United States,Synthetic biology platform (incl. agricultural biologicals via JV),"1,000+",250-1k,core,,,Publicly listed (NYSE); market cap and cash reserves support floor-tier sponsorship,Biotech-meets-engineering brand story is a strong thematic match for F1's precision/technology audience
05 Agriculture & AgTech,11,50,Grieg Seafood,griegseafood.com,Norway,Salmon aquaculture,800+,250-1k,core,,,Revenue ~$500M listed company; comfortably above floor for a niche activation,Premium seafood brand seeking differentiated international consumer visibility
05 Agriculture & AgTech,12,50,Koch Fertilizer (Koch Ag & Energy Solutions),kochfertilizer.com,United States,Nitrogen fertilizer production & distribution,"3,000+ (division)",1k-5k,core,,,Backed by privately-held Koch Industries (one of the world's largest private companies); floor easily affordable,Deep-pocketed private parent seeking a low-profile but premium global sponsorship vehicle
05 Agriculture & AgTech,13,50,KWS SAAT SE,kws.com,Germany,"Seed breeding (sugar beet, corn, cereals)","5,000+",1k-5k,core,,,Revenue ~€1.8B listed company; comfortably above floor,Global seed-genetics leader seeking broader consumer/investor visibility beyond agronomy circles
05 Agriculture & AgTech,14,50,Lely Group,lely.com,Netherlands,Robotic milking & dairy farm automation,"3,000+",1k-5k,core,,,Revenue ~€900M privately-held robotics leader; feasible for floor-tier package,Robotics/automation pioneer (milking robots) is a strong tech-forward storytelling match for F1
05 Agriculture & AgTech,15,50,Leroy Seafood Group,leroyseafood.com,Norway,Seafood & salmon aquaculture,"4,000+",1k-5k,core,,,Revenue ~NOK 20B listed company; comfortably above floor,Diversified Norwegian seafood group seeking global premium consumer visibility
05 Agriculture & AgTech,16,50,Netafim (Orbia),netafim.com,Israel,Drip irrigation technology,"4,500+",1k-5k,core,,,Backed by Orbia (multi-billion-revenue parent); comfortably above floor,"Water-efficiency pioneer with strong growth in Gulf, India and LATAM markets matching F1's expansion calendar"
05 Agriculture & AgTech,17,50,Nufarm Limited,nufarm.com,Australia,Crop protection products & seed technologies,"3,000+",1k-5k,core,,,Revenue ~AU$3.5B listed company; comfortably above floor,Global agrochemical exporter seeking brand differentiation in competitive generics market
05 Agriculture & AgTech,18,50,OCI Global,oci.nl,Netherlands,Nitrogen fertilizers & industrial chemicals,"4,000+",1k-5k,core,,,Revenue ~$3B listed company; comfortably above floor,Green/blue ammonia transition story aligns with F1's sustainable-fuel technology positioning
05 Agriculture & AgTech,19,50,PI Industries,piindustries.com,India,Crop protection & specialty chemicals,"3,000+",1k-5k,core,,,"Revenue ~$700M+ listed company, strong profitability; comfortably above floor",Fast-growing Indian agrochemical exporter with premium brand ambitions
05 Agriculture & AgTech,20,50,Proagrica (RELX),proagrica.com,United Kingdom,Agribusiness data & digital trading platforms,300+,250-1k,core,,,Backed by RELX (multi-billion-revenue parent); floor-tier sponsorship affordable,Data/analytics positioning fits F1's information-services sponsorship category well
05 Agriculture & AgTech,21,50,Rallis India Limited,rallis.com,India,Crop protection & seeds (Tata Group company),"2,500+",1k-5k,core,,,Revenue ~$400M listed Tata Group company; comfortably above floor,Tata Group affiliation and India-growth story align with F1's India market ambitions
05 Agriculture & AgTech,22,50,Rijk Zwaan,rijkzwaan.com,Netherlands,Vegetable seed breeding,"3,000+",1k-5k,core,,,Revenue ~€600M family/employee-owned; comfortably above floor,Global vegetable-seed innovator with strong emerging-market growth suited to premium sponsorship
05 Agriculture & AgTech,23,50,Sakata Seed Corporation,sakataseed.com,Japan,Flower & vegetable seed breeding,"1,900+",1k-5k,core,,,Revenue ~$400M listed company; comfortably above floor,Japanese seed-genetics leader seeking global consumer brand visibility beyond horticultural trade
05 Agriculture & AgTech,24,50,SalMar ASA,salmar.no,Norway,Salmon aquaculture,"2,700+",1k-5k,core,,,Revenue ~$2.5B listed company; comfortably above floor,"Major salmon producer expanding into offshore/land-based farming, seeking brand elevation"
05 Agriculture & AgTech,25,50,Skretting (Nutreco),skretting.com,Netherlands,Aquaculture feed,"4,000+ (division)",1k-5k,core,,,Parent Nutreco revenue ~€8B; comfortably above floor,World's largest aquafeed producer with global emerging-market growth aligned with F1 expansion regions
05 Agriculture & AgTech,26,46,BASF Agricultural Solutions,agriculture.basf.com,Germany,"Crop protection, seeds & biologicals (BASF division)","9,000+ (division)",5k-10k,core,,,BASF Group revenue >€68B; division budget vastly exceeds floor,Chemistry-and-technology brand narrative aligns closely with F1's engineering-performance storytelling
05 Agriculture & AgTech,27,46,FMC Corporation,fmc.com,United States,Crop protection chemicals & biologicals,"6,300+",5k-10k,core,,,Revenue ~$4.4B listed company; comfortably above floor,"Global crop-protection leader expanding biologicals portfolio, seeking modernized brand image"
05 Agriculture & AgTech,28,46,"Land O'Lakes, Inc.",landolakes.com,United States,"Agricultural cooperative (dairy, crop inputs, animal feed via WinField United)","9,000+",5k-10k,core,,,Revenue ~$18B cooperative; comfortably above floor,Consumer-facing dairy brand plus B2B ag-input arm gives dual-audience rationale for premium sponsorship
05 Agriculture & AgTech,29,46,SQM (Sociedad Química y Minera de Chile),sqm.com,Chile,Specialty plant nutrition & lithium/iodine,"6,000+",5k-10k,core,,,Revenue ~$4B+ listed company; comfortably above floor,Chilean multinational well positioned to leverage F1's growing LATAM audience and São Paulo GP
05 Agriculture & AgTech,30,46,Vilmorin & Cie (Groupe Limagrain),vilmorin.com,France,Seed breeding (field crops & vegetables),"7,500+",5k-10k,core,,,Revenue ~€1.7B cooperative-owned group; comfortably above floor,"Global seed genetics cooperative expanding export markets, could use F1 for international brand-building"
05 Agriculture & AgTech,31,46,Viterra Limited,viterra.com,Switzerland,Grain trading & agribusiness,"7,000+",5k-10k,core,,,Revenue >$30B (Glencore-backed); comfortably above floor,Global grain trader with expanding LATAM/Black Sea operations seeking premium brand platform
05 Agriculture & AgTech,32,44,AgroStar,agrostar.in,India,Agri-input e-commerce & farmer advisory platform,"1,000+",250-1k,funded-150m,,,"Raised >$150M total funding (Series E, 2023); floor-tier sponsorship plausible",Direct beneficiary of India's agri-digitization boom; F1's India market push (potential India GP return) is a natural tie-in
05 Agriculture & AgTech,33,44,DeHaat,dehaat.com,India,"Full-stack agri-tech platform (inputs, advisory, market access)","1,500+",1k-5k,funded-150m,,,"Raised >$250M, achieved unicorn status (2022); comfortably above floor","Unicorn agri-tech scaling rapidly across India's farm belt, aligned with F1's India growth strategy"
05 Agriculture & AgTech,34,44,Inari Agriculture,inari.com,United States,Gene-edited seed design platform,400+,250-1k,funded-150m,,,Raised >$475M total funding; comfortably above floor,Well-funded seed-tech unicorn seeking mainstream brand recognition beyond agronomy trade press
05 Agriculture & AgTech,35,44,Ninjacart,ninjacart.in,India,B2B fresh-produce supply chain platform,"2,000+",1k-5k,funded-150m,,,Raised >$300M total (Flipkart/Walmart-backed unicorn); comfortably above floor,High-growth Indian agri-logistics unicorn seeking premium consumer-facing brand halo
05 Agriculture & AgTech,36,44,Pivot Bio,pivotbio.com,United States,Microbial nitrogen-fixation biologicals for row crops,500+,250-1k,funded-150m,,,"Raised >$600M total funding, among best-capitalized agtech startups; comfortably above floor",Sustainability-tech unicorn with strong brand-building ambitions matching F1's decarbonization storyline
05 Agriculture & AgTech,37,42,80 Acres Farms,80acresfarms.com,United States,Indoor vertical farming,500+,250-1k,growth-projected,,,"Privately-held, revenue-generating vertical farm operator; feasible only at smallest tier near floor",Automation/robotics-driven vertical-farming narrative fits F1's technology-forward brand story
05 Agriculture & AgTech,38,42,Ag Leader Technology,agleader.com,United States,Precision ag guidance & yield-monitoring hardware,600+,250-1k,growth-projected,,,Privately-held mid-size ag-tech firm; feasible only at the low end of floor via regional package,Data/analytics-driven brand identity aligns with F1's telemetry storytelling for a tech-forward audience
05 Agriculture & AgTech,39,42,Bayer Crop Science,cropscience.bayer.com,Germany,"Seeds, traits & crop protection (Bayer division)","20,000+ (division)",10k+,core,,,Bayer Group revenue >€47B; division marketing budget vastly exceeds floor,Digital-farming platform (Climate FieldView) narrative fits F1's precision-data storytelling
05 Agriculture & AgTech,40,42,CNH Industrial,cnhindustrial.com,United Kingdom,"Farm & construction equipment (Case IH, New Holland)","35,000+",10k+,core,,,Revenue ~$20B; large industrial marketing budget supports multi-year F1 activation,Tech-forward autonomous-tractor push mirrors F1 innovation story; strong LATAM footprint via Case IH/New Holland dealer networks
05 Agriculture & AgTech,41,42,Cooke Aquaculture,cookeaqua.com,Canada,Salmon & seafood aquaculture,"12,000+",10k+,core,,,Revenue ~$2.5B privately-held; comfortably above floor,Large private North Atlantic seafood group seeking rare global consumer brand platform
05 Agriculture & AgTech,42,42,Dairy Farmers of America,dfamilk.com,United States,Dairy cooperative & processing,"17,000+",10k+,core,,,Revenue ~$20B cooperative; comfortably above floor,Large-scale dairy cooperative seeking modernized consumer brand image among younger demographics
05 Agriculture & AgTech,43,42,Gotham Greens,gothamgreens.com,United States,Indoor/greenhouse controlled-environment agriculture,"1,000+",250-1k,growth-projected,,,"Privately-held, profitable growth-stage CEA operator; realistic at floor tier via a US-market activation",Rare financially solid CEA operator with consumer-facing retail brand suited to a tech-forward sustainability story
05 Agriculture & AgTech,44,42,Louis Dreyfus Company,ldc.com,Netherlands,Agricultural commodities trading & processing,"18,000+",10k+,core,,,"Privately-held, revenue >$45B; comfortably above floor",Global commodity trader with deep LATAM/Asia footprint seeking rare public brand visibility
05 Agriculture & AgTech,45,42,Mowi ASA,mowi.com,Norway,Salmon aquaculture & seafood,"14,000+",10k+,core,,,"Revenue ~$5.4B listed company, world's largest salmon farmer; comfortably above floor",Global consumer seafood brand seeking premium international visibility beyond Nordic markets
05 Agriculture & AgTech,46,42,Olam Agri / ofi,olamgroup.com,Singapore,"Agri-commodity trading, food ingredients (cocoa, coffee, nuts)","38,000+",10k+,core,,,Revenue >$30B combined group; comfortably above floor,"Gulf-backed (ADQ-owned) agribusiness with strong Middle East ties, well matched to F1's Gulf race calendar"
05 Agriculture & AgTech,47,42,Trouw Nutrition (Nutreco),trouwnutrition.com,Netherlands,Animal feed & nutrition solutions,"11,000+ (Nutreco group)",10k+,core,,,Parent Nutreco (SHV Holdings) revenue ~€8B; comfortably above floor,Global animal-nutrition leader with strong emerging-market growth aligned with F1 expansion regions
05 Agriculture & AgTech,48,42,UPL Limited,upl-ltd.com,India,Crop protection & specialty chemicals,"12,000+",10k+,core,,,Revenue ~$5.5B listed multinational; comfortably above floor,India-headquartered global agrochemical leader aligned with F1's India and emerging-market growth strategy
05 Agriculture & AgTech,49,42,VST Tillers Tractors,vsttractors.com,India,Compact tractors & power tillers,"1,000+",250-1k,growth-projected,,,Revenue ~$150M listed small-cap; realistic only for smallest activation tier near floor,Mitsubishi-tech-licensed compact tractor brand expanding exports as India agri-mechanization grows
05 Agriculture & AgTech,50,36,AgBiome,agbiome.com,United States,Microbial discovery platform for biopesticides,150+,100-250,funded-150m,,,Raised >$180M total funding; plausible near floor for single-market activation,Biologicals R&D story fits F1's sustainability and science-forward brand positioning
05 Agriculture & AgTech,51,36,Sound Agriculture,sound.ag,United States,Biochemical crop input alternatives to synthetic fertilizer,200+,100-250,funded-150m,,,Raised >$165M total funding; plausible near floor for single-market activation,"Well-capitalized biologicals disruptor positioning as a sustainable-inputs tech brand, matching F1 sustainability push"
05 Agriculture & AgTech,52,34,Amity Technology,amitytech.com,United States,Sugar beet & specialty-crop equipment,250+,250-1k,adjacent,,,"Small privately-held manufacturer; likely below floor alone, viable only via co-sponsorship/regional package","Niche exporter (Russia, Europe, LATAM sugar-beet markets) seeking international credibility"
05 Agriculture & AgTech,53,34,Andes (AgBiome spin-related nitrogen-fixation biologicals),andes.ag,United States,Microbial nitrogen-fixation biologicals,150+,100-250,growth-projected,,,Raised ~$70M total funding (Series C); feasible only at smallest tier near floor,Climate/sustainability-linked biotech narrative aligns with F1's net-zero-by-2030 sustainability positioning
05 Agriculture & AgTech,54,34,Enko,enkochem.com,United States,AI-discovered crop-protection biologicals & chemistry,150+,100-250,growth-projected,,,Raised >$100M total funding; feasible only at smallest tier near floor,AI-driven R&D story is a natural fit with F1's technology/data-science brand narrative
05 Agriculture & AgTech,55,34,NewLeaf Symbiotics,newleafsym.com,United States,Pink pigmented facultative methylotroph (PPFM) biologicals,80+,100-250,growth-projected,,,"Raised ~$60M total funding; below floor alone, viable only bundled with a larger sponsor package",Niche biologicals innovator seeking category-defining brand visibility as biologicals market scales
05 Agriculture & AgTech,56,34,Salford Group,salfordgroup.com,Canada,Tillage & fertilizer application equipment,600+,250-1k,adjacent,,,Privately-held mid-size manufacturer; realistic only at low end of floor range,Growing US/Eastern Europe export base could use global motorsport halo for credibility
05 Agriculture & AgTech,57,34,Tropic Biosciences,tropicbio.com,United Kingdom,"Gene-editing for disease-resistant tropical crops (banana, coffee)",100+,100-250,growth-projected,,,Raised ~$90M total funding; feasible only at smallest tier near floor,"Emerging-market crop resilience story (Africa, LATAM banana/coffee belts) aligns with F1's growth-market push"
05 Agriculture & AgTech,58,26,AGRIVI,agrivi.com,Croatia,Farm management software platform,100+,100-250,adjacent,,,"Small European agtech firm; below floor alone, viable only bundled regionally",European scale-up seeking premium brand visibility to compete with larger farm-software incumbents
05 Agriculture & AgTech,59,26,AgUnity,agunity.com,Australia,Blockchain-based smallholder farmer traceability platform,50+,100-250,adjacent,,,Small social-impact-oriented startup; likely below floor alone,"Emerging-market smallholder focus (Africa, India) dovetails with F1's growth-market storytelling, though budget fit is a stretch"
05 Agriculture & AgTech,60,26,Agworld,agworld.com,Australia,Farm management & agronomy software platform,200+,100-250,adjacent,,,Mid-size private software firm; realistic only via small regional package near floor,Software platform seeking broader brand recognition beyond agronomist/reseller channels
06 Retail & E-commerce,1,50,Allegro,allegro.eu,Poland,marketplace,"5,000+",1k-5k,core,,,"Public (WSE), profitable, dominant in CEE",CEE market growth aligns with F1's expanding European base
06 Retail & E-commerce,2,50,Coles Group,colesgroup.com.au,Australia,grocery,"120,000+",10k+,core,,,"Public (ASX), stable duopoly retailer",Australian GP home market plus competitive pressure vs Woolworths
06 Retail & E-commerce,3,50,Deliveroo,deliveroo.co.uk,United Kingdom,delivery,"3,000+",1k-5k,core,,,"Public, being acquired by DoorDash in 2025, well-capitalized transition",UK home market (Silverstone GP) with a youth urban audience
06 Retail & E-commerce,4,50,Etsy,etsy.com,USA,handmade/vintage marketplace,"1,500-2,000",1k-5k,core,,,"Public (Nasdaq), ~$7B market cap, healthy margins","Etsy buyer base skews female/millennial, matching F1's fastest-growing fan demo"
06 Retail & E-commerce,5,50,Global-e Online,global-e.com,Israel,cross-border e-commerce,"1,800+",1k-5k,core,,,"Public (Nasdaq), high growth, profitable",Enables global commerce across F1's international race markets
06 Retail & E-commerce,6,50,Glovo (Delivery Hero),glovoapp.com,Spain,delivery,"5,000+",1k-5k,core,,,"Owned by Delivery Hero, strong Southern Europe/LatAm presence",Spain GP market (Barcelona/Madrid) with a strong younger-consumer brand
