list,company,domain,hq_country,subsector,employees_est,size_band,affordability,why_f1,already_in_master_book,source_batch
Insurance - Specialty & Insurtech,Crawford & Company,crawco.com,United States,Claims management / TPA,"~7,000",6k-20k,Public (NYSE:CRD.A/B); revenue >$1B,Global claims adjusting/TPA leader with international brand footprint,yes,L02b
Insurance - Specialty & Insurtech,Charles Taylor,charlestaylor.com,United Kingdom,Claims/insurance management & captive manager,"~2,800",1k-5k,Private (Lovell Minnick Partners); revenue >$300M,Global insurance services and captive management group at gate-clearing scale,,L02b
Insurance - Specialty & Insurtech,Atradius,atradius.com,Netherlands,Trade credit insurer,"~4,000",1k-5k,Owned by Grupo Catalana Occidente; revenue >$3B,Explicitly named tier example; global top-3 trade credit insurer,yes,L02b
Insurance - Specialty & Insurtech,Coface,coface.com,France,Trade credit insurer,"~4,700",1k-5k,Public (Euronext Paris:COFA); revenue >$1.9B,Explicitly named tier example; global trade credit insurer with B2B brand ambitions,,L02b
Insurance - Specialty & Insurtech,QBE Insurance Group,qbe.com,Australia,Specialty & credit insurer,"~13,000",6k-20k,Public (ASX:QBE); revenue >$20B,Global specialty/credit insurer with existing motorsport/sports sponsorship history,yes,L02b
Insurance - Specialty & Insurtech,Credendo Group,credendo.com,Belgium,Trade & export credit insurer,~600,250-1k,State/bank-backed European export credit group; revenue >$250M,Pan-European trade/export credit insurer seeking wider commercial brand recognition,,L02b
Insurance - Specialty & Insurtech,First American Financial Corp,firstam.com,United States,Title insurer,"~19,000",6k-20k,Public (NYSE:FAF); revenue >$6B,Explicitly named tier example; top-2 US title insurer,,L02b
Insurance - Specialty & Insurtech,Fidelity National Financial,fnf.com,United States,Title insurer,"~24,000",20k+,Public (NYSE:FNF); revenue >$9B,Explicitly named tier example; largest US title insurance group,,L02b
Insurance - Specialty & Insurtech,Stewart Information Services,stewart.com,United States,Title insurer,"~4,700",1k-5k,Public (NYSE:STC); revenue >$2B,Top-5 US title insurer with national real estate brand presence,,L02b
Insurance - Specialty & Insurtech,WFG National Title (Williston Financial Group),wfgtitle.com,United States,Title insurer,"~1,500",1k-5k,Private; est. revenue >$250M as top-10 US title underwriter,Fast-growing independent US title insurance underwriter,,L02b
Insurance - Specialty & Insurtech,Allstate (SquareTrade),squaretrade.com,United States,Device & appliance protection/warranty,"~2,000 (SquareTrade)",1k-5k,"Owned by Allstate Corp (public NYSE:ALL, revenue >$57B)",Explicitly named tier example; Allstate-owned global warranty/protection brand,,L02b
Insurance - Specialty & Insurtech,Frontdoor Inc (American Home Shield),frontdoor.com,United States,Home warranty,"~2,000",1k-5k,Public (NASDAQ:FTDR); revenue $2.09B (FY2025),Leading US home warranty group with consumer-brand marketing budget,,L02b
Insurance - Specialty & Insurtech,Strategic Risk Solutions,strategicrisks.com,United States,Captive insurance manager,~450,250-1k,Largest independent captive manager globally; manages $50B+ in captive premium across 30+ jurisdictions,World's largest independent captive manager; global multinational client base,,L02b
Insurance - Specialty & Insurtech,Vouch Insurance,vouch.us,United States,Tech/startup specialty MGA,~250,250-1k,Raised >$185M cumulative (incl. recent rounds),Fast-growing tech-industry specialty MGA with strong brand/marketing focus,,L02b
Insurance - Specialty & Insurtech,Newfront,newfront.com,United States,Digital insurance brokerage,~700,250-1k,Raised >$300M cumulative; valued at $2.2B+,Leading digital-first specialty insurance brokerage with tech/brand ambitions,,L02b
Insurance - Specialty & Insurtech,BMS Group,bmsgroup.com,United Kingdom,Specialty (re)insurance broker,"~2,000",1k-5k,Private (Preservation Capital Partners); revenue est. >$400M,Independent London-market specialty/reinsurance broker with growth-stage brand needs,,L02b
Insurance - Specialty & Insurtech,Worldwide Facilities,wwfi.com,United States,Wholesale specialty broker / MGA,"~1,600",1k-5k,Private (PSP Investments-backed); revenue est. >$500M,Top-5 US wholesale specialty insurance distributor at scale,,L02b
Mobility & Automotive,Uber Technologies,uber.com,US,Ride-hailing / Super-app,"33,000+",20k+,Revenue >$40B/yr; profitable; far exceeds $250M gate,"Not on 2026 F1 sponsor roster (verified); world's largest ride-hailing brand, huge overlap with F1's global urban, affluent fanbase and travel-heavy race weekends.",yes,L03a
Mobility & Automotive,Lyft,lyft.com,US,Ride-hailing / Super-app,"3,500+ (5,000+ incl. FreeNow)",1k-5k,"Revenue ~$5.8B/yr, public (NASDAQ: LYFT); clears $250M gate","Newly expanded into Europe via 2025 FreeNow acquisition ($197M); F1's European race calendar (Monaco, Silverstone, Spa) is a natural activation fit for its first international push.",,L03a
Mobility & Automotive,Bolt Technology OÜ,bolt.eu,Estonia,Ride-hailing / Super-app,"5,000+",1k-5k,Revenue reported >€2B (2024); 45+ countries; clears $250M gate,"Pan-European ride-hail/micromobility leader operating in nearly every F1 European host city; strong brand-safety fit for street-circuit race weekends (Monaco, Baku, Singapore).",yes,L03a
Mobility & Automotive,inDrive (inDriver / SUOL Innovations),indrive.com,US,Ride-hailing / Super-app,"2,500+",1k-5k,"Operates in 700+ cities/48 countries, self-funded/profitable model; clears sponsorship-affordability bar","Fast-growing emerging-markets ride-hail challenger (LatAm, Asia, Africa) seeking global brand credibility — F1's expanding footprint in these same growth markets (Brazil, Mexico, Qatar, Azerbaijan) is a strategic fit.",,L03a
Mobility & Automotive,Careem,careem.com,United Arab Emirates,Ride-hailing / Super-app,"5,000+",1k-5k,Uber-owned subsidiary; MENA super-app scale; parent revenue base clears gate,"MENA's leading super-app, headquartered steps from F1's Abu Dhabi and Qatar races; deep regional relevance for the Gulf-heavy F1 calendar.",,L03a
Mobility & Automotive,Yango Group,yango.com,Netherlands,Ride-hailing / Super-app,"15,000+",6k-20k,Multi-billion-dollar global operations across 40+ countries; clears $250M gate,"International ride-hail/mobility group (ex-Yandex) with strong presence across Africa, LatAm, Middle East, and CIS — regions with growing F1 fan bases and race activity.",,L03a
Mobility & Automotive,Cabify,cabify.com,Spain,Ride-hailing / Super-app,"1,500+",1k-5k,Revenue ~$400M+/yr across Spain & LatAm; near/at $250M gate,"Iberian/LatAm ride-hail leader; Spanish GP and LatAm races (Mexico, Brazil) offer direct market alignment with its core operating footprint.",yes,L03a
Mobility & Automotive,99 (99app),99app.com,Brazil,Ride-hailing / Super-app,"1,500+",1k-5k,DiDi-owned; Brazil's #2 ride-hail platform with national scale; parent backing clears gate,Brazil is one of F1's most passionate fan markets (Interlagos GP); 99 is a household ride-hail brand there with strong local sponsorship budgets.,,L03a
Mobility & Automotive,DiDi Global,didiglobal.com,China,Ride-hailing / Super-app,"15,000+",6k-20k,Revenue >$25B/yr; world's largest ride-hail operator by rides; far exceeds gate,"Global ride-hail giant (China, LatAm, international) with massive scale; F1's growing Asia-Pacific calendar (China GP) offers home-market activation potential.",,L03a
Mobility & Automotive,Ola Cabs (ANI Technologies),olacabs.com,India,Ride-hailing / Super-app,"2,000+",1k-5k,"India's leading ride-hail platform, hundreds of millions in annual revenue; clears gate via scale",India is a rapidly growing F1 fan base without a home race; Ola's dominant domestic brand recognition offers a high-visibility route into that audience.,,L03a
Mobility & Automotive,GoTo Group (Gojek),gotocompany.com,Indonesia,Ride-hailing / Super-app,"9,000+",6k-20k,Public (IDX: GOTO); revenue well over $250M/yr; clears gate,"Southeast Asia's dominant ride-hail/super-app; Singapore GP sits in its core regional market, offering direct fan overlap.",yes,L03a
Mobility & Automotive,Grab Holdings,grab.com,Singapore,Ride-hailing / Super-app,"10,000+",6k-20k,Public (NASDAQ: GRAB); revenue >$2.8B/yr; clears gate,"Southeast Asia's largest super-app, HQ'd in Singapore GP's home city; strong existing motorsport-adjacent brand affinity in the region.",yes,L03a
Mobility & Automotive,Gett,gett.com,United Kingdom,Ride-hailing / Super-app,500+,250-1k,Corporate ground-transport revenue base with enterprise clients (VW-backed); moderate-scale affordability,Enterprise/corporate ride booking platform with strong UK and European B2B travel accounts — fits F1's hospitality and corporate-travel ecosystem around Silverstone and European races.,,L03a
Mobility & Automotive,Rapido (Roppen Transportation Services),rapido.bike,India,Ride-hailing / Super-app,"1,000+",250-1k,"Raised $240M (May 2026) at $3B valuation, part of a $730M round — clears ≥$150M/24mo gate","India's fastest-growing ride-hail unicorn (bike taxis + cars); freshly capitalized and building global ambitions in a country with a surging, race-less F1 fan base.",,L03a
Mobility & Automotive,Maxim (Inteltech LLC),maxim.taxi,Russia,Ride-hailing / Super-app,"3,000+",1k-5k,"Operates in 1,300+ cities across CIS, Africa, LatAm; large-scale profitable operations clear gate",Widely used ride-hail app across emerging markets in Africa and LatAm that F1 is actively expanding into.,,L03a
Mobility & Automotive,Via Transportation,ridewithvia.com,US,Ride-hailing / Super-app,"1,000+",250-1k,Public since Aug 2025 IPO (NYSE: VIA); scale and public listing clear affordability gate,"Newly public transit-tech/ride-hail platform used by cities and transit agencies worldwide; F1's host-city partnerships (fan shuttles, event mobility) are a natural B2B/B2G tie-in.",,L03a
Mobility & Automotive,BlaBlaCar,blablacar.com,France,Carpooling,800+,250-1k,"Europe's largest carpooling platform, 25M+ users across 22 countries; scale-based affordability","French HQ near the F1 ecosystem; carpooling to/from European race weekends (Spa, Monza, Silverstone) is an organic, sustainability-linked activation angle.",,L03a
Mobility & Automotive,Moove,moove.io,United Kingdom,Ride-hailing / Vehicle Financing,"1,000+",250-1k,Raised $100M+ in equity/debt across 2024-2025 rounds; revenue-financing model at scale for gig-driver vehicle access; near/at $150M/24mo gate,"Fast-scaling vehicle-financing platform for ride-hail/delivery drivers across Africa, Middle East, Asia and LatAm — core ""vehicle access"" thesis with strong emerging-market F1 overlap.",,L03a
Mobility & Automotive,Zum Services,ridezum.com,US,Ride-hailing / Fleet Mobility,"1,000+",250-1k,"Raised $170M Series E (2022), valued ~$1.3B; scale-based affordability","Tech-enabled ride and fleet mobility platform (school/city transit) with major US metro presence; growing US F1 fanbase (Austin, Miami, Las Vegas GPs) as activation ground.",,L03a
Mobility & Automotive,Hertz Global Holdings,hertz.com,US,Car Rental,"35,000+",20k+,Revenue ~$9B/yr; public (NASDAQ: HTZ); far exceeds gate,Global airport/leisure rental giant with a long history of motorsport tie-ins; deep overlap with F1's international travel and hospitality audience.,,L03a
Mobility & Automotive,Avis Budget Group,avisbudgetgroup.com,US,Car Rental,"25,000+",20k+,Revenue ~$12B/yr; public (NASDAQ: CAR); far exceeds gate,"Owns Avis, Budget and Zipcar; global airport-rental scale aligns directly with F1's international race-weekend travel demand.",,L03a
Mobility & Automotive,Sixt SE,sixt.com,Germany,Car Rental,"9,000+",6k-20k,Revenue >€3.9B/yr; public (FRA: SIX2); exceeds gate,Premium European rental brand headquartered near several F1 host countries; strong existing motorsport/luxury-auto brand positioning.,,L03a
Mobility & Automotive,Enterprise Holdings,enterprise.com,US,Car Rental,"90,000+",20k+,"Privately held; largest rental fleet operator globally, multi-billion-dollar revenue; far exceeds gate","Owns Enterprise, National and Alamo; unmatched North American rental scale for the US-heavy F1 calendar (Austin, Miami, Las Vegas).",,L03a
Mobility & Automotive,Europcar Mobility Group,europcar-mobility-group.com,France,Car Rental,"8,000+",6k-20k,Revenue ~€2.6B/yr (Green Mobility Holding-owned); exceeds gate,France-headquartered rental leader with pan-European coverage across most F1 host nations.,,L03a
Mobility & Automotive,Localiza,localiza.com,Brazil,Car Rental,"15,000+",6k-20k,Public (B3: RENT3); revenue >$5B/yr after Unidas merger; far exceeds gate,Latin America's largest car-rental/fleet group; strong fit with the Brazilian GP and F1's growing LatAm fan base.,,L03a
Mobility & Automotive,Movida Locação de Veículos,movida.com.br,Brazil,Car Rental,"6,000+",5k-6k,Public (B3: MOVI3); revenue >$2B/yr; exceeds gate,Brazil's #2 rental/fleet operator; direct alignment with the São Paulo GP and Brazil's passionate F1 fanbase.,,L03a
Mobility & Automotive,CarTrawler,cartrawler.com,Ireland,Car Rental (B2B Booking Tech),600+,250-1k,"Profitable B2B travel-tech platform serving 1,000+ travel brands and airlines globally; sponsorship-scale affordability","Powers rental-car booking for major airlines and travel brands — reaches the same international, high-travel F1 audience via distribution partners.",,L03a
Mobility & Automotive,eHi Car Services,1hai.cn,China,Car Rental,"5,000+",1k-5k,"Major China rental operator, hundreds of millions in annual revenue; clears gate",Large-scale China car-rental brand positioned for F1's expanding presence in the Chinese market (Shanghai GP).,,L03a
Mobility & Automotive,CAR Inc,zuche.com,China,Car Rental,"10,000+",6k-20k,HK-listed (HKEX: 0699); China's largest car-rental company by fleet size; exceeds gate,Dominant Chinese rental brand well positioned to activate around the Shanghai GP and China's growing motorsport fandom.,,L03a
Mobility & Automotive,FINN GmbH,finn.com,Germany,Car Subscription,800+,250-1k,Raised $110M+ in recent rounds and expanded to US/UK; revenue scaling toward $250M gate; near-gate affordability,"Fast-growing car-subscription challenger disrupting traditional ownership — appeals to F1's younger, digitally-native fan segment across Germany, UK and US markets.",,L03a
Mobility & Automotive,Turo,turo.com,US,P2P Car Sharing,"1,200+",1k-5k,Revenue ~$950M-$1B/yr (2024-25); far exceeds $250M gate,"World's largest P2P car-sharing marketplace with strong presence in F1 host cities (Austin, Miami, Las Vegas, Montreal); race-weekend demand spikes are a proven Turo use case.",yes,L03a
Mobility & Automotive,Lime (Neutron Holdings),li.me,US,Micromobility,"1,000+",250-1k,"Profitable since 2022, revenue >$500M/yr; exceeds gate",Leading global e-scooter/e-bike operator active in many F1 host cities; last-mile race-weekend mobility is a natural activation tie-in.,yes,L03a
Mobility & Automotive,TIER Mobility (incl. Dott),tier.app,Germany,Micromobility,"1,500+",1k-5k,Merged with Dott in 2024 to form Europe's largest micromobility operator; combined scale clears gate,"Europe's #1 shared micromobility group, present in most European F1 host cities — strong last-mile/host-city partnership fit.",,L03a
Mobility & Automotive,Voi Technology,voiscooters.com,Sweden,Micromobility,600+,250-1k,Operates across 100+ European cities with hundreds of millions in cumulative funding; scale-based affordability,"Major European e-scooter operator in cities hosting F1 races (Silverstone-adjacent London, Zandvoort, Monza corridor).",,L03a
Mobility & Automotive,Carvana,carvana.com,US,Auto Classifieds & Marketplace,"18,000+",6k-20k,"Revenue >$13B/yr; public (NYSE: CVNA), newly profitable; far exceeds gate","Largest US online used-car retailer; US F1 calendar (Austin, Miami, Las Vegas) offers strong domestic activation ground.",,L03a
Mobility & Automotive,CarMax,carmax.com,US,Auto Classifieds & Marketplace,"25,000+",20k+,Revenue ~$27B/yr; public (NYSE: KMX); far exceeds gate,"America's largest used-car retailer with nationwide brand recognition, aligned with F1's growing US fanbase and races.",yes,L03a
Mobility & Automotive,Cars.com,cars.com,US,Auto Classifieds & Marketplace,"1,000+",250-1k,Revenue ~$700M/yr; public (NYSE: CARS); exceeds gate,Leading US auto-shopping marketplace; directly reaches car-buying enthusiasts overlapping with F1's growing American audience.,,L03a
Mobility & Automotive,AutoScout24,autoscout24.com,Germany,Auto Classifieds & Marketplace,"1,000+",250-1k,"Europe's #2 online car marketplace, revenue >€300M/yr; exceeds gate","Leading pan-European auto marketplace headquartered near multiple F1 host countries (Germany, Italy, Netherlands, Belgium).",,L03a
Mobility & Automotive,Carwow,carwow.co.uk,United Kingdom,Auto Classifieds & Marketplace,600+,250-1k,Revenue >£200M/yr and raised significant funding historically; near/at gate via scale,Popular UK car-buying platform with a large automotive-content YouTube audience that already overlaps heavily with motorsport/F1 content consumption.,,L03a
Mobility & Automotive,Constellation Automotive Group (Cinch / BCA / webuyanycar),cinch.co.uk,United Kingdom,Auto Classifieds & Marketplace,"8,000+",6k-20k,Revenue >£2B/yr (TDR Capital-backed); far exceeds gate,"UK's largest vehicle marketplace group (BCA auctions, Cinch retail, webuyanycar); scale and TV-ad heritage translate well to F1 sponsorship.",,L03a
Mobility & Automotive,Spinny,spinny.com,India,Auto Classifieds & Marketplace,"5,000+",1k-5k,Raised $160-170M (Feb 2026) at ~$1.4-1.5B valuation; clears ≥$150M/24mo gate,"India's leading full-stack used-car retailer, freshly capitalized, targeting India's fast-growing F1 fan base without a home race.",,L03a
Mobility & Automotive,Kavak,kavak.com,Mexico,Auto Classifieds & Marketplace,"8,000+",6k-20k,"Revenue ~$750M+/yr; raised $300M Series F (Feb 2026), first profitable month Dec 2025; clears multiple gates","LatAm's largest used-car platform (Mexico, Brazil, Argentina, Chile); Mexico City GP is one of F1's highest-energy race weekends and a direct home-market fit.",,L03a
Mobility & Automotive,Cars24,cars24.com,India,Auto Classifieds & Marketplace,"10,000+",6k-20k,"Revenue >₹7,000cr (~$840M)/yr; far exceeds $250M gate",India's largest online used-car marketplace by revenue; strong fit for India's growing F1 audience.,,L03a
Mobility & Automotive,Carro,carro.co,Singapore,Auto Classifieds & Marketplace,"2,000+",1k-5k,"Raised $360M+ cumulative funding, valued >$1.1B; part of SEA's ""big 3"" auto marketplaces; scale-based affordability","Southeast Asia's cross-border used-car platform, HQ'd in Singapore GP's home market.",,L03a
Mobility & Automotive,Carsome,carsome.com,Malaysia,Auto Classifieds & Marketplace,"4,000+",1k-5k,Raised $290M Series D (valued $1.7B) and continued funding into 2026; scale-based affordability,Southeast Asia's largest integrated car e-commerce platform; strong regional fit with the Singapore GP market.,,L03a
Mobility & Automotive,OLX Autos (Frontier Car Group),olxautos.com,Netherlands,Auto Classifieds & Marketplace,"3,000+",1k-5k,Part of Prosus/OLX Group; multi-billion-dollar parent revenue base; far exceeds gate,"Global used-car marketplace operating across LatAm, MENA, Asia and Africa — matches F1's emerging-market expansion strategy.",,L03a
Mobility & Automotive,Copart,copart.com,US,Auto Marketplace / Salvage Auctions,"7,000+",6k-20k,Revenue ~$4.3B/yr; public (NASDAQ: CPRT); far exceeds gate,"Global online vehicle-auction leader with massive international reach across insurers, dealers and buyers.",,L03a
Mobility & Automotive,RB Global (Ritchie Bros / IAA),rbglobal.com,Canada,Auto Marketplace / Salvage Auctions,"7,000+",6k-20k,Revenue ~$4B/yr; public (NYSE/TSX: RBA); far exceeds gate,Global vehicle and equipment auction giant (Ritchie Bros + IAA) with worldwide dealer/insurer network.,,L03a
Mobility & Automotive,CarGurus,cargurus.com,US,Auto Classifieds & Marketplace,"1,300+",1k-5k,Revenue ~$900M/yr; public (NASDAQ: CARG); far exceeds gate,Leading US car-shopping marketplace; strong overlap with F1's expanding American fanbase and races.,,L03a
Mobility & Automotive,Auto Trader Group,plc.autotrader.co.uk,United Kingdom,Auto Classifieds & Marketplace,"1,100+",1k-5k,Revenue >£500M/yr; public (LSE: AUTO); far exceeds gate,UK's dominant car marketplace; Silverstone GP and UK's deep F1 fan culture make this a natural home-market sponsor.,,L03a
Mobility & Automotive,AUTO1 Group,auto1-group.com,Germany,Auto Classifieds & Marketplace,"6,000+",5k-6k,Revenue >€6B/yr; public (FRA: AG1); far exceeds gate,"Europe's largest digital wholesale/retail car platform (Autohero, wirkaufendeinauto.de); German HQ near multiple F1 host countries.",,L03a
Mobility & Automotive,"Adevinta (mobile.de, leboncoin)",adevinta.com,Norway,Auto Classifieds & Marketplace,"5,500+",5k-6k,Revenue >€1.6B/yr (Blackstone/Permira-backed); far exceeds gate,"Owns Europe's leading auto classifieds brands (mobile.de, leboncoin, Marktplaats), spanning multiple F1 host countries.",,L03a
Mobility & Automotive,Clutch Technologies,clutch.ca,Canada,Auto Classifieds & Marketplace,800+,250-1k,Raised $200M+ cumulative funding; leading Canadian online car retailer; scale-based affordability,Canada's largest online car-buying platform; F1's Canadian GP (Montreal) offers a direct home-market activation.,,L03a
Mobility & Automotive,CarDekho (Girnar Software),cardekho.com,India,Auto Classifieds & Marketplace,"5,000+",1k-5k,"Raised $250M+ cumulative, valued >$1.2B; scale-based affordability","India's leading auto research/classifieds platform; strong fit for India's large, race-less F1 fan base.",,L03a
Mobility & Automotive,CarTrade Tech,cartrade.com,India,Auto Classifieds & Marketplace,"1,500+",1k-5k,Public (NSE/BSE: CARTRADE); multi-brand India auto marketplace group; clears gate via scale,"Publicly listed Indian auto-marketplace group (CarWale, CarTrade, Shriram Automall) with broad national reach.",,L03a
Mobility & Automotive,Carousell Group,carousell.com,Singapore,Auto Classifieds & Marketplace,"1,000+",250-1k,"Raised $450M+ cumulative funding, valued >$1.1B; scale-based affordability","Leading SEA classifieds group with a major motors vertical, HQ'd in Singapore GP's home city.",,L03a
Mobility & Automotive,Chehaoduo Group (Guazi.com),guazi.com,China,Auto Classifieds & Marketplace,"10,000+",6k-20k,"China's largest used-car transaction platform, multi-billion-dollar valuation; far exceeds gate",Dominant Chinese used-car marketplace positioned for F1's growth push in China (Shanghai GP).,,L03a
Mobility & Automotive,Autohome,autohome.com.cn,China,Auto Classifieds & Marketplace,"6,000+",5k-6k,Revenue ~$1.1B/yr; public (NYSE: ATHM); far exceeds gate,China's leading auto content/classifieds platform reaching millions of car-intent consumers ahead of the Shanghai GP.,,L03a
Mobility & Automotive,Webmotors,webmotors.com.br,Brazil,Auto Classifieds & Marketplace,500+,250-1k,Brazil's leading auto marketplace (Santander/Localiza-backed); parent scale clears gate,"Brazil's top vehicle marketplace, directly aligned with the São Paulo GP and Brazil's passionate F1 following.",,L03a
Mobility & Automotive,TRADER Corporation,trader.ca,Canada,Auto Classifieds & Marketplace,900+,250-1k,"Canada's leading automotive marketplace (autoTRADER.ca), PE-backed at national scale; clears gate","Canada's #1 car marketplace, well positioned around the Canadian GP in Montreal.",,L03a
Mobility & Automotive,Samsara,samsara.com,US,Fleet Management & Telematics,"3,000+",1k-5k,Revenue >$1.2B/yr; public (NYSE: IOT); far exceeds gate,Leading connected-fleet/IoT platform; strong B2B brand-building rationale via F1's engineering/telemetry-driven image.,yes,L03a
Mobility & Automotive,Geotab,geotab.com,Canada,Fleet Management & Telematics,"3,000+",1k-5k,"World's largest commercial telematics provider by device count, multi-billion-dollar scale; far exceeds gate",Global fleet-telematics leader with a data/performance-analytics story that mirrors F1's own telemetry-driven ethos.,yes,L03a
Mobility & Automotive,Motive (KeepTruckin),gomotive.com,US,Fleet Management & Telematics,"1,600+",1k-5k,Valued >$2.85B; reported ARR crossing $500M; near/exceeds $250M gate,"Fast-scaling fleet-safety/telematics platform seeking category-defining brand visibility, similar to Samsara/Geotab positioning.",yes,L03a
Mobility & Automotive,Verizon Connect,verizonconnect.com,US,Fleet Management & Telematics,"2,000+ (parent Verizon 100,000+)",20k+,Verizon-owned; parent revenue >$130B/yr; far exceeds gate,"Major fleet-telematics division of Verizon, backed by one of the largest telecom balance sheets globally.",yes,L03a
Mobility & Automotive,Trimble Transportation,trimble.com,US,Fleet Management & Telematics,"2,000+ (parent Trimble 11,000+)",6k-20k,Trimble Inc. revenue >$3.6B/yr; public (NASDAQ: TRMB); far exceeds gate,Fleet/transportation technology division of a major public industrial-tech company with strong sponsorship capacity.,yes,L03a
Mobility & Automotive,Teletrac Navman (Vontier),teletracnavman.com,US,Fleet Management & Telematics,"1,000+ (parent Vontier 8,500+)",6k-20k,Vontier Corp revenue ~$3B/yr; public (NYSE: VNT); far exceeds gate,Global fleet-telematics brand under a well-capitalized industrial-tech parent.,yes,L03a
Mobility & Automotive,Fleet Complete,fleetcomplete.com,Canada,Fleet Management & Telematics,700+,250-1k,"Large private telematics provider serving 300,000+ vehicles globally; scale-based affordability",Established global fleet-telematics brand seeking broader B2B brand recognition.,,L03a
Mobility & Automotive,Wex Inc,wexinc.com,US,Fleet Payments & Management,"5,000+",1k-5k,Revenue ~$2.6B/yr; public (NYSE: WEX); far exceeds gate,Global fleet-payments and mobility-benefits leader with strong enterprise sponsorship budgets.,yes,L03a
Mobility & Automotive,Webfleet (Bridgestone),webfleet.com,Netherlands,Fleet Management & Telematics,"1,000+ (parent Bridgestone 140,000+)",20k+,Bridgestone-owned; parent revenue >¥4 trillion; far exceeds gate,"European fleet-telematics leader backed by Bridgestone, F1's own official tyre supplier ecosystem-adjacent brand family.",,L03a
Mobility & Automotive,Lytx,lytx.com,US,Fleet Management & Telematics,"1,300+",1k-5k,Large PE-backed fleet-safety/video-telematics provider serving 1M+ vehicles; scale-based affordability,Leading driver-safety/telematics brand with an engineering-and-performance story well suited to F1's audience.,,L03a
Mobility & Automotive,Holman,holman.com,US,Fleet Management & Leasing,"9,000+",6k-20k,"Revenue >$5B/yr; 9,000+ staff; clears both revenue and headcount gates",One of the largest privately held fleet-management/leasing and auto-retail groups in North America.,,L03a
Mobility & Automotive,Merchants Fleet,merchantsfleet.com,US,Fleet Management & Leasing,"1,000+",250-1k,"PE-backed (Bain Capital Credit), revenue approaching $1B/yr; near/exceeds gate",Fast-growing US fleet-leasing and management provider building national brand awareness.,,L03a
Mobility & Automotive,Wheels Inc.,wheels.com,US,Fleet Management & Leasing,800+,250-1k,Part of Group1001; multi-billion-dollar managed fleet assets; scale-based affordability,Established US fleet-leasing brand with large corporate-client base overlapping F1's B2B hospitality audience.,,L03a
Mobility & Automotive,Ayvens (ALD Automotive + LeasePlan),ayvens.com,France,Fleet Leasing,"18,000+",6k-20k,"Revenue >€10B/yr; public (Euronext Paris: AYV), Société Générale-backed; far exceeds gate",World's largest vehicle-leasing/fleet-management company post ALD-LeasePlan merger; French HQ near F1's home market.,,L03a
Mobility & Automotive,Arval (BNP Paribas),arval.com,France,Fleet Leasing,"9,000+ (parent BNP Paribas 180,000+)",20k+,BNP Paribas-owned; parent revenue >€45B/yr; far exceeds gate,"Major European fleet-leasing brand backed by one of Europe's largest banks, with existing high-value sports sponsorship experience.",yes,L03a
Mobility & Automotive,Alphabet International (BMW Group),alphabet.com,Germany,Fleet Leasing,"3,000+ (parent BMW Group 150,000+)",20k+,BMW Group-owned; parent revenue >€140B/yr; far exceeds gate,BMW's global fleet-leasing/mobility arm; automotive-OEM backing gives it inherent motorsport sponsorship familiarity.,,L03a
Mobility & Automotive,Athlon (Mercedes-Benz Mobility),athlon.com,Netherlands,Fleet Leasing,"1,500+ (parent Mercedes-Benz Group 166,000+)",20k+,Mercedes-Benz Mobility-owned; parent revenue >€145B/yr; far exceeds gate,Daimler-backed European fleet-leasing brand within a group deeply embedded in motorsport culture.,,L03a
Mobility & Automotive,Element Fleet Management,elementfleet.com,Canada,Fleet Leasing,"2,000+",1k-5k,Revenue >$1.1B/yr; public (TSX: EFN); far exceeds gate,"North America's largest publicly traded fleet-management company, serving major enterprise and government clients.",yes,L03a
Mobility & Automotive,Zipcar (Avis Budget Group),zipcar.com,US,Car Sharing,"500+ (parent Avis Budget 25,000+)",20k+,Avis Budget Group-owned; parent revenue ~$12B/yr; far exceeds gate,"World's best-known car-sharing brand; strong urban/university-city presence overlapping F1's younger, city-based fan segment.",,L03a
Mobility & Automotive,Free2Move (Stellantis),free2move.com,France,Car Sharing,"1,000+ (parent Stellantis 250,000+)",20k+,Stellantis-owned; parent revenue >€150B/yr; far exceeds gate,"OEM-backed multi-modal mobility app (car sharing, rental, subscription); Stellantis's deep motorsport heritage (Peugeot, Alfa Romeo, Maserati) makes F1 activation culturally native.",,L03a
Mobility & Automotive,ShareNow (Mercedes-Benz Mobility),share-now.com,Germany,Car Sharing,"800+ (parent Mercedes-Benz Group 166,000+)",20k+,Fully owned by Mercedes-Benz Mobility since BMW's 2024 exit; parent revenue >€145B/yr; far exceeds gate,"Free-floating car-sharing brand backed by Mercedes-Benz, an OEM with a long-running F1 works team — natural internal sponsorship pathway.",,L03a
Mobility & Automotive,Shouqi Limousine & Chauffeur (BAIC Group),shouqiev.com,China,Ride-hailing / Car Rental,"10,000+ (parent BAIC Group 100,000+)",20k+,BAIC Group-owned; parent is a major Chinese state-linked automaker; far exceeds gate,"Major Chinese ride-hailing/chauffeur and rental brand under a large state-backed automaker, positioned for F1's China growth push.",,L03a
Mobility & Automotive,Michelin,michelin.com,France,Tire Manufacturer,132000,20k+,"Revenue ~$28B; profitable; huge motorsport budget (WEC, Le Mans, MotoGP, Dakar)","World #2 tire maker, deep endurance/two-wheel racing pedigree, no F1 presence since Pirelli holds the tender — logical fit for paddock/technical marketing tie-in outside the tire-supplier slot",,L03b
