#,brand,domain,employee_band,revenue_est,funding_total,valuation_est,confidence,num_f1_rivals,f1_sponsors_it_competes_with,categories,note
563,Evonik,evonik.com,20k+,$16.5B (2023),n/a (public),mkt cap ~€8B-9B (2024),high,2,INEOS; Nouryon,"Energy, Industrial & Automotive",Specialty chemicals
564,Evoqua Water Technologies,evoqua.com,1k-5k,$1.6B (last public FY),n/a (now subsidiary of public Xylem),$7.5B (2023 acquisition),medium,2,Ecolab; BWT,"Energy, Industrial & Automotive",Water treatment (now Xylem)
565,Expeditors International,expeditors.com,5k-20k,$9.3B (2023),n/a (public),mkt cap ~$16B-18B (2024),high,2,DHL; CEVA Logistics (CMA CGM),"Travel, Logistics & Property",Global freight forwarding rival
566,Express Employment Professionals,expresspros.com,250-1k,"$3B-4B (system-wide, est.)",n/a (private),unknown,low,2,Randstad; ManpowerGroup,"Health, Betting & Services",Staffing franchise network
567,Ezra Brooks,ezrabrooks.com,unknown,unknown (small subsidiary brand),n/a (subsidiary),unknown,low,2,Jack Daniel's (Brown-Forman); Jim Beam (Suntory Global Spirits),"Beverages, Food & CPG",Luxco bourbon
568,Fanuc,fanuc.com,5k-20k,$5.5B (FY2023),n/a (public),mkt cap ~$25B-30B (2024),high,2,Haas Automation / Haas Tooling; DMG Mori,"Energy, Industrial & Automotive",CNC controls/robotics
569,FedEx,fedex.com,20k+,$87.7B (FY2023),n/a (public),mkt cap ~$60B-70B (2024),high,2,DHL; Atlas Air,"Travel, Logistics & Property",Global express/courier rival
570,Ferrero Group,ferrero.com,20k+,$18B (FY2023),"n/a (private, family-owned)",unknown,high,2,Nestle; PepsiCo,"Beverages, Food & CPG",Global confectionery group
571,Festool,festool.com,1k-5k,$500M-700M (est.),n/a (private),unknown,low,2,DeWalt (Stanley Black & Decker); Einhell,"Energy, Industrial & Automotive",Premium power tools
572,Fidelity Investments,fidelity.com,20k+,"$28B-29B (2023, est.)",n/a (private),unknown,medium,2,Nuveen (TIAA); Public.com,"Payments, Banking & Insurance; Crypto, Trading & Wealth",Asset management/retirement rival
573,Fiji Water,fijiwater.com,250-1k,$500M-700M (est.),n/a (private),unknown,low,2,S.Pellegrino (Nestle); Vellamo Water (ThaiBev/Chang),"Beverages, Food & CPG",US premium artesian bottled water
574,Fila,fila.com,1k-5k,$2B-3B (est. global),n/a (public in Korea),unknown,low,2,Puma; adidas,"Luxury, Fashion & Beauty",Sportswear/lifestyle brand
575,FIS (Worldpay),fisglobal.com,20k+,$14.5B (2023),n/a (public),mkt cap ~$40B (2024),high,2,Visa; Mastercard,"Payments, Banking & Insurance",Merchant acquiring/processing rival
576,Fiserv,fiserv.com,20k+,$19.6B (2023),n/a (public),mkt cap ~$90B-100B (2024),high,2,Visa; Mastercard,"Payments, Banking & Insurance",Issuer processing & merchant acquiring
577,flydubai,flydubai.com,5k-20k,$2.5B-3B (est.),n/a (government-owned),unknown,low,2,Gulf Air; Etihad Airways,"Travel, Logistics & Property",Dubai low-cost/hybrid carrier
578,flyExclusive,flyexclusive.com,1k-5k,$300M-400M (est.),n/a (public),mkt cap ~$100M-200M (2024),low,2,Flexjet; VistaJet,"Travel, Logistics & Property",Jet card/charter operator
579,Fontainebleau Las Vegas,fontainebleaulasvegas.com,5k-20k,"unknown (new property, ramping)",n/a (public),mkt cap ~$2B-3B (2024),low,2,The Venetian Resort (Apollo); MGM Rewards (MGM Resorts),"Travel, Logistics & Property",Las Vegas Strip resort rival
580,Forbes,forbes.com,250-1k,$200M-250M (est.),n/a (private),~$630M (2021 implied SPAC valuation),low,2,CNBC (Comcast/NBCUniversal); Financial Times (Nikkei),"Telecom, Media, Electronics & Gaming",Business/financial media
581,Forcepoint,forcepoint.com,1k-5k,$400M-500M (est.),"n/a (private, PE-owned)",~$2.45B (2020 sale price for majority stake),low,2,Cato Networks; Palo Alto Networks,"Cyber, IT & Hardware",SASE/data security
582,Fortress Investment Group,fortress.com,250-1k,unknown,n/a (private),$3B (2023 Mubadala acquisition),medium,2,Carlyle; ZCG,"Payments, Banking & Insurance",Alternative credit/investment manager rival
583,Four Roses,fourrosesbourbon.com,unknown,unknown (brand within public Kirin),n/a (subsidiary of public Kirin),unknown,low,2,Jack Daniel's (Brown-Forman); Jim Beam (Suntory Global Spirits),"Beverages, Food & CPG",Kirin-owned bourbon
584,Fuji Electric,fujielectric.com,20k+,$7B (FY2023),n/a (public),mkt cap ~$8B-9B (2024),high,2,Siemens; Schneider Electric,"Energy, Industrial & Automotive",Industrial electrical equipment
585,Full Throttle,fullthrottle.com,unknown,unknown (brand within Coca-Cola),n/a (subsidiary of public KO),unknown,low,2,Red Bull; Monster Energy (Monster Beverage),"Beverages, Food & CPG",Coca-Cola energy brand
586,G-Star RAW,g-star.com,1k-5k,$400M-500M (est.),n/a (private),unknown,low,2,Pepe Jeans; Hugo Boss (BOSS / HUGO / Hugo Eyewear),"Luxury, Fashion & Beauty",Dutch premium denim brand
587,Galaxy Entertainment,galaxyentertainment.com,20k+,$4.6B (2023),n/a (public),mkt cap ~$25B-30B (2024),high,2,Hard Rock International; MGM Rewards (MGM Resorts),"Travel, Logistics & Property",Macau casino resort operator
588,GE Vernova,gevernova.com,20k+,$34.9B (2023),n/a (public),mkt cap ~$40B-60B (2024),high,2,Siemens; Schneider Electric,"Energy, Industrial & Automotive",Power/grid equipment
589,General Atlantic,generalatlantic.com,250-1k,unknown,n/a (private),AUM ~$83B,low,2,Carlyle; ZCG,"Payments, Banking & Insurance",Global growth equity rival
590,General Mills,generalmills.com,20k+,$20B (FY2023),n/a (public),mkt cap ~$35B-38B (2024),high,2,Nestle; PepsiCo,"Beverages, Food & CPG",US packaged food giant
591,GEODIS,geodis.com,20k+,$11B (2023),"n/a (private, majority SNCF-owned)",unknown,medium,2,DHL; CEVA Logistics (CMA CGM),"Travel, Logistics & Property",SNCF-owned global logistics rival
592,George Dickel,georgedickel.com,unknown,unknown (brand within Diageo),n/a (subsidiary of public Diageo),unknown,low,2,Jack Daniel's (Brown-Forman); Jim Beam (Suntory Global Spirits),"Beverages, Food & CPG",Diageo Tennessee whiskey
593,Geotab,geotab.com,1k-5k,$800M-1B (est.),n/a (private/bootstrapped),unknown,low,2,Solera; Eurodatacar,"Cyber, IT & Hardware; Travel, Logistics & Property",Fleet telematics/vehicle data rival
594,GF Machining Solutions,gfms.com,1k-5k,"$1B+ (est., division)",n/a (public parent Georg Fischer),unknown,low,2,Haas Automation / Haas Tooling; DMG Mori,"Energy, Industrial & Automotive",Precision machining systems
595,Gi Group,gigroup.com,5k-20k,$3.8B (est.),n/a (private),unknown,low,2,Randstad; ManpowerGroup,"Health, Betting & Services",Global staffing
596,GitHub Copilot (Microsoft),github.com,20k+,n/a (product within Microsoft),n/a (subsidiary of public Microsoft),"n/a (part of MSFT, mkt cap ~$3T)",medium,2,Cognition AI; Atlassian,"Cloud, Data & AI Software",AI coding assistant rival
597,Glashutte Original,glashuette-original.com,250-1k,unknown (brand within Swatch Group),n/a (subsidiary of public Swatch Group),unknown,low,2,Girard-Perregaux; H. Moser & Cie,"Luxury, Fashion & Beauty",Swatch Group German haute horlogerie
598,Glenlivet,theglenlivet.com,unknown,unknown (brand within Pernod Ricard),n/a (subsidiary of public Pernod Ricard),unknown,low,2,Chivas Regal (Pernod Ricard); Glenfiddich (William Grant & Sons),"Beverages, Food & CPG",Pernod Ricard single malt Scotch
599,Global Payments Inc.,globalpayments.com,20k+,$8.9B (2023),n/a (public),mkt cap ~$25B-27B (2024),high,2,Visa; Mastercard,"Payments, Banking & Insurance",Acquiring/processing rival
600,Global Student Accommodation (GSA),gsaaccommodation.com,1k-5k,unknown,n/a (private),AUM ~$10B+,low,2,Student.com; Yugo,"Travel, Logistics & Property",Global student housing operator rival
601,GlobalLogic (Hitachi),globallogic.com,20k+,$1.7B+ (est.),n/a (subsidiary of public Hitachi),$9.6B (2021 acquisition),medium,2,Akkodis (Adecco Group); RebelDot,"Cyber, IT & Hardware",digital engineering services
602,GoCardless,gocardless.com,250-1k,$100M-150M (est.),raised ~$450M total,$2.1B (2022 Series G),medium,2,Visa; Mastercard,"Payments, Banking & Insurance",Bank-to-bank/direct debit payments
603,Grafana Labs,grafana.com,250-1k,$100M-200M (est. ARR),raised ~$535M total,$6B (2023 Series D),medium,2,Splunk (Cisco); Dynatrace,"Cloud, Data & AI Software",observability/monitoring rival
604,Graphcore (SoftBank),graphcore.ai,250-1k,<$50M (est.),raised ~$710M pre-acquisition,"acquired by SoftBank 2024 (price undisclosed, est. down from $2.8B 2020 peak)",medium,2,Groq; AMD,"Cloud, Data & AI Software; Cyber, IT & Hardware",AI chip rival
605,Green Dot Corporation,greendot.com,1k-5k,$1.5B (2023),n/a (public),mkt cap ~$500M-700M (2024),high,2,"Cash App (Block, Inc.); Revolut","Payments, Banking & Insurance",Prepaid/banking-as-a-service rival
606,Greystar Student Housing,greystar.com,20k+,unknown,n/a (private),AUM ~$79B+,medium,2,Student.com; Yugo,"Travel, Logistics & Property",Global student housing developer/operator rival
607,Grob-Werke,grobgroup.com,5k-20k,$2B+ (est.),n/a (private/family-owned),unknown,low,2,Haas Automation / Haas Tooling; DMG Mori,"Energy, Industrial & Automotive",CNC/production systems
608,Grolsch,grolsch.com,unknown,unknown (brand within public Asahi),n/a (subsidiary of public Asahi),unknown,low,2,Heineken; Peroni (Asahi Group),"Beverages, Food & CPG",Asahi Group sibling Dutch lager
609,Grundfos,grundfos.com,20k+,$4.9B (2023),"n/a (private, foundation-owned)",unknown,medium,2,Ecolab; BWT,"Energy, Industrial & Automotive",Pumps/water systems
610,Grupo Bimbo,grupobimbo.com,20k+,$18B-19B (2023),n/a (public),mkt cap ~$15B-18B (2024),high,2,Nestle; PepsiCo,"Beverages, Food & CPG",Global bakery giant
611,GTT Communications,gtt.net,1k-5k,$1.1B-1.3B (est.),n/a (private),unknown,low,2,Cato Networks; Tata Communications,"Cyber, IT & Hardware; Telecom, Media, Electronics & Gaming",Global Tier-1 IP network
612,Guggenheim Partners,guggenheimpartners.com,1k-5k,unknown,n/a (private),AUM ~$325B,low,2,Goldman Sachs; Stephens,"Payments, Banking & Insurance",Investment bank/asset management rival
613,GXO Logistics,gxo.com,20k+,$11.4B (2023),n/a (public),mkt cap ~$6B-7B (2024),high,2,DHL; CEVA Logistics (CMA CGM),"Travel, Logistics & Property",Contract logistics/3PL
614,Gymshark,gymshark.com,250-1k,$630M (2023),n/a (mostly bootstrapped),"$1.45B (2020, General Atlantic investment)",medium,2,Puma; adidas,"Luxury, Fashion & Beauty",Fitness apparel brand
615,Hamilton,hamiltonwatch.com,unknown,unknown (brand within Swatch Group),n/a (subsidiary of public Swatch Group),unknown,low,2,Tudor (Rolex Group); Breitling,"Luxury, Fashion & Beauty",Swatch Group accessible/aviation watches
616,Hardinge,hardinge.com,250-1k,$150M-250M (est.),n/a (private),unknown,low,2,Haas Automation / Haas Tooling; DMG Mori,"Energy, Industrial & Automotive",Precision CNC lathes
617,Harry's,harrys.com,250-1k,$400M-500M (est.),raised ~$460M total,$1.7B (2019 implied),medium,2,Gillette (Procter & Gamble); Wilkinson Sword (Edgewell),"Beverages, Food & CPG",US DTC razor/shaving brand
618,Hays plc,hays.com,5k-20k,$1.65B (FY2023),n/a (public),mkt cap ~£1B (2024),high,2,Randstad; ManpowerGroup,"Health, Betting & Services",Global recruitment
619,Hellmann Worldwide Logistics,hellmann.com,5k-20k,$4B (2023),n/a (private/family-owned),unknown,medium,2,DHL; CEVA Logistics (CMA CGM),"Travel, Logistics & Property",Global freight forwarder rival
620,Hempel,hempel.com,5k-20k,$2.5B (2023),"n/a (private, foundation-owned)",unknown,medium,2,AkzoNobel (Sikkens); Sherwin-Williams,"Energy, Industrial & Automotive",Marine/protective coatings
621,Hermes International,hermes.com,20k+,$14.5B (2023),n/a (public),mkt cap ~€230B (2024),high,2,LVMH; Louis Vuitton (LVMH),"Luxury, Fashion & Beauty",Luxury leather goods house
622,Hershey,thehersheycompany.com,5k-20k,$11.2B (2023),n/a (public),mkt cap ~$38B-40B (2024),high,2,Nestle; PepsiCo,"Beverages, Food & CPG",US confectionery leader
623,HID Global,hidglobal.com,1k-5k,$1B+ (est.),n/a (subsidiary of public Assa Abloy),unknown,low,2,Okta; SEALSQ,"Cyber, IT & Hardware",identity/access solutions
624,Highland Park,highlandparkwhisky.com,unknown,unknown (brand within private Edrington),n/a (subsidiary of private Edrington),unknown,low,2,Chivas Regal (Pernod Ricard); Glenfiddich (William Grant & Sons),"Beverages, Food & CPG",Edrington single malt Scotch
625,Hilti,hilti.com,20k+,$7.3B (2023),"n/a (private, foundation-owned)",unknown,high,2,DeWalt (Stanley Black & Decker); Einhell,"Energy, Industrial & Automotive",Professional construction tools
626,Hitachi Astemo,hitachiastemo.com,20k+,$11B-12B (est.),"n/a (private JV, subsidiary of public Hitachi)",unknown,medium,2,Tenneco; Delphi (PHINIA),"Energy, Industrial & Automotive",Fuel injection/chassis systems
627,Hitachi Construction Machinery,hitachicm.com,20k+,$7.5B (FY2023),n/a (public),mkt cap ~$4B-5B (2024),high,2,Komatsu; JCB,"Energy, Industrial & Automotive",Construction/mining equipment
628,Hitachi Energy,hitachienergy.com,20k+,$14B-15B (est.),n/a (subsidiary of public Hitachi),unknown,medium,2,Siemens; Schneider Electric,"Energy, Industrial & Automotive",Power grid technology
629,Hoegaarden,hoegaarden.com,unknown,unknown (brand within public AB InBev),n/a (subsidiary of public AB InBev),unknown,low,2,Heineken; Peroni (Asahi Group),"Beverages, Food & CPG",AB InBev Belgian wheat beer
630,Honeywell,honeywell.com,20k+,$36.7B (2023),n/a (public),mkt cap ~$130B-140B (2024),high,2,Siemens; Schneider Electric,"Energy, Industrial & Automotive",Industrial/building automation
631,Houlihan Lokey,hl.com,1k-5k,$1.9B (FY2023),n/a (public),mkt cap ~$10B-12B (2024),high,2,Goldman Sachs; Stephens,"Payments, Banking & Insurance",M&A/restructuring advisory rival
632,Howden Group Holdings,howdengroup.com,5k-20k,$2.5B-3B (est.),"n/a (private, PE-backed)",$6.4B+ (2023 funding round est.),low,2,Aon; Marsh (Marsh McLennan),"Payments, Banking & Insurance",Global insurance broker rival
633,Hub International,hubinternational.com,5k-20k,$3B-4B (est.),"n/a (private, PE-owned)",unknown,low,2,Aon; Marsh (Marsh McLennan),"Payments, Banking & Insurance",Insurance brokerage rival
634,Huntsman,huntsman.com,5k-20k,$5.4B (2023),n/a (public),mkt cap ~$4B-5B (2024),high,2,INEOS; Nouryon,"Energy, Industrial & Automotive",Specialty chemicals
635,Hyundai Construction Equipment,hyundai-ce.com,1k-5k,$2B-3B (est.),n/a (public parent HD Hyundai),unknown,low,2,Komatsu; JCB,"Energy, Industrial & Automotive",Construction equipment
636,Hyundai WIA,hyundai-wia.com,5k-20k,$5B-6B (est.),n/a (public),unknown,low,2,Haas Automation / Haas Tooling; DMG Mori,"Energy, Industrial & Automotive",CNC machine tools
637,ICBC,icbc.com.cn,20k+,"$190B+ (2023, total income)",n/a (public),mkt cap ~$220B-250B (2024),high,2,Santander; Standard Chartered,"Payments, Banking & Insurance",China/global banking rival
638,iCIMS,icims.com,1k-5k,$300M-400M (est.),"n/a (private, PE-owned)",unknown,low,2,Workday; Avature,"Cloud, Data & AI Software",talent acquisition platform rival
639,IDEMIA,idemia.com,5k-20k,$2.8B (est.),"n/a (private, PE-backed)",unknown,medium,2,SEALSQ; CLEAR,"Cyber, IT & Hardware; Health, Betting & Services",Biometric identity technology
640,Index-Werke,index-werke.de,1k-5k,$400M-500M (est.),n/a (private/family-owned),unknown,low,2,Haas Automation / Haas Tooling; DMG Mori,"Energy, Industrial & Automotive",CNC lathes
641,Indian Oil Corporation,iocl.com,20k+,$100B+ (FY2023),n/a (public),mkt cap ~$25B-30B (2024),high,2,Aramco; Petronas,"Energy, Industrial & Automotive",Indian state oil co
642,Interac,interac.ca,250-1k,unknown,"n/a (private, member-owned)",unknown,low,2,Visa; Mastercard,"Payments, Banking & Insurance",Canada's debit network
643,Intesa Sanpaolo,intesasanpaolo.com,20k+,$25B (2023),n/a (public),mkt cap ~€60B-70B (2024),high,2,Santander; UniCredit,"Payments, Banking & Insurance",Italy's largest retail bank rival
644,iQ Student Accommodation,iqstudentaccommodation.com,1k-5k,unknown,"n/a (private, PE-owned)",£4.66B (2020 Blackstone acquisition),medium,2,Student.com; Yugo,"Travel, Logistics & Property",UK student housing operator rival
645,Itau Unibanco,itau.com.br,20k+,"$40B+ (2023, est.)",n/a (public),mkt cap ~$60B-70B (2024),high,2,Santander; Nu (Nubank),"Payments, Banking & Insurance",Latin America banking rival (Brazil)
646,Ivanti,ivanti.com,1k-5k,$600M-700M (est.),"n/a (private, PE-owned)",unknown,low,2,ServiceNow; NinjaOne,"Cloud, Data & AI Software; Cyber, IT & Hardware",ITSM/unified endpoint rival
647,J.Crew,jcrew.com,5k-20k,$2B-2.5B (est.),n/a (private),unknown,low,2,Reiss; Tommy Hilfiger (PVH Corp),"Luxury, Fashion & Beauty",American contemporary fashion brand
648,JBS,jbs.com.br,20k+,$74.5B (2023),n/a (public),mkt cap ~$15B-20B (2024),high,2,Nestle; PepsiCo,"Beverages, Food & CPG",Global protein/food giant
649,Jefferies Financial Group,jefferies.com,5k-20k,$4.7B (FY2023),n/a (public),mkt cap ~$10B-11B (2024),high,2,Goldman Sachs; Stephens,"Payments, Banking & Insurance",Independent full-service investment bank rival
650,John Deere (construction),deere.com,20k+,$61.3B (FY2023),n/a (public),mkt cap ~$110B-120B (2024),high,2,Komatsu; JCB,"Energy, Industrial & Automotive",Construction/agricultural equipment
651,Jotun,jotun.com,5k-20k,$3.1B (2023),n/a (private/family-owned),unknown,medium,2,AkzoNobel (Sikkens); Sherwin-Williams,"Energy, Industrial & Automotive",Marine/protective coatings
652,Julius Baer Group,juliusbaer.com,5k-20k,$4B (2023),n/a (public),mkt cap ~CHF 10B-11B (2024),high,2,UBS; UniCredit,"Payments, Banking & Insurance",Swiss private banking rival
653,KBC Group,kbc.com,20k+,$10B-11B (2023),n/a (public),mkt cap ~€30B-35B (2024),high,2,Santander; UniCredit,"Payments, Banking & Insurance",Belgian/CEE banking rival
654,KCC Corporation,kccworld.co.kr,1k-5k,$4B-4.5B (est.),n/a (public),unknown,low,2,AkzoNobel (Sikkens); Sherwin-Williams,"Energy, Industrial & Automotive",Korean paints/materials major
655,KDDI (au),kddi.com,20k+,$38B (FY2023),n/a (public),mkt cap ~$65B-70B (2024),high,2,T-Mobile (Deutsche Telekom); AT&T,"Telecom, Media, Electronics & Gaming",Japan carrier
656,Keiser Corporation,keiser.com,250-1k,$100M-200M (est.),n/a (private/family-owned),unknown,low,2,Technogym; Matrix Fitness (Johnson Health Tech),"Telecom, Media, Electronics & Gaming",Fitness/indoor cycling equipment maker
657,Kellanova,kellanova.com,20k+,$12.7B (2023),n/a (public),"mkt cap ~$28B-29B (2024, Mars acquisition pending ~$36B)",high,2,Nestle; PepsiCo,"Beverages, Food & CPG",Global snacks/cereal group
658,Kemira,kemira.com,1k-5k,$3.1B (2023),n/a (public),mkt cap ~€2.5B (2024),high,2,Ecolab; Nouryon,"Energy, Industrial & Automotive",Water/process chemicals
659,Kirkland & Ellis,kirkland.com,5k-20k,"$7B+ (2023, est.)",n/a (private/partnership),unknown,medium,2,Ashurst; Morrison Foerster,"Health, Betting & Services",Global law firm
660,Klaviyo,klaviyo.com,1k-5k,$675M (2023),n/a (public),mkt cap ~$7B-8B (2024),high,2,Salesforce; Rokt,"Cloud, Data & AI Software; Telecom, Media, Electronics & Gaming",Ecommerce marketing automation
661,Kobelco,kobelco-kenki.com,5k-20k,$3B-4B (est.),n/a (subsidiary of public Kobe Steel),unknown,low,2,Komatsu; JCB,"Energy, Industrial & Automotive",Excavators/construction equipment
662,Konica Minolta,konicaminolta.com,20k+,$6.7B (FY2023),n/a (public),mkt cap ~$2B-3B (2024),high,2,HP; Xerox,"Cyber, IT & Hardware",printers/imaging
663,Korn Ferry,kornferry.com,5k-20k,$2.6B (FY2023),n/a (public),mkt cap ~$3B-4B (2024),high,2,Randstad; ManpowerGroup,"Health, Betting & Services",Executive search/talent consulting
664,Kraft Heinz,kraftheinzcompany.com,20k+,$26.6B (2023),n/a (public),mkt cap ~$40B-45B (2024),high,2,Nestle; PepsiCo,"Beverages, Food & CPG",US packaged food giant
665,Kubota,kubota.com,20k+,$20B (FY2023),n/a (public),mkt cap ~$20B-25B (2024),high,2,Komatsu; JCB,"Energy, Industrial & Automotive",Compact construction equipment
666,Kuehne+Nagel,kuehne-nagel.com,20k+,$28B (2023),n/a (public),mkt cap ~CHF 20B-22B (2024),high,2,DHL; CEVA Logistics (CMA CGM),"Travel, Logistics & Property",Freight forwarding/3PL rival
667,Kuwait Airways,kuwaitairways.com,5k-20k,$1B-1.5B (est.),n/a (state-owned),unknown,low,2,Gulf Air; Etihad Airways,"Travel, Logistics & Property",Gulf regional flag carrier
668,Kuwait Petroleum Corporation,kpc.com.kw,20k+,$50B+ (est.),n/a (state-owned),unknown,low,2,Aramco; Esso (ExxonMobil),"Energy, Industrial & Automotive",European fuel retail brand
669,Kyocera,kyocera.com,20k+,$13.5B (FY2023),n/a (public),mkt cap ~$18B-20B (2024),high,2,HP; Xerox,"Cyber, IT & Hardware",printers/document solutions
670,Lacoste,lacoste.com,1k-5k,"$3B (est., incl. licensees)",n/a (private),unknown,low,2,Hugo Boss (BOSS / HUGO / Hugo Eyewear); Tommy Hilfiger (PVH Corp),"Luxury, Fashion & Beauty",French premium sportswear-fashion brand
671,Lanxess,lanxess.com,5k-20k,$6.6B (2023),n/a (public),mkt cap ~€2.5B-3B (2024),high,2,INEOS; Nouryon,"Energy, Industrial & Automotive",Specialty chemicals
672,Larceny Bourbon,larcenybourbon.com,unknown,unknown (brand within private Heaven Hill),n/a (subsidiary of private Heaven Hill),unknown,low,2,Jack Daniel's (Brown-Forman); Jim Beam (Suntory Global Spirits),"Beverages, Food & CPG",Heaven Hill wheated bourbon
673,Latham & Watkins,lw.com,5k-20k,"$6.2B+ (2023, est.)",n/a (private/partnership),unknown,medium,2,Ashurst; Morrison Foerster,"Health, Betting & Services",Global law firm
674,Leffe,leffe.com,unknown,unknown (brand within public AB InBev),n/a (subsidiary of public AB InBev),unknown,low,2,Heineken; Peroni (Asahi Group),"Beverages, Food & CPG",AB InBev Belgian abbey beer
675,LeoVegas (MGM),leovegas.com,1k-5k,$550M (est.),n/a (subsidiary of public MGM Resorts),$607M (2022 acquisition),medium,2,Betway (Super Group); JackpotCity Casino,"Health, Betting & Services",Online casino
676,Levi's,levi.com,5k-20k,$6.2B (FY2023),n/a (public),mkt cap ~$8B-9B (2024),high,2,Pepe Jeans; Tommy Hilfiger (PVH Corp),"Luxury, Fashion & Beauty",Global denim brand
677,Lexus,lexus.com,unknown,unknown (brand within Toyota),n/a (subsidiary of public Toyota),unknown,low,2,General Motors / Cadillac; Audi (Volkswagen Group),"Energy, Industrial & Automotive",Toyota luxury brand
678,Liberty Mutual Insurance,libertymutual.com,20k+,$46.6B (2023),"n/a (private, mutual company)",unknown,high,2,Orion180; Allianz,"Payments, Banking & Insurance",US insurer rival
679,Liebherr,liebherr.com,20k+,$16B (2023),n/a (private/family-owned),unknown,high,2,Komatsu; JCB,"Energy, Industrial & Automotive",Construction/crane equipment major
680,Life Fitness,lifefitness.com,1k-5k,$500M-800M (est.),"n/a (private, PE-owned)",unknown,low,2,Technogym; Matrix Fitness (Johnson Health Tech),"Telecom, Media, Electronics & Gaming",Commercial fitness equipment maker
681,Linode (Akamai),linode.com,1k-5k,unknown,n/a (subsidiary of public Akamai),$900M (2022 acquisition),medium,2,AWS (Amazon); CoreWeave,"Cloud, Data & AI Software; Cyber, IT & Hardware",cloud/IaaS challenger
682,Lockton Companies,lockton.com,5k-20k,$3.5B-4B (est.),n/a (private/employee-owned),unknown,medium,2,Aon; Marsh (Marsh McLennan),"Payments, Banking & Insurance",Largest private insurance broker rival
683,Loongson Technology,loongson.cn,1k-5k,$100M-150M (est.),n/a (public in China),unknown,low,2,Arm (SoftBank Group); AMD,"Cyber, IT & Hardware",MIPS-derived CPU architecture
684,Lowenbrau,loewenbraeu.de,unknown,unknown (licensed brand within AB InBev),n/a (subsidiary of public AB InBev),unknown,low,2,Peroni (Asahi Group); Paulaner,"Beverages, Food & CPG",AB InBev Munich lager
685,Lucozade Energy,lucozade.com,unknown,unknown (brand within private Suntory),n/a (subsidiary of private Suntory),unknown,low,2,Red Bull; Monster Energy (Monster Beverage),"Beverages, Food & CPG",Suntory-owned UK energy brand
686,Lululemon,lululemon.com,20k+,$9.6B (FY2023),n/a (public),mkt cap ~$35B-45B (2024),high,2,Puma; adidas,"Luxury, Fashion & Beauty",Athletic apparel brand
687,Lumen Technologies,lumen.com,20k+,$13.2B (2023),n/a (public),"mkt cap ~$5B-8B (2024, volatile)",high,2,Cato Networks; Tata Communications,"Cyber, IT & Hardware; Telecom, Media, Electronics & Gaming",Global network/edge cloud provider
688,Luxoft (DXC),luxoft.com,5k-20k,$900M+ (est.),n/a (subsidiary of public DXC),$2B (2019 acquisition),medium,2,Akkodis (Adecco Group); RebelDot,"Cyber, IT & Hardware",digital engineering services
689,LyondellBasell,lyondellbasell.com,5k-20k,$40.9B (2023),n/a (public),mkt cap ~$30B-32B (2024),high,2,INEOS; Nouryon,"Energy, Industrial & Automotive",Polyolefins major
690,M-Pesa (Safaricom/Vodafone),safaricom.co.ke,5k-20k,$2B+ (est.),n/a (public),mkt cap ~$7B-8B (2024),medium,2,MoneyGram; STC (Saudi Telecom Company),"Payments, Banking & Insurance; Telecom, Media, Electronics & Gaming",East Africa carrier
691,Macallan,themacallan.com,unknown,unknown (brand within private Edrington),n/a (subsidiary of private Edrington),unknown,low,2,Chivas Regal (Pernod Ricard); Glenfiddich (William Grant & Sons),"Beverages, Food & CPG",Edrington single malt Scotch
692,Mahle,mahle.com,20k+,$13.6B (2023),"n/a (private, foundation-owned)",unknown,high,2,Tenneco; Delphi (PHINIA),"Energy, Industrial & Automotive",Powertrain/thermal components major
693,Makino,makino.com,1k-5k,$1B (est.),n/a (public),unknown,low,2,Haas Automation / Haas Tooling; DMG Mori,"Energy, Industrial & Automotive",Precision CNC machine tools
694,Makita,makita.com,20k+,$4.4B (FY2023),n/a (public),mkt cap ~$8B-9B (2024),high,2,DeWalt (Stanley Black & Decker); Einhell,"Energy, Industrial & Automotive",Professional power tools
695,Malaysia Airlines,malaysiaairlines.com,5k-20k,$2B-2.5B (est.),n/a (state-owned),unknown,low,2,Qatar Airways; Singapore Airlines,"Travel, Logistics & Property",Regional flag carrier
696,Malwarebytes,malwarebytes.com,250-1k,$150M-200M (est.),raised ~$50M+ total,unknown,low,2,CrowdStrike; Bitdefender,"Cloud, Data & AI Software; Cyber, IT & Hardware",endpoint AV
697,Marelli,marelli.com,20k+,$11B (est.),"n/a (private, PE-owned; 2024 debt restructuring)",unknown,medium,2,Tenneco; Delphi (PHINIA),"Energy, Industrial & Automotive",Automotive components supplier
698,MarketWatch (Dow Jones),marketwatch.com,1k-5k,unknown (brand within News Corp/Dow Jones),n/a (subsidiary of public News Corp),unknown,low,2,CNBC (Comcast/NBCUniversal); Financial Times (Nikkei),"Telecom, Media, Electronics & Gaming",Financial news
699,"Mars, Incorporated",mars.com,20k+,$50B+ (2023),n/a (private/bootstrapped),unknown,high,2,Nestle; PepsiCo,"Beverages, Food & CPG",Global confectionery/pet food giant
700,Massimo Dutti,massimodutti.com,5k-20k,unknown,n/a (public),unknown,low,2,Reiss; Hugo Boss (BOSS / HUGO / Hugo Eyewear),"Luxury, Fashion & Beauty",Inditex premium contemporary brand
