tab_priority,sector_tab,rank,priority_score,tier,company,domain,hq_country,subsector,sells (what & to whom),employees_est,valuation (date),crossed $1B,latest round,revenue evidence,f1_risk,why_f1 / angle,verify flags
2,Consumer,19,32,Tier 3,Bowlero,bowlero.com,USA,Sports & Fitness,"Bowling entertainment center operator (public, NYSE: BOWL)","10,000 (est)",~$1-1.4B market cap (fill),,Public company - de-SPAC listing 2021,FY2024 revenue ~$1.06B (public filings),low,No known F1 or motorsport ties,[]; f1-risk note
2,Consumer,20,32,Tier 3,Bumble,bumble.com,USA,Consumer Apps & Marketplaces,"Dating and social networking app (public, NASDAQ: BMBL)","1,000 (est)","~$0.6-1.2B market cap (near/below fill threshold, stock has fallen sharply since 2021 IPO)",,Public company - IPO Feb 2021,FY2024 revenue ~$1.0B (public filings),low,No known F1 or motorsport ties,"['market cap volatile, may be below $1B threshold currently - verify before outreach']; f1-risk note"
2,Consumer,21,32,Tier 3,Cracker Barrel,crackerbarrel.com,USA,Consumer Brands,"Country-store themed restaurant chain (public, NASDAQ: CBRL)","70,000 (est)","~$1.2-1.6B market cap (fill, small-cap public)",,Public company - no funding round,FY2024 revenue ~$3.4B (public filings),low,No known F1 or motorsport ties,[]; f1-risk note
2,Consumer,22,32,Tier 3,Dave & Buster's,daveandbusters.com,USA,Sports & Fitness,"Entertainment/dining venue chain (arcade games, sports bar) - public, NASDAQ: PLAY","20,000 (est)",~$1-1.5B market cap (fill),,Public company - no funding round,"FY2024 revenue ~$2.2B (public filings, includes Main Event brand)",low,No known F1 or motorsport ties,[]; f1-risk note
2,Consumer,23,32,Tier 3,First Watch,firstwatch.com,USA,Consumer Brands,"Daytime breakfast/brunch restaurant chain (public, NASDAQ: FWRG)","14,000 (est)",~$0.7-1.1B market cap (borderline fill),,Public company - no funding round,FY2024 revenue ~$1.0B (public filings),low,No known F1 or motorsport ties,['market cap near/below $1B threshold - verify current figure before outreach']; f1-risk note
2,Consumer,24,32,crossed 2025-26,Fresha,fresha.com,United Kingdom,Consumer Apps & Marketplaces,"Booking and payments marketplace for salons, spas, and wellness/beauty businesses",~700-1000 (est; global marketplace scale),$1B,May 2026,"Series C, $80M",Revenue not fully disclosed; monetizes via transaction fees + SaaS subscriptions across large global salon/spa network,low,Global beauty/wellness booking marketplace with broad mainstream consumer reach; potential lifestyle/beauty activation partner. No F1 ties.,f1-risk note
2,Consumer,25,32,Tier 3,Fubo,fubo.tv,USA,Gaming & Media,"Sports-focused live TV streaming platform (public, NYSE: FUBO)",500 (est),~$1-1.5B market cap (fill),,Public company - IPO 2020,FY2024 revenue ~$1.6B (public filings),low,No known F1 or motorsport ties,['pending Hulu+Live TV/Disney merger announced 2025 - verify current corporate status before outreach']; f1-risk note
2,Consumer,26,32,Tier 2,Genki Forest,genkiforest.com,China,Consumer Brands,Sugar-free sparkling water and functional beverages,"3,000 (est)",$6B peak (2021); reports of decline amid competition,,"Series E-ish, 2021, ~$6B valuation reported","Reported RMB ~7-15B annual revenue at peak (unverified, declining since 2022)",low,No known F1 or motorsport ties,"['stale valuation - reported material decline since 2021 peak, verify current figure']; f1-risk note"
2,Consumer,27,32,Tier 3,Honasa Consumer (Mamaearth),mamaearth.in,India,Consumer Brands,"D2C personal care and beauty brand portfolio (Mamaearth, The Derma Co) - public, NSE: HONASA","1,500 (est)","~$1.5-2B market cap (public, fill)",,"IPO, Nov 2023","FY2024 revenue ~$180M (public filings, growing)",low,No known F1 or motorsport ties,[]; f1-risk note
2,Consumer,28,32,Tier 2,Impossible Foods,impossiblefoods.com,USA,Consumer Brands,"Plant-based meat alternatives (burgers, sausage, chicken) sold via retail and foodservice",700 (est),$7B peak (2021); credible reports of markdowns since,,"Series G, Nov 2021, $500M",Retail/foodservice revenue reported in hundreds of millions annually (not officially disclosed),low,No known F1 or motorsport ties,"['stale valuation', 'reported down-rounds/markdowns 2023-2024 - verify current figure before outreach']; f1-risk note"
2,Consumer,29,32,Tier 2,In-N-Out Burger,in-n-out.com,USA,Consumer Brands,"Regional burger chain, family-owned (Snyder family)","20,000 (est)",Not disclosed; no funding/sale event ever - estimate based on revenue/brand scale,,"No external funding round - fully family-owned, self-funded",Reported revenue ~$1.2-1.6B/yr (trade press estimates),low,No known F1 or motorsport ties,"['no valuation event ever occurred - pure revenue-based estimate, lowest-confidence entry in this batch']; f1-risk note"
2,Consumer,30,32,Tier 3,Jahez International,jahez.net,Saudi Arabia,Consumer Apps & Marketplaces,"Online food delivery platform (public, Tadawul: 4331)","1,500 (est)","~$1.1-1.6B market cap (public, fill)",,"IPO, 2022 (Nomu/Tadawul)",FY2024 revenue ~SAR 1.8B / ~$480M (public filings),low,No known F1 or motorsport ties,"['merged HungerStation delivery ops into JV with Delivery Hero, 2024 - verify current corporate structure']; f1-risk note"
2,Consumer,31,32,Tier 3,Kura Sushi USA,kurasushi.com,USA,Consumer Brands,"Revolving sushi/conveyor-belt restaurant chain (public, NASDAQ: KRUS)","4,000 (est)","~$0.7-1.3B market cap (fluctuating, borderline fill)",,Public company - no funding round,FY2024 revenue ~$267M (public filings),low,No known F1 or motorsport ties,"['small-cap, market cap volatile around $1B threshold']; f1-risk note"
2,Consumer,32,32,crossed 2025-26,ModRetro,modretro.com,USA,Gaming & Media,Modern-engineered retro handheld gaming hardware (Palmer Luckey-founded),"~40-70 (est, likely under 51)",$1B,March 2026,"Series A, $195M (total raised $217M)",Revenue unproven publicly; early-stage hardware sales to collector/enthusiast niche,low,Collectible/nostalgia gaming hardware brand with cult following and high-profile founder; could support limited-edition merch/collab activations. No F1 ties. Note: headcount likely below the 51+ preference.,f1-risk note; revenue unproven
2,Consumer,33,32,Tier 3,Nazara Technologies,nazara.com,India,Gaming & Media,"Diversified gaming company (mobile games, esports media, gamified learning) - public, NSE: NAZARA","1,000 (est)",~$1.2-1.8B market cap (fill),,Public company - listed 2021,FY2024 revenue ~$120M (public filings),low,No known F1 or motorsport ties,['compliance frame: historical minority exposure to India real-money-gaming segment; India passed online RMG ban in 2025 - confirm current business mix before outreach']; f1-risk note
2,Consumer,34,32,Tier 2,Panda Express,pandaexpress.com,USA,Consumer Brands,"American-Chinese QSR chain, family-owned (Panda Restaurant Group)","45,000 (est)",Not disclosed; no external funding event - estimate based on revenue scale,,No external funding round - privately/family held,"Reported revenue >$5B/yr (2023, trade press estimates)",low,No known F1 or motorsport ties,"['no valuation event ever occurred - revenue-based estimate only, treat with caution']; f1-risk note"
2,Consumer,35,32,Tier 3,Papa John's,papajohns.com,USA,Consumer Brands,"Pizza QSR chain (public, NASDAQ: PZZA)","16,000 (est)","~$1.5-2B market cap (fill, small-cap public)",,Public company - no funding round,FY2024 revenue ~$2.0B (public filings),low,"No known current F1 ties (past NASCAR association via founder, divested 2018)",[]; f1-risk note
2,Consumer,36,32,Tier 2,Raising Cane's,raisingcanes.com,USA,Consumer Brands,"Chicken-fingers QSR chain, founder-owned","50,000 (est)",Not disclosed; implied well over $1B given scale/revenue,,No external funding round - privately/founder held,"Reported revenue ~$4.5-5B (2024, trade press estimates)",low,No known F1 or motorsport ties,"['no formal valuation event - estimate based on revenue scale, founder-owned with no external capital raise']; f1-risk note"
2,Consumer,37,32,Tier 2,Whataburger,whataburger.com,USA,Consumer Brands,Regional burger QSR chain (Texas-based),"48,000 (est)",Not disclosed; BDT Capital Partners took majority stake 2019 at reported multi-billion valuation,,"Majority stake sale to BDT Capital Partners, 2019 (size/valuation undisclosed)",Reported system-wide sales >$3B/yr (trade press estimates),low,No known F1 or motorsport ties,"['valuation estimated from PE ownership event, not independently disclosed']; f1-risk note"
2,Consumer,38,32,Tier 3,Zaxby's,zaxbys.com,USA,Consumer Brands,Chicken-fingers/wings QSR chain,"45,000 (est)","Not disclosed; Goldman Sachs/Wellspring took majority stake 2021, reported implied valuation >$1B",,"Majority stake sale, 2021 (size/valuation undisclosed)",Reported system-wide sales ~$2.3B (trade press estimates),low,No known F1 or motorsport ties,"['valuation estimated from PE ownership event, moderate confidence']; f1-risk note"
2,Consumer,39,32,Tier 3,Ziff Davis,ziffdavis.com,USA,Gaming & Media,"Digital media and gaming publisher (IGN, Mashable, PCMag) - public, NASDAQ: ZD","3,500 (est)",~$1.3-1.8B market cap (fill),,"Public company (spun off from J2 Global, 2021)",FY2024 revenue ~$1.3B (public filings),low,No known F1 or motorsport ties,[]; f1-risk note
2,Consumer,40,30,crossed 2025-26,Ninja,ninja.sa,Saudi Arabia,Consumer Apps & Marketplaces,Quick-commerce grocery and essentials delivery app,~200-400 corporate (est; plus delivery workforce),$2B,July 2025,Unicorn round; $254M raised to date,Revenue not disclosed; fast GMV growth in Saudi quick-commerce category,low,Fast-growing Saudi quick-commerce app in a market hosting a Formula 1 race (Jeddah); potential regional activation/promo tie-in. No existing F1 sponsorship ties found.,f1-risk note
2,Consumer,41,29,Tier 3,Grindr,grindr.com,USA,Consumer Apps & Marketplaces,"LGBTQ+ dating and social networking app (public, NYSE: GRND)",250 (est),"~$1.5-3B market cap (fill, public)",,Public company - de-SPAC listing Nov 2022,FY2024 revenue ~$320M (public filings),low,No known F1 or motorsport ties,"['previously Chinese-owned (Kunlun Tech, divested 2020 over CFIUS concerns) - now US-owned, clean']; f1-risk note"
2,Consumer,42,25,Tier 2,Kitopi,kitopi.com,UAE,Consumer Apps & Marketplaces,Cloud kitchen operator running delivery-only restaurant brands,"4,000 (est)",$1B (2022 Series C),,"Series C, Mar 2022, $300M at $1B valuation",Revenue unproven publicly,low,No known F1 or motorsport ties,"['stale valuation (2022), no confirmed round since']; f1-risk note; revenue unproven"
2,Consumer,43,25,Tier 2,MoonActive,moonactive.com,Israel,Gaming & Media,Mobile games publisher (Coin Master),500 (est),"~$5B (2021 secondary-sale reports, unconfirmed)",,Reported 2021 secondary transaction; no official disclosure,Coin Master reported >$1B lifetime revenue (industry estimates),low,No known F1 or motorsport ties,"['valuation low confidence/unofficial, stale (2021)']; f1-risk note; valuation provisional"
2,Consumer,44,25,Tier 2,Too Good To Go,toogoodtogo.com,Denmark,Consumer Apps & Marketplaces,Food-waste marketplace app connecting consumers with surplus food from retailers/restaurants,"1,100 (est)",$1.4B (2021 Series C),,"Series C, Jun 2021, $32M at ~$1.4B valuation (reported)",Revenue unproven publicly; reports >100M app downloads,low,No known F1 or motorsport ties,"['stale valuation (2021), no confirmed round since']; f1-risk note; revenue unproven"
2,Consumer,45,24,Tier 2,Asmodee Group,asmodee.com,France,Gaming & Media,"Tabletop and board games publisher/distributor (Catan, Ticket to Ride, Pokemon TCG distribution)","4,000 (est)",~$2-2.5B implied (2025 spin-off/sale from Embracer to PAI Partners),,"Spin-off from Embracer Group and majority sale to PAI Partners, 2025",FY2024 revenue (as Embracer segment) ~€1.5B (public filings pre-spinoff),low,No known F1 or motorsport ties,"['recently spun off/re-sold, 2025 - corporate structure recent, verify current ownership']; f1-risk note"
2,Consumer,46,22,Tier 2,Glossier,glossier.com,USA,Consumer Brands,DTC beauty and skincare brand,400 (est),$1.8B peak (2021); reported material decline since,,"Series E, 2021, $80M at $1.8B valuation",Revenue unproven publicly; reported layoffs and store closures 2022-2023,low,No known F1 or motorsport ties,['stale/distressed - likely below $1B now given reported struggles; verify before outreach']; f1-risk note; revenue unproven
2,Consumer,47,22,Tier 2,Outdoorsy,outdoorsy.com,USA,Travel,Peer-to-peer RV and camper van rental marketplace,300 (est),$1.13B (2021 unicorn round),,"Series E, Sep 2021, $124M at $1.13B valuation",Revenue unproven publicly,low,No known F1 or motorsport ties,"['stale valuation (2021), no confirmed round since']; f1-risk note; revenue unproven"
2,Consumer,48,18,Tier 1,Back Market,backmarket.com,France,Consumer Apps & Marketplaces,Refurbished electronics marketplace,700 (est),€5.1B / ~$5.7B (2022 Series E),,"Series E, Jan 2022, €450M led by General Atlantic/Generation Investment",Revenue unproven publicly; GMV reported >$1B,low,No known F1 or motorsport ties,"['stale valuation (2022), no confirmed round since']; f1-risk note; revenue unproven"
2,Consumer,49,17,Tier 3,Jam City,jamcity.com,USA,Gaming & Media,"Mobile games publisher (Harry Potter: Hogwarts Mystery, Cookie Jam)",500 (est),"~$1.2B (2022 SPAC deal terms, deal later terminated)",,"Terminated SPAC merger, 2022, at $1.2B implied valuation; current status unclear",Revenue unproven publicly,low,No known F1 or motorsport ties,"['stale/unconfirmed valuation - SPAC deal fell through 2022, current figure unknown, verify before outreach']; f1-risk note; valuation provisional; revenue unproven"
2,Consumer,50,17,Tier 2,NotCo,notco.com,Chile,Consumer Brands,"AI-formulated plant-based food & beverage products (NotMilk, NotMayo, NotBurger)",600 (est),$1.5B (2021 Series D),,"Series D, Sep 2021, $235M, led by Tiger Global/L Catterton","Revenue unproven publicly; distributed via major LatAm/US retailers (Walmart, Kroger)",low,No known F1 or motorsport ties,['stale valuation (2021)']; f1-risk note; revenue unproven
2,Consumer,51,17,Tier 2,SuperPlay,superplay.com,Israel,Gaming & Media,"Mobile games publisher (Dice Dreams, Domino Dreams)",200 (est),"$2.75B (2023, ahead of Playtika majority stake purchase)",,"Playtika acquired ~80% stake, 2023, implied ~$1.8-2.75B valuation",Revenue unproven publicly,low,No known F1 or motorsport ties,['majority-owned by Playtika since 2023 - not fully independent']; f1-risk note; revenue unproven
2,Consumer,52,14,Tier 2,Perfect Day,perfectday.com,USA,Consumer Brands,Precision-fermentation animal-free dairy proteins (whey) for food & beverage manufacturers,250 (est),$1.5B (2021 Series D),,"Series D, Aug 2021, $350M, led by Temasek/GIC","Revenue unproven at scale publicly; B2B ingredient sales to CPG partners (Nestle, others) reported but not disclosed",low,No known F1 or motorsport ties,"['stale valuation (2021, no confirmed round since)']; f1-risk note; revenue unproven"
2,Consumer,53,11,Tier 3,Nana Direct,nana.sa,Saudi Arabia,Consumer Apps & Marketplaces,Online grocery delivery platform,"1,000 (est)",~$1B (2022 Series B reports),,"Series B, 2022, reported unicorn-level valuation",Revenue unproven publicly,low,No known F1 or motorsport ties,"['valuation low-moderate confidence, stale (2022)']; f1-risk note; revenue unproven"
2,Consumer,54,11,Tier 2,Petlove,petlove.com.br,Brazil,Consumer Apps & Marketplaces,Pet products e-commerce and veterinary services platform,"1,500 (est)","$1B+ (2021 reports, SoftBank-backed)",,"2021 SoftBank Latin America Fund investment, reported unicorn-level valuation",Revenue unproven publicly,low,No known F1 or motorsport ties,"['stale valuation (2021), moderate confidence']; f1-risk note; revenue unproven"
3,Health,1,50,crossed 2025-26,Thyme Care,thymecare.com,USA,Digital Health,"Value-based oncology care navigation - coordinates cancer patients' care across payers/providers to reduce costly, fragmented treatment",~500 (est),$2B+,"2026-09-02 (Series E roughly doubled prior valuation past $2B, having already been near/above $1B at Series D within the prior year)","Series E, $125M, led by Morgan Health with Humana and CVS Health Ventures participating","Real revenue evidence - reported ~$174M ARR (2025, per Latka)","Low - no F1 ties found; strategic backers are health insurers (Humana, CVS), not F1-adjacent",Dignity framing: cancer-patient navigation and support - high sensitivity category; messaging should emphasize patient support/access rather than commercial growth metrics.,f1-risk note
3,Health,2,47,small-cap public,Nihon Kohden,nihonkohden.com,Japan,Medtech & Diagnostics,"Patient-monitoring systems, defibrillators and neurological diagnostic equipment","~7,500","~$3B market cap (2025, Tokyo Stock Exchange)",,public company,revenue reported - ~$1.5B+ annual,none known,"Patient monitoring/defibrillators used in emergency and ICU care; dignity framing around life-saving equipment reliability, natural fit with F1's own trackside medical car heritage",['at upper edge of small/mid-cap band']
3,Health,3,46,crossed 2025-26,MiRus,mirusmed.com,USA,Medtech & Diagnostics,"Molybdenum-rhenium (MoRe) biomaterials platform for spine implants, plus a balloon-expandable TAVR (transcatheter aortic valve replacement) system in development",~200 (est),$4.4B,2026-05-18,"$1.5B strategic investment from Boston Scientific (~34% stake) for MiRus LLC, incl. exclusive option to acquire the TAVR program for further milestone payments up to $3B total","Revenue unproven at scale - spine biomaterials commercial, but flagship TAVR product still pre-market; Boston Scientific's own SEC 8-K/10-Q confirm the deal structure","Low - no F1 ties found; strategic investor is Boston Scientific (medtech, not motorsport-adjacent)","Dignity framing: cardiovascular and spine implant patients; a premium medtech sponsor with a marquee-name partner (Boston Scientific) could support a 'engineering for the human body' narrative, but product is still pre-commercial for its highest-value indication so messaging should stay technical rather than patient-testimonial-led.",f1-risk note; revenue unproven
3,Health,4,44,small-cap public,Artivion,artivion.com,USA,Medtech & Diagnostics,Cardiac and vascular surgery devices for aortic disease,"~1,400","~$1.5-2B market cap (2025, Nasdaq)",,public company,revenue reported - ~$400M+ annual,none known,Cardiac/vascular surgery devices; dignity framing around treating life-threatening aortic disease,[]
3,Health,5,44,small-cap public,Establishment Labs,establishmentlabs.com,Costa Rica/USA,Medtech & Diagnostics,Breast implants and reconstructive/aesthetic medical devices,"~2,000","~$1-1.5B market cap (2025, Nasdaq)",,public company,revenue reported - ~$300M+ annual,none known,"Reconstructive/aesthetic implants; dignity framing around reconstructive care, e.g. post-mastectomy",[]
3,Health,6,44,small-cap public,Inari Medical,inarimedical.com,USA,Medtech & Diagnostics,Mechanical thrombectomy devices for blood-clot removal (PE/DVT),"~1,500","~$2-3B market cap (2025, Nasdaq)",,public company,revenue reported - ~$500M+ annual,none known,Life-saving clot-removal devices; dignity framing around rapid intervention saving limbs and lives,[]
3,Health,7,44,small-cap public,QuidelOrtho,quidelortho.com,USA,Medtech & Diagnostics,"In-vitro diagnostics (clinical chemistry, immunoassay, point-of-care testing)","~6,000","~$2-2.5B market cap (2025, Nasdaq)",,public company,revenue reported - ~$2.9B annual,none known,"Point-of-care and lab diagnostics; dignity framing around faster, more accessible testing",[]
3,Health,8,44,small-cap public,Silk Road Medical,silkroadmed.com,USA,Medtech & Diagnostics,TCAR stroke-prevention devices for carotid artery disease,~700,"~$1-1.3B market cap (2025, Nasdaq)",,public company,revenue reported - ~$220M+ annual,none known,Stroke-prevention devices; dignity framing around preventing life-altering strokes,[]
3,Health,9,43,established unicorn,Neuralink,neuralink.com,USA,Medtech & Diagnostics,Brain-computer interface implants for paralysis and neurological conditions,~500 (est),~$9-9.65B (2025 round),,"2025 round, ~$9B+ implied","revenue unproven - early-stage clinical trial (PRIME study), no commercial product yet",none known - Musk-founded but no F1 team/sponsorship overlap,Patient-facing implant restoring movement and communication for paralyzed patients; dignity framing central to the mission of restored independence,[]; revenue unproven
3,Health,10,43,crossed 2025-26,vVardis,vvardis.com,Switzerland,Medtech & Diagnostics,"Curodont - a biomimetic, drill-free and needle-free treatment that repairs early-stage tooth decay",~150 (est),$1B+,2026-04 (investment from Apollo Global Management),Investment from Apollo Global Management valuing the company at $1B-plus; company reportedly preparing for a possible US IPO in 2026,Has commercial product sales through dental clinics (Curodont is marketed); exact revenue undisclosed,Low - no F1 ties found; founder-led Swiss dental-science company (sisters Haley and Goly Abivardi),"Dignity framing: drill-free, pain-free dental care - strong patient-comfort narrative with broad consumer appeal, low regulatory sensitivity.",f1-risk note
3,Health,11,38,crossed 2025-26,HistoSonics,histosonics.com,USA,Medtech & Diagnostics,"Edison histotripsy system - a noninvasive, sound-wave based tumor destruction device, FDA-cleared for liver tumors and expanding to kidney/pancreas/prostate cancer",~300 (est),$3.75B (following $2.25B majority-stake deal),2025-08 (crossed $1B via $2.25B majority stake acquisition by K5 Global/Bezos Expeditions-led consortium); further financing Oct 2025,"$250M financing Oct 17 2025 with Bezos Expeditions, Thiel Bio, Wellington Management, Founders Fund participating, following the Aug 2025 $2.25B majority-stake transaction",Has commercial revenue - FDA-cleared device in market since ~2023 for liver cancer; exact figures undisclosed,Low - no F1 ties found,Dignity framing: noninvasive cancer therapy that avoids surgery/radiation for vulnerable oncology patients; strong human-interest and quality-of-life narrative but avoid overstating cure claims - stick to FDA-cleared indications.,f1-risk note
3,Health,12,35,crossed 2025-26,Garner Health,getgarner.com,USA,Digital Health,"Healthcare navigation/provider-quality analytics platform for self-insured employers, using claims data to rank and steer employees to higher-quality doctors",~500 (est),$2.74B,2026-05-28,"Series E, $100M, led by Index Ventures; participation from Kleiner Perkins, Redpoint, Thrive Capital, Sequoia, Founders Fund, Kaiser Permanente Ventures","Revenue unproven publicly (B2B enterprise contracts with self-insured employers, no disclosed ARR)",Low - no F1 ties found; B2B health-benefits company,Not directly patient-facing (B2B analytics for employers) so dignity framing is muted; positioning would center on data/analytics and cost-of-care rather than individual patient stories.,f1-risk note; revenue unproven
3,Health,13,35,crossed 2025-26,Kailera Therapeutics,kailera.com,USA,Biotech & Longevity,GLP-1-based obesity therapeutics - four clinical-stage candidates across multiple mechanisms/administration routes,~100 (est),$1B+ (est) - exact current figure not independently reconfirmed in this research pass,2025 (spun out Dec 2024 from Atlas Venture/Hengrui licensing deal with ~$400M Series A; reported to have raised a much larger round in 2025 pushing valuation into billions - flagged for reconfirmation),Series A ~$400M (Dec 2024) plus a larger 2025 round (amount/lead investor not independently reconfirmed this pass - est),Revenue unproven - clinical-stage obesity biotech,"Low apparent risk, but this entry carries lower confidence on exact valuation/round terms - verify before outreach",Dignity framing: obesity treatment touches body-image and metabolic-health sensitivities; frame around metabolic health/science rather than weight-loss aesthetics.,f1-risk note; revenue unproven
3,Health,14,34,established unicorn,Radiology Partners,radpartners.com,USA,Medtech & Diagnostics,Physician-led radiology practice management with AI-assisted imaging services,"~3,500+",$4B+ (2021 round; PE-backed by New Enterprise Associates and others),,2021 round,revenue reported - national radiology group with $1B+ revenue,none known,"Diagnostic-imaging network; dignity framing around faster, more accurate diagnosis access","['stale valuation', 'PE-held']"
3,Health,15,33,established unicorn,Colossal Biosciences,colossal.com,USA,Biotech & Longevity,De-extinction and conservation genetic-engineering platform,~170 (est),"$10.2B (Jan 2025 round, $200M raised)",,"Series C, Jan 2025",revenue unproven - conservation/IP licensing model still emerging,none known,High-profile genetic-engineering brand with strong media reach; science-forward story fits F1's innovation positioning,[]; revenue unproven
3,Health,16,32,small-cap public,Ascentage Pharma,ascentage.com,China (HKEX/A-share),Biotech & Longevity,Small-molecule oncology and apoptosis-targeted therapeutics,"~1,000",~$3B market cap (2025),,public company,revenue reported - licensing deal with Takeda for olverembatinib,none known,Oncology drug developer; dignity framing around cancer-treatment access,['at upper edge of small/mid-cap band']
3,Health,17,32,small-cap public,Elekta,elekta.com,Sweden,Medtech & Diagnostics,Radiotherapy and precision radiation-oncology systems,"~4,500","~$3B market cap (2025, Nasdaq Stockholm)",,public company,revenue reported - ~SEK 17B+ annual,none known,Radiation-therapy systems used worldwide to treat cancer; strong dignity framing around curative cancer treatment,['at upper edge of small/mid-cap band']
3,Health,18,32,crossed 2025-26,Hemab Therapeutics,hemab.com,Denmark,Biotech & Longevity,"Biopharmaceutical pipeline for rare bleeding disorders (Glanzmann Thrombasthenia, Von Willebrand Disease, Factor VII Deficiency, Heavy Menstrual Bleeding), incl. lead candidate sutacimig",~120 (est),$2B (per Dealroom),2026 (upsized IPO),"Upsized IPO in 2026, following prior Series C financing",Revenue unproven - clinical-stage rare-disease biotech (lead asset in Phase 2),"Low - no F1 ties found; now publicly traded (Copenhagen-founded, US-listed)","Dignity framing: very high sensitivity - serious, often life-threatening rare bleeding disorders including patients currently lacking adequate therapies; framing must be respectful and avoid false hope given investigational status.",f1-risk note; revenue unproven
3,Health,19,32,crossed 2025-26,Parabilis Medicines,unconfirmed (est) - unable to verify official domain in this research pass,USA,Biotech & Longevity,"Cancer therapeutics (oncology-focused biopharmaceutical pipeline); Cambridge, MA based per Dealroom",~100 (est),$4.5B (per Dealroom),2026 (IPO); private Series F raised January 2026 preceded the IPO,Series F (January 2026) followed by 2026 IPO,Revenue unproven - clinical-stage oncology biotech,Confidence lower than other entries - could not independently verify company domain/details beyond Dealroom and Crunchbase News listings; recommend re-confirming before outreach,Dignity framing: cancer therapeutics - high sensitivity; avoid premature efficacy claims given clinical stage.,f1-risk note; revenue unproven
3,Health,20,30,crossed 2025-26,Kestra Medical Technologies,kestramedical.com,USA,Medtech & Diagnostics,ASSURE wearable cardioverter defibrillator system for patients at risk of sudden cardiac arrest,~600 (est),$1.2B,2025-03-06 (IPO),IPO raised $202M,"Has commercial revenue - device on market, publicly traded with reported financials","Low - no F1 ties found; now a public company, so sponsorship would need investor-relations sign-off","Dignity framing: cardiac-arrest prevention for at-risk patients - sensitive, life-safety category; strong technical/engineering story, avoid alarmist messaging about cardiac death risk.",f1-risk note
3,Health,21,30,crossed 2025-26,Kriya Therapeutics,kriyatx.com,USA,Biotech & Longevity,"Gene-therapy platform targeting chronic diseases (geographic atrophy, thyroid eye disease, type 1 diabetes, steatotic liver disease, trigeminal neuralgia); also publishing longevity-adjacent gene-therapy research (AAV-FGF21 lifespan extension in mice)",~150 (est),"~$2B (est, per secondary sources; not independently confirmed at exact figure)",2025-09 (Series D),"Series D, $320M, announced September 2025",Revenue unproven - clinical/preclinical-stage gene therapy company; therapies explicitly not yet approved by any regulator,Low - no F1 ties found,Dignity framing: gene therapy for serious chronic diseases; sensitive category given investigational status - messaging must not imply approved treatments exist yet.,f1-risk note; revenue unproven
3,Health,22,29,small-cap public,Everest Medicines,everestmedicines.com,China (HKEX),Biotech & Longevity,"In-licensed and self-developed biopharmaceuticals (infectious disease, nephrology, oncology)",~600,~$1-1.5B market cap (2025),,public company,revenue reported - commercial products in Greater China,none known,Kidney/infectious-disease/oncology biopharma; access-to-medicine framing in Asia,[]
3,Health,23,29,small-cap public,Galapagos NV,glpg.com,Belgium,Biotech & Longevity,"Cell-therapy and small-molecule biotech (oncology, immunology)",~600,"~$1.8-2.2B market cap (2025, Euronext/Nasdaq)",,public company,"revenue reported - Jyseleca royalties, declining after 2023 pipeline reset",none known,"European biotech based in Belgium, overlapping F1's Belgian GP audience; oncology/immunology pipeline",['reduced pipeline focus post-2023 restructuring']
3,Health,24,29,small-cap public,Gan & Lee Pharmaceuticals,ganleepharm.com,China,Biotech & Longevity,Insulin and GLP-1 biosimilar/analog manufacturer for diabetes and obesity,"~5,000 (est)","multi-billion market cap, surged on 2025 GLP-1/obesity-drug rally (est, figure uncertain)",,"public company (A-share, plus reported HK listing activity in GLP-1 boom)",revenue reported - established insulin manufacturer expanding into GLP-1 biosimilars,none known,Affordable diabetes/obesity drug manufacturing; access-to-medicine framing,['valuation estimate uncertain - verify current market cap before outreach; may exceed small/mid-cap band']
3,Health,25,29,established unicorn,Headway,headway.co,USA,Digital Health,Insurance-covered mental-health provider network/marketplace,~600 (est),$2.3-3.8B (2023 round; reported new raise 2025),,"Series D, 2023; reported follow-on 2025",revenue reported - rapid growth in insurance-covered therapy visits,none known,Mental-health access via insurance; dignity framing around affordable therapy access,[]
3,Health,26,29,established unicorn,Judi Health,judihealth.com,USA,Digital Health,Pharmacy-benefit management / drug-pricing transparency platform,~300 (est),$3.25B (2024/2025),,2024/2025 raise,revenue reported - PBM contracts,none known,Drug-pricing transparency; access-to-medicine framing,[]
3,Health,27,29,small-cap public,Junshi Biosciences,junshibio.com,China (HKEX/A-share),Biotech & Longevity,Immuno-oncology antibody therapeutics (toripalimab),"~1,500",~$1.5-2B market cap (2025),,public company,revenue reported - toripalimab approved in China and the US,none known,Cancer immunotherapy; dignity framing around extending survival for cancer patients,[]
