brand,domain,already_in_f1,num_f1_rivals,f1_sponsors_it_competes_with,categories,note
Current,current.com,,4,"Cash App (Block, Inc.); Revolut; Nu (Nubank); Endstate","Payments, Banking & Insurance; Crypto, Trading & Wealth",US neobank rival
D-Link,dlink.com,,4,Cisco; Extreme Networks; CommScope; Ruckus Networks (CommScope),"Cyber, IT & Hardware",networking hardware
Dave Inc.,dave.com,,4,"Cash App (Block, Inc.); Revolut; Nu (Nubank); Endstate","Payments, Banking & Insurance; Crypto, Trading & Wealth",US neobank rival
Delta Air Lines,delta.com,,4,Qatar Airways; Flexjet; Singapore Airlines; Etihad Airways,"Travel, Logistics & Property",US global network carrier
Emirates,emirates.com,,4,Qatar Airways; Gulf Air; Singapore Airlines; Etihad Airways,"Travel, Logistics & Property",Dubai flagship long-haul rival
Erdinger,erdinger.de,,4,"Heineken; Peroni (Asahi Group); Estrella Galicia 0,0 (Hijos de Rivera); Paulaner","Beverages, Food & CPG",German wheat beer specialist
EY (Ernst & Young),ey.com,,4,Cognizant; NTT DATA; Deloitte; PwC,"Cyber, IT & Hardware; Health, Betting & Services",Big Four professional services
F5,f5.com,,4,Cisco; Extreme Networks; Cato Networks; Palo Alto Networks,"Cyber, IT & Hardware",application delivery/security
Geely,geelyauto.com,,4,General Motors / Cadillac; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group,"Energy, Industrial & Automotive",Chinese automaker group
Ghost Energy,ghostlifestyle.com,,4,Red Bull; Monster Energy (Monster Beverage); Optimum Nutrition (Glanbia); Celsius (Celsius Holdings),"Beverages, Food & CPG",US lifestyle fitness energy brand
Goldman Sachs,goldmansachs.com,YES,4,UBS; Barclays; Velocity Black (Capital One); BNY,"Payments, Banking & Insurance",Global investment/wealth bank rival; McLaren partner
GoTo (LogMeIn),goto.com,,4,TeamViewer; 1Password; Keeper Security; NinjaOne,"Cloud, Data & AI Software; Cyber, IT & Hardware",remote access rival
Grand Seiko,grand-seiko.com,,4,TAG Heuer (LVMH); Rolex; Tudor (Rolex Group); IWC Schaffhausen (Richemont),"Luxury, Fashion & Beauty",Japanese luxury watch line
Guess Watches,guess.com,,4,Invicta Watch Group; Pepe Jeans; Hugo Boss (BOSS / HUGO / Hugo Eyewear); Tommy Hilfiger (PVH Corp),"Luxury, Fashion & Beauty",American casualwear/fashion brand
Guinness,guinness.com,,4,"Heineken; Peroni (Asahi Group); Singha (Boon Rawd Brewery); Estrella Galicia 0,0 (Hijos de Rivera)","Beverages, Food & CPG",Diageo stout brand
Hitachi Vantara,hitachivantara.com,,4,Hewlett Packard Enterprise; NetApp; VAST Data; Dell Technologies,"Cyber, IT & Hardware; Cloud, Data & AI Software",data storage rival
HJC Helmets,hjchelmets.com,,4,Alpinestars; Sparco; Bell Racing Helmets; Schuberth,"Energy, Industrial & Automotive",Helmet manufacturer
Infineon Technologies,infineon.com,,4,Arm (SoftBank Group); AMD; Snapdragon (Qualcomm); SEALSQ,"Cyber, IT & Hardware",secure microcontrollers
ING Group,ing.com,,4,Santander; Barclays; UniCredit; Standard Chartered,"Payments, Banking & Insurance",European digital/retail bank rival
Intel (Gaudi),intel.com,,4,Groq; Arm (SoftBank Group); AMD; Snapdragon (Qualcomm),"Cloud, Data & AI Software; Cyber, IT & Hardware",x86 CPU architecture
Kaseya (Datto),kaseya.com,,4,CrowdStrike; TeamViewer; Rubrik; NinjaOne,"Cloud, Data & AI Software; Cyber, IT & Hardware",RMM/IT management
Kaspersky Password Manager,kaspersky.com,,4,1Password; Bitdefender; Keeper Security; Palo Alto Networks,"Cyber, IT & Hardware",endpoint AV
KPMG,kpmg.com,,4,Cognizant; NTT DATA; Deloitte; PwC,"Cyber, IT & Hardware; Health, Betting & Services",Big Four professional services
Legrand,legrand.com,,4,CommScope; Siemens; Schneider Electric; Signify,"Cyber, IT & Hardware; Energy, Industrial & Automotive",Electrical/digital infrastructure
Lufthansa,lufthansa.com,,4,Qatar Airways; Gulf Air; Singapore Airlines; Etihad Airways,"Travel, Logistics & Property",European flag carrier
Mastercard,mastercard.com,YES,4,Visa; American Express; Velocity Black (Capital One); Circle,"Payments, Banking & Insurance; Crypto, Trading & Wealth",Direct card-network rival; McLaren title partner
Mazda,mazda.com,,4,Ford; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group,"Energy, Industrial & Automotive",Mass-market automaker
Mistral AI,mistral.ai,,4,G42; Meta AI (Meta); Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Claude (Anthropic),"Cloud, Data & AI Software",AI model rival
monday.com,monday.com,,4,Salesforce; Smartsheet; Freshworks; Atlassian,"Cloud, Data & AI Software",work management rival
Monzo,monzo.com,,4,"Cash App (Block, Inc.); Revolut; Nu (Nubank); Endstate","Payments, Banking & Insurance; Crypto, Trading & Wealth",UK neobank rival
Morgan Stanley,morganstanley.com,,4,Goldman Sachs; UBS; Barclays; BNY,"Payments, Banking & Insurance",Global investment bank rival
N-able,n-able.com,,4,TeamViewer; 1Password; Keeper Security; NinjaOne,"Cloud, Data & AI Software; Cyber, IT & Hardware",RMM/security for MSPs
NEC Corporation,nec.com,,4,HP; Lenovo; Xerox; NTT DATA,"Cyber, IT & Hardware",IT services/systems integration
NETGEAR,netgear.com,,4,Cisco; Extreme Networks; CommScope; Ruckus Networks (CommScope),"Cyber, IT & Hardware",wireless networking hardware
Netskope,netskope.com,,4,CrowdStrike; Extreme Networks; Cato Networks; Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",SSE/SASE platform
New Balance,newbalance.com,,4,Puma; adidas; Castore; Athletic Propulsion Labs (APL),"Luxury, Fashion & Beauty",Performance footwear & apparel
NICE,nice.com,,4,Salesforce; Medallia; Freshworks; Genesys,"Cloud, Data & AI Software",contact center platform rival
Nutanix,nutanix.com,,4,Hewlett Packard Enterprise; NetApp; VAST Data; Dell Technologies,"Cyber, IT & Hardware; Cloud, Data & AI Software",hyperconverged infrastructure rival
NXP Semiconductors,nxp.com,,4,Arm (SoftBank Group); AMD; Snapdragon (Qualcomm); SEALSQ,"Cyber, IT & Hardware",secure element/semiconductor security
Oris,oris.ch,,4,TAG Heuer (LVMH); Tudor (Rolex Group); IWC Schaffhausen (Richemont); Breitling,"Luxury, Fashion & Beauty",Independent Swiss watchmaker
Paulaner,paulaner.com,YES,4,"Heineken; Peroni (Asahi Group); Singha (Boon Rawd Brewery); Estrella Galicia 0,0 (Hijos de Rivera)","Beverages, Food & CPG",German brewer; Audi F1 partner
Petronas Lubricants International,pli-petronas.com,YES,4,Mobil 1 (ExxonMobil); Gulf Oil International; Liqui Moly; Valvoline (Aramco),"Energy, Industrial & Automotive",Petronas lubricants arm
Philips,philips.com,YES,4,Gillette (Procter & Gamble); Wilkinson Sword (Edgewell); mophie (ZAGG); Duracell (Berkshire Hathaway),"Beverages, Food & CPG; Telecom, Media, Electronics & Gaming",Red Bull Racing partner; consumer battery line
Piaget,piaget.com,,4,Rolex; Richard Mille; IWC Schaffhausen (Richemont); Girard-Perregaux,"Luxury, Fashion & Beauty",Richemont luxury watches & jewellery
Prime Energy,drinkprime.com,,4,Red Bull; Monster Energy (Monster Beverage); Gatorade (PepsiCo); Celsius (Celsius Holdings),"Beverages, Food & CPG",Logan Paul/KSI-backed energy drink
Pure Storage,purestorage.com,,4,Hewlett Packard Enterprise; NetApp; VAST Data; Dell Technologies,"Cyber, IT & Hardware; Cloud, Data & AI Software",flash storage rival
PwC,pwc.com,YES,4,DXC Technology; Cognizant; NTT DATA; Deloitte,"Cyber, IT & Hardware; Health, Betting & Services",F1 official partner
Qatar Airways,qatarairways.com,YES,4,Gulf Air; Singapore Airlines; Etihad Airways; Atlas Air,"Travel, Logistics & Property",F1 global partner; Gulf premium rival
Rabobank,rabobank.com,,4,Santander; Barclays; UniCredit; Standard Chartered,"Payments, Banking & Insurance",European corporate/commercial bank rival
Renesas Electronics,renesas.com,,4,Arm (SoftBank Group); AMD; Snapdragon (Qualcomm); SEALSQ,"Cyber, IT & Hardware",secure microcontrollers
Ritz-Carlton / Marriott Bonvoy,marriott.com,YES,4,Velocity Black (Capital One); Hilton; World of Hyatt (Hyatt Hotels); MGM Rewards (MGM Resorts),"Payments, Banking & Insurance; Travel, Logistics & Property",Mercedes partner; hotel loyalty/group rival
Robinhood Markets,robinhood.com,,4,"Cash App (Block, Inc.); Revolut; Endstate; Public.com","Payments, Banking & Insurance; Crypto, Trading & Wealth",commission-free trading app
Sage,sage.com,,4,SAP; Oracle; Workday; IFS,"Cloud, Data & AI Software",ERP/accounting rival
San Miguel,sanmiguel.com,,4,"Heineken; Peroni (Asahi Group); Singha (Boon Rawd Brewery); Estrella Galicia 0,0 (Hijos de Rivera)","Beverages, Food & CPG",Spanish/Asian lager brand
Santander Private Banking,santander.com,YES,4,UBS; Barclays; UniCredit; Standard Chartered,"Payments, Banking & Insurance",Pan-European retail bank rival; F1 official partner
Seiko,seikowatches.com,,4,TAG Heuer (LVMH); Tudor (Rolex Group); Breitling; Invicta Watch Group,"Luxury, Fashion & Beauty",Japanese mainstream watch brand
Shoei,shoei.com,,4,Alpinestars; Sparco; Bell Racing Helmets; Schuberth,"Energy, Industrial & Automotive",Premium helmet maker
Simpson Race Products,simpsonraceproducts.com,,4,Alpinestars; Sparco; Bell Racing Helmets; Schuberth,"Energy, Industrial & Automotive",Motorsport safety helmets
SoftBank Group,softbank.jp,,4,G42; TWG Motorsports / TWG AI (TWG Global); T-Mobile (Deutsche Telekom); AT&T,"Cloud, Data & AI Software; Telecom, Media, Electronics & Gaming",diversified AI/tech holding rival
Sony,sony.com,,4,Microsoft; HP; Lenovo; Philips,"Cloud, Data & AI Software; Cyber, IT & Hardware; Energy, Industrial & Automotive",Consumer electronics
Stilo,stilo.it,,4,Alpinestars; Sparco; Bell Racing Helmets; Schuberth,"Energy, Industrial & Automotive",Motorsport helmets
STMicroelectronics,st.com,,4,Arm (SoftBank Group); AMD; Snapdragon (Qualcomm); SEALSQ,"Cyber, IT & Hardware",secure element chips
Stripe,stripe.com,,4,Visa; Mastercard; American Express; Circle,"Payments, Banking & Insurance; Crypto, Trading & Wealth",Payments infrastructure rival
Superdry,superdry.com,,4,Reiss; Pepe Jeans; Hugo Boss (BOSS / HUGO / Hugo Eyewear); Tommy Hilfiger (PVH Corp),"Luxury, Fashion & Beauty",British casualwear/denim brand
Suzuki,globalsuzuki.com,,4,Ford; Honda (HRC); Toyota Gazoo Racing (Toyota); Alpine / Renault Group,"Energy, Industrial & Automotive",Mass-market automaker
TAG Heuer,tagheuer.com,YES,4,Rolex; Tudor (Rolex Group); IWC Schaffhausen (Richemont); Breitling,"Luxury, Fashion & Beauty",F1 sponsor & official timekeeper
Telefonica (Movistar),telefonica.com,,4,T-Mobile (Deutsche Telekom); Tata Communications; AT&T; Claro / Telcel (America Movil),"Telecom, Media, Electronics & Gaming",Pan-LatAm carrier rival
Texas Instruments,ti.com,,4,Arm (SoftBank Group); AMD; Snapdragon (Qualcomm); SEALSQ,"Cyber, IT & Hardware",secure semiconductors
Together AI,together.ai,,4,G42; Groq; CoreWeave; Core Scientific,"Cloud, Data & AI Software; Cyber, IT & Hardware",AI cloud infrastructure/inference
Tudor,tudorwatch.com,YES,4,TAG Heuer (LVMH); Rolex; IWC Schaffhausen (Richemont); Breitling,"Luxury, Fashion & Beauty",F1 sponsor (Racing Bulls)
Turkish Airlines,turkishairlines.com,,4,Qatar Airways; Gulf Air; Singapore Airlines; Etihad Airways,"Travel, Logistics & Property",Global network hub carrier
Twilio (Segment),twilio.com,,4,Salesforce; Genesys; Infobip; Tata Communications,"Cloud, Data & AI Software; Telecom, Media, Electronics & Gaming",Cloud communications/CPaaS platform
UBS,ubs.com,YES,4,Goldman Sachs; Barclays; Velocity Black (Capital One); BNY,"Payments, Banking & Insurance",Global investment bank rival; Mercedes partner
Varo Bank,varomoney.com,,4,"Cash App (Block, Inc.); Revolut; Nu (Nubank); Endstate","Payments, Banking & Insurance; Crypto, Trading & Wealth",US digital bank rival
Verizon Business,verizon.com,,4,Cato Networks; T-Mobile (Deutsche Telekom); Tata Communications; AT&T,"Cyber, IT & Hardware; Telecom, Media, Electronics & Gaming",US wireless carrier
Visa,visa.com,YES,4,Mastercard; American Express; Velocity Black (Capital One); Circle,"Payments, Banking & Insurance; Crypto, Trading & Wealth",Direct card-network rival; Racing Bulls/Red Bull Racing partner
Woodside Energy,woodside.com,,4,Aramco; Shell; bp / Castrol; Eni,"Energy, Industrial & Automotive",Australian E&P
Xiaomi,mi.com,,4,HP; Lenovo; Philips; WHOOP,"Cyber, IT & Hardware; Energy, Industrial & Automotive; Health, Betting & Services",consumer electronics/laptops
Zelle (Early Warning Services),zellepay.com,,4,"Visa; Mastercard; Cash App (Block, Inc.); MoneyGram","Payments, Banking & Insurance",Bank-backed P2P rival
ZF (TRW brakes),zf.com,,4,Brembo; Tenneco; Delphi (PHINIA); Ohlins,"Energy, Industrial & Automotive",Chassis/driveline systems major
5-hour Energy,5hourenergy.com,,3,Red Bull; Monster Energy (Monster Beverage); Celsius (Celsius Holdings),"Beverages, Food & CPG",US energy shot leader
Accor Live Limitless (ALL),accor.com,,3,Marriott Bonvoy (Marriott International); Hilton; World of Hyatt (Hyatt Hotels),"Travel, Logistics & Property",Global hotel group rival
Acer,acer.com,,3,HP; Dell Technologies; Lenovo,"Cyber, IT & Hardware",PC/laptop hardware
ADP,adp.com,,3,Workday; Businessolver; UKG,"Cloud, Data & AI Software; Payments, Banking & Insurance",payroll/workforce management rival
Adyen,adyen.com,,3,Visa; Mastercard; American Express,"Payments, Banking & Insurance",Global payments platform
AIG,aig.com,,3,Aon; Marsh (Marsh McLennan); Allianz,"Payments, Banking & Insurance",Global commercial insurer rival
Air France,airfrance.com,,3,Qatar Airways; Singapore Airlines; Etihad Airways,"Travel, Logistics & Property",European flag carrier
Alani Nu,alaninu.com,,3,Red Bull; Monster Energy (Monster Beverage); Celsius (Celsius Holdings),"Beverages, Food & CPG",US female-skewing fitness energy brand
Alipay (Ant Group),alipay.com,,3,Visa; Mastercard; Nu (Nubank),"Payments, Banking & Insurance",China super-app payments rail
Allianz,allianz.com,YES,3,Aon; Marsh (Marsh McLennan); Orion180,"Payments, Banking & Insurance",Global risk/insurance rival; F1 global partner
Ally Bank,ally.com,,3,Revolut; Mobilize Financial Services (Renault Group); Public.com,"Payments, Banking & Insurance; Crypto, Trading & Wealth",US auto finance rival
AMD (Instinct AI),amd.com,YES,3,Groq; Arm (SoftBank Group); Snapdragon (Qualcomm),"Cloud, Data & AI Software; Cyber, IT & Hardware",AI compute rival
America Movil (Claro/Telcel),americamovil.com,YES,3,T-Mobile (Deutsche Telekom); STC (Saudi Telecom Company); AT&T,"Telecom, Media, Electronics & Gaming",Cadillac F1 partner
American Express,americanexpress.com,YES,3,Visa; Mastercard; Velocity Black (Capital One),"Payments, Banking & Insurance",Closed-loop network rival; F1 official partner
ANA (All Nippon Airways),ana.co.jp,,3,Qatar Airways; Singapore Airlines; Etihad Airways,"Travel, Logistics & Property",Premium Japanese carrier
Analog Devices,analog.com,,3,AMD; Snapdragon (Qualcomm); SEALSQ,"Cyber, IT & Hardware",mixed-signal chips
Anaplan,anaplan.com,,3,SAP; Oracle; Workday,"Cloud, Data & AI Software",enterprise planning rival
Apollo Global Management,apollo.com,,3,Goldman Sachs; Carlyle; ZCG,"Payments, Banking & Insurance",Credit/alternative asset management rival
Arm Holdings,arm.com,YES,3,AMD; Snapdragon (Qualcomm); SEALSQ,"Cyber, IT & Hardware",Aston Martin partner
ASICS,asics.com,,3,Puma; adidas; Athletic Propulsion Labs (APL),"Luxury, Fashion & Beauty",Japanese performance footwear brand
ASUS,asus.com,,3,HP; Dell Technologies; Lenovo,"Cyber, IT & Hardware",PC/laptop hardware
Axalta Coating Systems,axalta.com,,3,AkzoNobel (Sikkens); Sherwin-Williams; Glasurit (BASF),"Energy, Industrial & Automotive",Automotive refinish paint
Ayala,champagne-ayala.fr,,3,Moet & Chandon (LVMH); G.H. Mumm (Pernod Ricard); Taittinger,"Beverages, Food & CPG",Bollinger-owned champagne house
Banana Republic,bananarepublic.com,,3,Reiss; Hugo Boss (BOSS / HUGO / Hugo Eyewear); Tommy Hilfiger (PVH Corp),"Luxury, Fashion & Beauty",Gap Inc. premium casualwear brand
Bang Energy,bangenergy.com,,3,Red Bull; Monster Energy (Monster Beverage); Celsius (Celsius Holdings),"Beverages, Food & CPG",US high-caffeine energy brand
Barracuda Networks,barracuda.com,,3,Rubrik; Cato Networks; Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",data protection/security rival
Baume & Mercier,baume-et-mercier.com,,3,TAG Heuer (LVMH); Tudor (Rolex Group); IWC Schaffhausen (Richemont),"Luxury, Fashion & Beauty",Richemont accessible luxury watches
Bell & Ross,bellross.com,,3,TAG Heuer (LVMH); Tudor (Rolex Group); Breitling,"Luxury, Fashion & Beauty",Aviation-inspired luxury watches
Bell Racing,bellracing.com,YES,3,Alpinestars; Sparco; Schuberth,"Energy, Industrial & Automotive",Ferrari/Audi helmet partner
Best Western,bestwestern.com,,3,Marriott Bonvoy (Marriott International); Hilton; World of Hyatt (Hyatt Hotels),"Travel, Logistics & Property",Global hotel group rival
BetMGM,betmgm.com,,3,Betway (Super Group); FanDuel (Flutter Entertainment); JackpotCity Casino,"Health, Betting & Services",US sportsbook
Betway (Super Group),betway.com,YES,3,FanDuel (Flutter Entertainment); JackpotCity Casino; Stake (departing but budget-holder),"Health, Betting & Services",F1 official betting operator; Williams partner
Bharti Airtel,airtel.in,,3,T-Mobile (Deutsche Telekom); Tata Communications; AT&T,"Telecom, Media, Electronics & Gaming",India/Africa carrier
Billecart-Salmon,champagne-billecart.fr,,3,Moet & Chandon (LVMH); G.H. Mumm (Pernod Ricard); Taittinger,"Beverages, Food & CPG",Family-owned champagne house
Blackstone Inc.,blackstone.com,,3,Goldman Sachs; Carlyle; ZCG,"Payments, Banking & Insurance",Largest global alternative asset manager rival
Blancpain,blancpain.com,,3,Rolex; IWC Schaffhausen (Richemont); Girard-Perregaux,"Luxury, Fashion & Beauty",Swatch Group haute horlogerie
Bloomberg,bloomberg.com,,3,Nasdaq; CNBC (Comcast/NBCUniversal); Financial Times (Nikkei),"Crypto, Trading & Wealth; Telecom, Media, Electronics & Gaming",Business news TV/digital
Bollinger,champagne-bollinger.com,,3,Moet & Chandon (LVMH); G.H. Mumm (Pernod Ricard); Taittinger,"Beverages, Food & CPG",Family-owned champagne house
Bosch (BSH Hausgeräte),bosch.com,,3,Philips; Brembo; NGK Spark Plugs (Niterra),"Energy, Industrial & Automotive",Spark plugs/ignition components
Box,box.com,,3,Microsoft; Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Dropbox,"Cloud, Data & AI Software",cloud content management rival
Boyd Gaming,boydgaming.com,,3,Hard Rock International; The Venetian Resort (Apollo); MGM Rewards (MGM Resorts),"Travel, Logistics & Property",US regional casino/resort operator
BT Group / EE,bt.com,,3,T-Mobile (Deutsche Telekom); Tata Communications; AT&T,"Telecom, Media, Electronics & Gaming",Enterprise connectivity division
C4 Energy,c4energy.com,,3,Red Bull; Monster Energy (Monster Beverage); Celsius (Celsius Holdings),"Beverages, Food & CPG",Nutrabolt performance energy drink
Cambium Networks,cambiumnetworks.com,,3,Cisco; Extreme Networks; Ruckus Networks (CommScope),"Cyber, IT & Hardware",wireless networking
Canard-Duchene,canard-duchene.fr,,3,Moet & Chandon (LVMH); G.H. Mumm (Pernod Ricard); Taittinger,"Beverages, Food & CPG",Champagne house (Thienot group)
Canon,canon.com,,3,HP; Xerox; Philips,"Cyber, IT & Hardware; Energy, Industrial & Automotive",printers/imaging
Carlsberg,carlsberggroup.com,,3,Heineken; Peroni (Asahi Group); Singha (Boon Rawd Brewery),"Beverages, Food & CPG",Danish global brewer
Cathay Pacific,cathaypacific.com,,3,Qatar Airways; Singapore Airlines; Etihad Airways,"Travel, Logistics & Property",Premium Asian long-haul rival
Cato Networks,catonetworks.com,YES,3,CrowdStrike; Extreme Networks; Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",Alpine partner
Ceridian Dayforce,dayforce.com,,3,Workday; Businessolver; UKG,"Cloud, Data & AI Software; Payments, Banking & Insurance",workforce management rival
CGI Inc,cgi.com,,3,DXC Technology; IndraMind (Indra Sistemas); NTT DATA,"Cyber, IT & Hardware",IT services/consulting
Champion,champion.com,,3,Puma; adidas; New Era,"Luxury, Fashion & Beauty",Athletic apparel/headwear brand
Chanel,chanel.com,,3,LVMH; Louis Vuitton (LVMH); Charlotte Tilbury (Puig),"Luxury, Fashion & Beauty",Privately held luxury fashion house
Charles Heidsieck,charlesheidsieck.com,,3,Moet & Chandon (LVMH); G.H. Mumm (Pernod Ricard); Taittinger,"Beverages, Food & CPG",EPC-owned champagne house
Choice Hotels,choicehotels.com,,3,Marriott Bonvoy (Marriott International); Hilton; World of Hyatt (Hyatt Hotels),"Travel, Logistics & Property",Global hotel group rival
Chubb Limited,chubb.com,,3,Aon; Marsh (Marsh McLennan); Allianz,"Payments, Banking & Insurance",Global commercial/specialty insurer rival
Ciena,ciena.com,,3,Cisco; Extreme Networks; CommScope,"Cyber, IT & Hardware",optical networking
Citizen,citizenwatch.com,,3,TAG Heuer (LVMH); Breitling; Invicta Watch Group,"Luxury, Fashion & Beauty",Japanese mainstream watch brand
Citrix (Cloud Software Group),citrix.com,,3,TeamViewer; Microsoft; Dropbox,"Cloud, Data & AI Software",file sharing rival
Clariant,clariant.com,,3,INEOS; Ecolab; Nouryon,"Energy, Industrial & Automotive",Specialty chemicals
Cloudera,cloudera.com,,3,Hewlett Packard Enterprise; Oracle; Confluent,"Cyber, IT & Hardware; Cloud, Data & AI Software",data platform/streaming rival
Cloudflare,cloudflare.com,,3,AWS (Amazon); Cato Networks; Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",network security/SASE
Cohere,cohere.com,,3,Meta AI (Meta); Google (Alphabet) - Chrome / Android / Google Cloud / Gemini AI; Claude (Anthropic),"Cloud, Data & AI Software",enterprise AI model rival
Commvault,commvault.com,,3,Hewlett Packard Enterprise; Rubrik; Dell Technologies,"Cyber, IT & Hardware; Cloud, Data & AI Software",data protection rival
Confluent,confluent.io,YES,3,Oracle; Splunk (Cisco); IBM,"Cloud, Data & AI Software",data streaming rival
Costa Del Mar,costadelmar.com,,3,Ray-Ban (EssilorLuxottica); Oakley (EssilorLuxottica); Maui Jim (Kering Eyewear),"Luxury, Fashion & Beauty",EssilorLuxottica performance sunglasses brand
Cradlepoint (Ericsson),cradlepoint.com,,3,Cisco; Ruckus Networks (CommScope); Cato Networks,"Cyber, IT & Hardware",wireless WAN edge
Crown Royal,crownroyal.com,,3,Chivas Regal (Pernod Ricard); Jack Daniel's (Brown-Forman); Jim Beam (Suntory Global Spirits),"Beverages, Food & CPG",Diageo Canadian whisky
CyberArk,cyberark.com,,3,1Password; Okta; Keeper Security,"Cyber, IT & Hardware",privileged access/identity security
De Venoge,champagnedevenoge.com,,3,Moet & Chandon (LVMH); G.H. Mumm (Pernod Ricard); Taittinger,"Beverages, Food & CPG",Independent champagne house
Delinea (Thycotic),delinea.com,,3,1Password; Okta; Keeper Security,"Cyber, IT & Hardware",privileged access management
Denso,denso.com,,3,Garrett Motion; NGK Spark Plugs (Niterra); Delphi (PHINIA),"Energy, Industrial & Automotive",Spark plugs/ignition components
Deutsche Telekom Global Carrier,telekom.com,YES,3,Tata Communications; STC (Saudi Telecom Company); AT&T,"Telecom, Media, Electronics & Gaming","T-Mobile parent, McLaren partner"
Deutz,champagne-deutz.com,,3,Moet & Chandon (LVMH); G.H. Mumm (Pernod Ricard); Taittinger,"Beverages, Food & CPG",Louis Roederer-owned champagne house
Diesel Watches,diesel.com,,3,Invicta Watch Group; Pepe Jeans; Hugo Boss (BOSS / HUGO / Hugo Eyewear),"Luxury, Fashion & Beauty",OTB Group premium denim/fashion brand
Diners Club International,dinersclub.com,,3,Visa; Mastercard; American Express,"Payments, Banking & Insurance",Legacy charge network (Discover-owned)
Dior,dior.com,,3,Louis Vuitton (LVMH); Ray-Ban (EssilorLuxottica); Charlotte Tilbury (Puig),"Luxury, Fashion & Beauty",LVMH sister luxury fashion house
Discover Financial Services,discover.com,,3,Visa; Mastercard; American Express,"Payments, Banking & Insurance",US card network
e& (Etisalat),eand.com,,3,T-Mobile (Deutsche Telekom); Tata Communications; STC (Saudi Telecom Company),"Telecom, Media, Electronics & Gaming",UAE-based regional carrier group
Eaton,eaton.com,,3,Siemens; Schneider Electric; Signify,"Energy, Industrial & Automotive",Power management/electrical
Elastic Security,elastic.co,,3,CrowdStrike; Splunk (Cisco); Dynatrace,"Cloud, Data & AI Software",search/observability rival
Encora,encora.com,,3,Globant; Brillio; RebelDot,"Cyber, IT & Hardware",digital engineering services
Endava,endava.com,,3,Globant; Brillio; RebelDot,"Cyber, IT & Hardware",digital engineering (CEE-based)
Epic Games (Unreal Engine),epicgames.com,,3,Unity; PUBG Mobile (Krafton); EA Sports (Electronic Arts),"Cloud, Data & AI Software; Telecom, Media, Electronics & Gaming",game engine/real-time 3D rival
Epicor,epicor.com,,3,SAP; Oracle; IFS,"Cloud, Data & AI Software",ERP rival
Ericsson,ericsson.com,,3,Cisco; Extreme Networks; CommScope,"Cyber, IT & Hardware",network infrastructure
ESET,eset.com,,3,CrowdStrike; Bitdefender; Palo Alto Networks,"Cloud, Data & AI Software; Cyber, IT & Hardware",endpoint AV
Estrella Galicia,estrellagalicia.es,YES,3,Heineken; Peroni (Asahi Group); Singha (Boon Rawd Brewery),"Beverages, Food & CPG","Spanish brewer; 0,0 is Williams partner"
Etihad Airways,etihad.com,YES,3,Qatar Airways; Gulf Air; Singapore Airlines,"Travel, Logistics & Property",Abu Dhabi GP title/McLaren; Gulf premium rival
Ferrari Trento,ferraritrento.com,,3,Moet & Chandon (LVMH); G.H. Mumm (Pernod Ricard); Taittinger,"Beverages, Food & CPG",Italian premium sparkling wine (Metodo Classico)
Fossil,fossil.com,,3,Invicta Watch Group; Piquadro; WHOOP,"Luxury, Fashion & Beauty; Health, Betting & Services",Accessible fashion watches
Foster's,fostersbeer.com,,3,Heineken; Peroni (Asahi Group); Singha (Boon Rawd Brewery),"Beverages, Food & CPG",AB InBev/Carlton Australian lager
Four Seasons Hotels and Resorts,fourseasons.com,,3,Marriott Bonvoy (Marriott International); Hilton; World of Hyatt (Hyatt Hotels),"Travel, Logistics & Property",Luxury hotel group rival
Framework Computer,frame.work,,3,HP; Dell Technologies; Lenovo,"Cyber, IT & Hardware",modular laptops
Frederique Constant,frederiqueconstant.com,,3,TAG Heuer (LVMH); Tudor (Rolex Group); Girard-Perregaux,"Luxury, Fashion & Beauty",Citizen Group accessible luxury watches
Freixenet,freixenet.com,,3,Moet & Chandon (LVMH); G.H. Mumm (Pernod Ricard); Taittinger,"Beverages, Food & CPG",Henkell-owned Cava/sparkling wine group
G Fuel,gfuel.com,,3,Red Bull; Monster Energy (Monster Beverage); Celsius (Celsius Holdings),"Beverages, Food & CPG",Gaming/esports energy drink
Garmin,garmin.com,,3,Philips; WHOOP; Oura,"Energy, Industrial & Automotive; Health, Betting & Services",Fitness watches/wearables
Genting Group / Resorts World Las Vegas,rwlasvegas.com,,3,Hard Rock International; The Venetian Resort (Apollo); MGM Rewards (MGM Resorts),"Travel, Logistics & Property",Las Vegas Strip resort rival
Gigabyte Technology,gigabyte.com,,3,HP; Dell Technologies; Lenovo,"Cyber, IT & Hardware",PC hardware
Google Cloud Identity,cloud.google.com,YES,3,Okta; CoreWeave; Core Scientific,"Cyber, IT & Hardware",McLaren partner (Google)
