#,company,domain,hq_country,sector,subsector,employees_est,revenue_est,why_f1
124,Wells Fargo & Company,wellsfargo.com,United States,Banking & Asset Management,Retail & Commercial Banking,215000,$82.6B revenue (FY2024),"Large US retail/commercial bank rebuilding its brand image; motorsport sponsorship (it already backs NASCAR) suggests appetite for high-visibility racing marketing, and it holds no current F1 deal."
125,Westpac Banking Corporation,westpac.com.au,Australia,Banking & Asset Management,Retail & Commercial Banking,35000,~US$14B revenue (FY2023),"One of Australia's big-four banks, Melbourne (Australian GP) home-market presence and premium banking segment."
126,Woori Financial Group,woorifg.com,South Korea,Banking & Asset Management,Universal Banking / Financial Group,18000,~US$12B revenue (FY2023),One of Korea's big-four financial groups expanding overseas banking and card operations.
127,Zurich Insurance Group AG,zurich.com,Switzerland,Banking & Asset Management,Insurance,60000,$68.9B revenue (FY2024),"One of the world's largest multi-line insurers, headquartered in Switzerland (home of the McLaren, Sauber-Audi and Alpine team bases nearby); no current F1 sponsorship despite an active global sports portfolio (Chelsea FC, golf)."
128,Airbnb,airbnb.com,US,Big Tech & Consumer Internet,Travel & Hospitality Platform,7000,Revenue ~$11.1B (2024),Not an F1 sponsor; race-weekend housing demand spikes make Airbnb a natural official-accommodation partner for host cities and hospitality packages.
129,Apple,apple.com,US,Big Tech & Consumer Internet,Consumer Hardware & Software,164000,Revenue ~$391B (FY2024),"Not on the 2026 F1 sponsor roster; deep pockets, global halo brand, growing sports/streaming ambitions (Apple TV+, MLS) make a marquee F1 tie-in plausible."
130,Applied Materials,appliedmaterials.com,US,Big Tech & Consumer Internet,Semiconductor Equipment,34000,Revenue ~$27.2B (FY2024),Not an F1 sponsor; large-cap chip-equipment leader with brand-awareness incentive to reach global engineering/STEM audiences via F1.
131,ASML Holding,asml.com,Netherlands,Big Tech & Consumer Internet,Semiconductor Lithography Equipment,44000,Revenue ~€28.3B (2024),Not an F1 sponsor; Dutch chip-equipment titan with a natural home-market tie-in to the Dutch GP and Max Verstappen fandom.
132,Baidu,baidu.com,China,Big Tech & Consumer Internet,"AI, Search & Autonomous Driving",30000,Revenue ~$18.9B (2024),Not an F1 sponsor; AI/autonomous-driving R&D narrative pairs naturally with elite motorsport engineering.
133,Booking Holdings,bookingholdings.com,US,Big Tech & Consumer Internet,Online Travel Platform,22000,Revenue ~$23.7B (2024),Not an F1 sponsor; race-weekend travel surges across host cities make an official travel-booking partner a strong strategic fit.
134,Canva,canva.com,Australia,Big Tech & Consumer Internet,Design SaaS,18400,Revenue ~$2.3B ARR (2024),"Verified 18,391 employees, comfortably clearing the bar; not an F1 sponsor; creative-content tooling fits team media/marketing departments."
135,Coupang,coupang.com,South Korea,Big Tech & Consumer Internet,E-commerce & Logistics,90000,Revenue ~$30.0B (2024),Not an F1 sponsor; South Korea's dominant e-commerce platform with scale well above threshold via its logistics workforce.
136,Delivery Hero,deliveryhero.com,Germany,Big Tech & Consumer Internet,Food Delivery Platform,50000,Revenue ~€10.9B (2024),"Not an F1 sponsor; one of the largest global delivery platforms (foodpanda, Talabat) spanning many F1 host markets."
137,eBay,ebay.com,US,Big Tech & Consumer Internet,E-commerce Marketplace,10000,Revenue ~$10.3B (2024),"Not an F1 sponsor; motorsport memorabilia/collectibles category is already a large eBay vertical, giving an organic sponsorship hook."
138,Epic Games,epicgames.com,US,Big Tech & Consumer Internet,Gaming & Metaverse (Fortnite / Unreal Engine),11900,"Revenue ~$6.0B est. (2023, last disclosed)","Verified above 6,000 employees (was mistakenly assumed smaller); Unreal Engine already powers sim-racing/broadcast graphics, and Fortnite's Gen-Z reach overlaps F1's younger fanbase drive."
139,Expedia Group,expediagroup.com,US,Big Tech & Consumer Internet,Online Travel Platform,18000,Revenue ~$13.7B (2024),Not an F1 sponsor; direct competitor angle to Booking.com for the same travel-partner opportunity across the F1 calendar.
140,Flipkart Group,flipkart.com,India,Big Tech & Consumer Internet,"E-commerce (incl. Myntra, Cleartrip)",95000,Revenue ~$8.0B est. (FY2024),Not an F1 sponsor; Walmart-backed e-commerce giant targeting India's rapidly growing F1 fanbase and sports-sponsorship spend.
141,GoTo Group,gotocompany.com,Indonesia,Big Tech & Consumer Internet,"Ride-hail, E-commerce & Fintech (Gojek/Tokopedia)",17800,Revenue ~$1.0B est. (2024),Not an F1 sponsor; Indonesia's largest tech group with a fast-growing motorsport fanbase and no current F1 presence.
142,Grab Holdings,grab.com,Singapore,Big Tech & Consumer Internet,"Superapp (Ride-hail, Delivery, Fintech)",11000,Revenue ~$2.8B (2024),Not an F1 sponsor; Southeast Asia's leading superapp with regional sports-sponsorship ambitions and Singapore GP proximity.
143,JD.com,jd.com,China,Big Tech & Consumer Internet,E-commerce & Logistics,520000,Revenue ~$158B (2024),Not an F1 sponsor; logistics scale and China-market reach make it a plausible supply-chain/e-commerce partner.
144,Kuaishou Technology,kuaishou.com,China,Big Tech & Consumer Internet,Short Video & Livestreaming,20000,Revenue ~$16.9B (2024),Not an F1 sponsor; short-form video/livestream reach is a strong complement to F1's social-first fan-growth strategy.
145,LG Electronics,lg.com,South Korea,Big Tech & Consumer Internet,Consumer Electronics,74000,"Revenue ~$66B (2024, KRW-converted)",Not an F1 sponsor; displays/broadcast-tech portfolio align with trackside screens and fan-experience tech.
146,LY Corporation,lycorp.co.jp,Japan,Big Tech & Consumer Internet,Internet & Messaging (LINE / Yahoo! Japan),18000,Revenue ~$5.8B (FY2024),Not an F1 sponsor; Japan's largest internet platform (LINE reaches ~90% of Japan) fits the Japanese GP market.
147,Marvell Technology,marvell.com,US,Big Tech & Consumer Internet,Semiconductors / Data Infrastructure,11800,Revenue ~$5.5B (FY2025),Not an F1 sponsor; high-speed data/connectivity chips align with F1's massive trackside-to-cloud telemetry pipelines.
148,Meituan,meituan.com,China,Big Tech & Consumer Internet,Local Services & Delivery Platform,100000,Revenue ~$43B (2024),Not an F1 sponsor; dominant China local-services platform with brand incentive to build global lifestyle association.
149,Micron Technology,micron.com,US,Big Tech & Consumer Internet,Semiconductors (Memory & Storage),48000,Revenue ~$25.1B (FY2024),Not an F1 sponsor; memory/storage demand from onboard data logging and simulation workloads is a plausible technical-partner story.
150,NetEase,netease.com,China,Big Tech & Consumer Internet,Gaming & Internet Services,30000,Revenue ~$14.3B (2024),"Not an F1 sponsor; verified well above 6,000 employees; major gaming publisher with esports/broadcast infrastructure."
151,Netflix,netflix.com,US,Big Tech & Consumer Internet,Streaming & Media,14000,Revenue ~$39.0B (2024),Owns the Drive to Survive halo effect that reignited US F1 interest but is not a paying sponsor/partner; natural next step from content deal to on-car/paddock branding.
152,Nvidia,nvidia.com,US,Big Tech & Consumer Internet,AI Computing & Semiconductors,36000,"Revenue ~$130.5B (FY2025, ended Jan 2025)","Verified NOT on the current F1 global partner list; GPU/AI compute and simulation tech are a natural fit for race strategy, aero CFD and fan-data storylines."
153,OpenAI,openai.com,US,Big Tech & Consumer Internet,AI Research & Products,10500,"Revenue ~$12B ARR run-rate (2025); verified employee count 10,492 (Clay/LinkedIn 2026)","Not an F1 sponsor and now verified well above the 6,000-employee bar; AI copilots for strategy, fan engagement and broadcast are on-trend for a headline tech sponsorship."
154,Paytm (One97 Communications),paytm.com,India,Big Tech & Consumer Internet,Digital Payments & Fintech,31000,Revenue ~$620M (FY2024),"Not an F1 sponsor; India's most recognized fintech brand, historically active in cricket sponsorship and open to motorsport expansion."
155,PhonePe,phonepe.com,India,Big Tech & Consumer Internet,Digital Payments & Fintech,20000,Revenue ~$530M (FY2024),Not an F1 sponsor; India's largest UPI payments app with 700M+ users and growing global-sports marketing appetite.
156,Rakuten Group,rakuten.co.jp,Japan,Big Tech & Consumer Internet,"E-commerce, Fintech & Mobile",32000,Revenue ~$16.8B (2024),"Not an F1 sponsor; proven top-tier sports sponsor (Barcelona FC, Golden State Warriors) with an open motorsport lane."
157,Samsung Electronics,samsung.com,South Korea,Big Tech & Consumer Internet,Consumer Electronics & Semiconductors,270000,Revenue ~$208B (2024),Not an F1 sponsor; global consumer-electronics scale and device/chip portfolio fit a marquee technology-partner slot.
158,Sea Limited,sea.com,Singapore,Big Tech & Consumer Internet,"E-commerce (Shopee), Gaming (Garena) & Fintech",67000,Revenue ~$13.1B (2024),Not an F1 sponsor; SEA's largest internet conglomerate spanning three verticals with strong regional sports-marketing budgets.
159,Sony Group,sony.com,Japan,Big Tech & Consumer Internet,"Consumer Electronics, Gaming & Entertainment",113000,Revenue ~$85B (FY2024),Not a current F1 series sponsor; PlayStation/gaming and camera/broadcast tech businesses both have natural motorsport tie-ins.
160,Spotify,spotify.com,Sweden,Big Tech & Consumer Internet,Audio Streaming,9800,Revenue ~$15.7B (2024),"Not an F1 sponsor; podcasts/playlists around motorsport fandom and driver content are a strong audience overlap with F1's younger, global demographic."
161,Swiggy,swiggy.com,India,Big Tech & Consumer Internet,Food Delivery & Quick Commerce,29000,Revenue ~$1.6B (FY2024),Not an F1 sponsor; recently IPO'd Indian consumer-internet major competing directly with Zomato for premium sports visibility.
162,Take-Two Interactive,take2games.com,US,Big Tech & Consumer Internet,Video Games (Rockstar/2K/Zynga),11500,Revenue ~$5.6B (FY2024),"Not an F1 sponsor (no exclusive F1 licensing conflict, unlike EA Sports F1); gaming audience crossover appeal."
163,Texas Instruments,ti.com,US,Big Tech & Consumer Internet,Semiconductors (Embedded/Analog),34000,Revenue ~$15.6B (2024),Not an F1 sponsor; embedded/analog chips power sensors and ECUs relevant to race-car electronics.
164,Trip.com Group,trip.com,China,Big Tech & Consumer Internet,Online Travel Platform,33000,Revenue ~RMB53.4B / ~$7.5B (2024),Not an F1 sponsor; China's largest OTA with strong outbound-travel ambitions tied to F1's growing Chinese GP audience.
165,Uber,uber.com,US,Big Tech & Consumer Internet,Mobility & Delivery Platform,33000,Revenue ~$44.0B (2024),Not an F1 sponsor; global ride-hail/delivery brand with race-weekend logistics and fan-transport tie-in potential across F1's host cities.
166,Ubisoft,ubisoft.com,France,Big Tech & Consumer Internet,Video Games,18000,Revenue ~€2.1B (FY2024),Not an F1 sponsor; France hosts a major F1-adjacent gaming/esports market and Ubisoft has no competing racing-title exclusivity with F1.
167,Wayfair,wayfair.com,US,Big Tech & Consumer Internet,E-commerce (Home Goods),12000,Revenue ~$11.9B (2024),Not an F1 sponsor; large US-based consumer internet brand seeking mainstream sports visibility to broaden demographic reach.
168,Xiaomi,mi.com,China,Big Tech & Consumer Internet,Consumer Electronics & EVs,42000,Revenue ~$41.9B (2024),"Not an F1 sponsor; newly entered the EV/performance-car market (SU7), giving fresh motorsport-marketing motivation."
169,Zalando,zalando.com,Germany,Big Tech & Consumer Internet,Fashion E-commerce,15000,Revenue ~€10.6B (2024),Not an F1 sponsor; Europe's largest online fashion platform with lifestyle-brand ambitions that could extend to team merchandise/apparel tie-ins.
170,Zomato (Eternal Ltd),zomato.com,India,Big Tech & Consumer Internet,Food Delivery & Quick Commerce,26000,Revenue ~$1.4B (FY2024),Not an F1 sponsor; India's leading food-delivery platform with an aggressive brand-marketing playbook targeting F1's new India audience.
171,Akamai Technologies,akamai.com,United States,Cybersecurity & Networking,Edge/Network Security & CDN,10619,Public (NASDAQ: AKAM); revenue ~$3.99B FY2024,Powers/secures large-scale live streaming and content delivery; natural fit for F1's global broadcast and fan-app infrastructure story.
172,Amdocs,amdocs.com,Israel,Cybersecurity & Networking,Telecom Network Software & Security,34462,Public (NASDAQ: DOX); revenue ~$5.0B FY2024,"Powers and secures 5G/network operations for the world's largest telcos; deep pockets and no current F1 footprint, strong Israel-market spread."
173,Atos Group (Eviden),atos.net,France,Cybersecurity & Networking,Cybersecurity Products & Mission-Critical Systems,56000,Public (Euronext Paris: ATO); revenue ~€7.2B FY2024,Self-described European #1 in cybersecurity via its Eviden brand; a former Olympics IT partner now seeking a new flagship sports platform post-restructuring.
174,BAE Systems (Digital Intelligence),baesystems.com,United Kingdom,Cybersecurity & Networking,Cyber & Digital Intelligence / Defense Electronics,93000,Public (LSE: BA.); revenue ~£26.3B FY2024,"UK's largest defense/cyber group with a dedicated Digital Intelligence cyber arm; strong precision-engineering brand fit, no current F1 tie."
175,Booz Allen Hamilton,boozallen.com,United States,Cybersecurity & Networking,Cyber & IT Consulting (defense/intelligence),37256,Public (NYSE: BAH); revenue ~$12.0B FY2025,Major cyber-mission consultancy actively rebranding toward commercial/AI markets; F1 offers a high-visibility platform outside its traditional government-buyer base.
176,BT Group (BT Security),bt.com,United Kingdom,Cybersecurity & Networking,Telecom & Managed Cybersecurity Services,123000,Public (LSE: BT.A); revenue ~£20.8B FY2024,"One of the UK's largest network/security operators; several F1 teams are UK-based, offering strong local activation and paddock access potential."
177,CACI International,caci.com,United States,Cybersecurity & Networking,Cyber & Intelligence IT Services (government),27000,Public (NYSE: CACI); revenue ~$7.7B FY2025,Fortune 500 national-security technology integrator with strong cash generation; well outside current motorsport sponsor rosters.
178,Check Point Software Technologies,checkpoint.com,Israel,Cybersecurity & Networking,Network & Cloud Security,8574,Public (NASDAQ: CHKP); revenue ~$2.5B FY2024,Global enterprise security brand seeking differentiation from CrowdStrike/Palo Alto; F1's real-time telemetry and global data-center footprint story fits its threat-prevention narrative.
179,Ciena Corporation,ciena.com,United States,Cybersecurity & Networking,Optical & Packet Networking Equipment,10607,Public (NYSE: CIEN); revenue ~$4.03B FY2024,"Backbone connectivity vendor for the AI/bandwidth era; F1's data-heavy, low-latency telemetry story is a strong brand match with no current motorsport presence."
180,Cloudflare,cloudflare.com,United States,Cybersecurity & Networking,Network & Application Security (Connectivity Cloud),8355,Public (NYSE: NET); revenue ~$1.67B FY2024,"Now well past the 6,000-employee bar; brand built on speed and global network resilience aligns closely with F1's performance-under-pressure positioning."
181,Ericsson,ericsson.com,Sweden,Cybersecurity & Networking,Telecom Network Equipment,90000,Public (STO/NASDAQ: ERIC); revenue ~SEK 249.7B (~$23B) FY2024,Global 5G/network infrastructure leader with enormous enterprise marketing spend; direct peer set to telecom sponsors already active in premium motorsport.
182,"F5, Inc.",f5.com,United States,Cybersecurity & Networking,Application Delivery & Security,6219,Public (NASDAQ: FFIV); revenue ~$2.82B FY2024,"Crosses the 6,000-employee bar; strong enterprise app-security brand looking to build consumer/exec visibility outside its traditional IT-buyer audience."
183,Fortinet,fortinet.com,United States,Cybersecurity & Networking,Network Security Platform (firewalls/SASE),16497,Public (NASDAQ: FTNT); revenue ~$5.96B FY2024,"Largest pure-play network security vendor by volume, massive global enterprise/SOC marketing budget, direct peer of CrowdStrike/Palo Alto who already sponsor F1 teams."
184,Kyndryl Holdings,kyndryl.com,United States,Cybersecurity & Networking,IT Infrastructure & Security Services,61541,Public (NYSE: KD); revenue ~$16.98B FY2025 (ended Mar 2025),Spun off from IBM in 2021 and actively rebuilding brand identity; dedicated Security & Resiliency practice fits F1's mission-critical-systems narrative.
185,Leidos,leidos.com,United States,Cybersecurity & Networking,IT & Cybersecurity Services (defense/intelligence),47000,Public (NYSE: LDOS); revenue ~$17.2B FY2025 (ended Jan 2026),"Top-tier US government cyber/IT integrator with large marketing and recruiting budgets; unrepresented in motorsport, strong data/engineering brand fit."
186,ManTech International,mantech.com,United States,Cybersecurity & Networking,Cyber & IT Services (defense/intelligence),10447,Private (Carlyle Group); revenue est. ~$3.5B FY2024,"Nearly 60-year-old cyber/national-security integrator with 9,000+ staff; unattached to any motorsport program and pushing brand modernization."
187,Motorola Solutions,motorolasolutions.com,United States,Cybersecurity & Networking,Public Safety Tech & Cybersecurity Services,28436,Public (NYSE: MSI); revenue ~$10.8B FY2024,Mission-critical comms/security vendor with strong free cash flow and race-control/security-operations relevance; not currently in motorsport sponsorship.
188,NEC Corporation,nec.com,Japan,Cybersecurity & Networking,"Network Equipment & Cybersecurity (biometrics, telecom infra)",105000,Public (TSE: 6701); revenue ~¥3.4T (~$23B) FY2024,"Japanese networking/security conglomerate (submarine cables, biometric security, telecom infra) seeking Western brand visibility; ties naturally to the Japan GP."
189,Nokia Corporation,nokia.com,Finland,Cybersecurity & Networking,Telecom Network Equipment,86000,Public (HEL/NYSE: NOKIA); revenue ~€19.2B FY2024,Tier-1 global network infrastructure vendor with a massive marketing budget and no F1 presence; strong connectivity/data narrative for trackside and broadcast tech.
190,OpenText,opentext.com,Canada,Cybersecurity & Networking,Information Management & Cybersecurity,22866,Public (NASDAQ/TSX: OTEX); revenue ~$5.8B FY2024,"Large, cash-generative enterprise software/security vendor with a global customer base and no existing marquee sports sponsorship platform."
191,Orange S.A. (Orange Cyberdefense),orange.com,France,Cybersecurity & Networking,Telecom & Managed Cybersecurity Services,127000,Public (Euronext Paris: ORA); revenue ~€40.3B FY2024,Orange Cyberdefense is one of Europe's largest MSSPs; parent telecom group has the scale and marketing budget for a top-tier motorsport deal.
192,Peraton,peraton.com,United States,Cybersecurity & Networking,Cyber & National Security Services,13585,Private (Veritas Capital); revenue est. ~$7B FY2024,Large privately-held cyber/intel contractor investing heavily in brand awareness beyond the federal buyer community.
193,SAIC,saic.com,United States,Cybersecurity & Networking,IT & Cybersecurity Services (government),24000,Public (NASDAQ: SAIC); revenue ~$7.4B FY2025,Large-cap government cyber/IT integrator with growth ambitions in commercial-adjacent branding; no current motorsport sponsorship.
194,Singtel,singtel.com,Singapore,Cybersecurity & Networking,Telecom & Cybersecurity/IT Services (NCS),23000,Public (SGX: Z74); revenue ~SGD 14.9B FY2024,Singapore hosts an F1 night race; Singtel's NCS cyber/IT-services arm gives a strong regional activation story and no current sponsorship overlap.
195,Sopra Steria,soprasteria.com,France,Cybersecurity & Networking,IT & Cybersecurity Services,57000,Public (Euronext Paris: SOP); revenue ~€5.8B FY2024,Major European digital-services group with a growing cybersecurity practice and no marquee global sports platform.
196,Telefónica (Telefónica Tech),telefonica.com,Spain,Cybersecurity & Networking,Telecom & Cybersecurity/IoT Services,104000,Public (BME: TEF); revenue ~€40.6B FY2024,"Telefónica Tech is a fast-growing dedicated cyber/cloud/IoT unit; Spain hosts a Grand Prix, giving a natural home-market activation angle."
197,Telstra (Telstra Purple),telstra.com,Australia,Cybersecurity & Networking,Telecom & Cybersecurity Services,29000,Public (ASX: TLS); revenue ~AU$23.0B FY2024,Australia hosts the season-opening Melbourne GP; Telstra's Purple cyber-services arm and network scale make it a natural regional sponsor candidate.
198,Thales Group,thalesgroup.com,France,Cybersecurity & Networking,Cyber & Digital (incl. Imperva) / Defense Electronics,81000,Public (Euronext Paris: HO); revenue ~€20.6B FY2024,European cyber & digital-identity leader (owns Imperva) with deep aerospace/defense-grade engineering credibility that mirrors F1's precision-engineering story.
199,Trend Micro (TrendAI),trendmicro.com,Japan,Cybersecurity & Networking,Enterprise/Cloud & AI Security,8048,Public (TSE: 4704); revenue ~$1.6B FY2024,"Japan-headquartered global cyber vendor without an F1 presence; growing AI-security push benefits from F1's tech-forward global audience, incl. Japan GP tie-in."
200,Unisys Corporation,unisys.com,United States,Cybersecurity & Networking,IT Security & Enterprise Computing,23433,Public (NYSE: UIS); revenue ~$2.03B FY2024,150-year-old technology brand (Stealth security suite) with global enterprise reach and no current motorsport sponsorship.
201,World Wide Technology (WWT),wwt.com,United States,Cybersecurity & Networking,Network & Cybersecurity Solutions Integrator,10486,Private; revenue est. ~$20B FY2024,One of the largest privately-held network/security integrators globally with a dedicated Global Cyber practice; no existing marquee sports platform.
202,Zscaler,zscaler.com,United States,Cybersecurity & Networking,Cloud Security / Zero Trust (SSE),9079,Public (NASDAQ: ZS); revenue ~$2.17B FY2024,High-growth SaaS security vendor with aggressive brand-building spend; zero-trust/low-latency network story maps well to F1's real-time race data operations.
203,Adobe,adobe.com,USA,Enterprise Software & Data,Creative & Digital Experience Software,29000,Revenue ~$21.5B FY2024 (public),Massive global marketing/creative software budget and a creative-storytelling brand angle; not currently in the F1 paddock despite deep ties to sports/entertainment marketing teams that are F1's exact buyer persona.
204,ADP,adp.com,USA,Enterprise Software & Data,HR / Payroll Cloud Software,64000,Revenue ~$19.2B FY2024 (public),Global HR-tech leader competing directly with F1 sponsor Workday and UKG; scale and marketing budget make it a strong prospect to counter-position against rivals already in the paddock.
205,Alibaba Group,alibabagroup.com,China,Enterprise Software & Data,Cloud Computing & Enterprise Technology,200000,Revenue ~RMB 996B (~$137B) FY2024 (public),Alibaba Cloud is one of the largest global cloud/enterprise-tech providers and a major APAC brand seeking international sports marketing (following Olympics sponsorship); no current F1 team deal.
206,Autodesk,autodesk.com,USA,Enterprise Software & Data,Design & Engineering Software,14000,Revenue ~$5.5B FY2024 (public),"Design/simulation software is directly relevant to car engineering narratives (CAD, generative design) that F1 teams and fans care about; strong natural content fit, not currently sponsoring."
207,AVEVA (Schneider Electric),aveva.com,United Kingdom,Enterprise Software & Data,Industrial / Engineering Software,6500,Revenue ~£1.4B (~$1.8B) FY2024 (parent-reported),"Industrial software brand under Schneider Electric aiming to raise standalone visibility; engineering-simulation narrative aligns with F1 factory/operations content, no current sponsorship."
208,Broadcom Inc.,broadcom.com,USA,Enterprise Software & Data,Enterprise Infrastructure Software & Semiconductors,37000,Revenue ~$51.6B FY2024 (public),"Owner of VMware and a top-tier infrastructure software/semis supplier with enormous marketing capacity; peers like Cisco/Dell/HPE are motorsport-active, Broadcom is not yet in F1."
209,Cadence Design Systems,cadence.com,USA,Enterprise Software & Data,Semiconductor / EDA Software,12700,Revenue ~$4.6B FY2024 (public),Direct competitor/peer to Synopsys in EDA; large enterprise marketing budget aimed at engineering audiences that overlap heavily with F1 fandom; not sponsoring any team currently.
210,Capgemini,capgemini.com,France,Enterprise Software & Data,IT Consulting & Systems Integration,340000,Revenue ~€22.1B (~$24B) FY2024 (public),"One of the largest global IT consulting/systems integration firms with a strong European base; comparable scale to F1-sponsor peers (Cognizant, DXC) but currently unsponsored."
211,Cloud Software Group,cloud.com,USA,Enterprise Software & Data,"Enterprise & Cloud Application Software (Citrix, TIBCO)",9481,"Revenue ~$4B est. FY2024 (private, Vista/Elliott-owned)","Owner of Citrix and TIBCO, both enterprise-workspace and integration software leaders; comparable to F1-sponsor Atlassian in developer/enterprise tooling reach, currently unsponsored."
212,Dassault Systèmes,3ds.com,France,Enterprise Software & Data,PLM / 3D Design Software,24000,Revenue ~€6.2B (~$6.7B) FY2024 (public),"3DEXPERIENCE/CATIA are used across motorsport and automotive engineering; natural 'virtual twin' storyline for car development, currently absent from the grid."
213,Databricks,databricks.com,USA,Enterprise Software & Data,Data & AI Platform,16418,"Revenue run-rate ~$3B 2024 est. (private, Series J)","One of the best-funded private data/AI companies globally with aggressive brand-building; F1's real-time telemetry and AI storyline is a natural platform showcase, currently unsponsored."
214,Datadog,datadoghq.com,USA,Enterprise Software & Data,Cloud Observability & Monitoring,10752,Revenue ~$2.68B FY2024 (public),"Observability platform whose real-time monitoring pitch mirrors F1 telemetry/operations use cases directly; strong content synergy, not currently sponsoring any team."
215,DocuSign,docusign.com,USA,Enterprise Software & Data,Agreement / e-Signature Cloud,7100,Revenue ~$2.9B FY2024 (public),Ubiquitous enterprise agreement-cloud brand seeking renewed growth narrative around its Intelligent Agreement Management platform; unclaimed in F1 sponsorship.
216,Equifax,equifax.com,USA,Enterprise Software & Data,Credit & Data Analytics,24000,Revenue ~$5.7B FY2024 (public),"Major global data and analytics company rebuilding brand trust post-breach; large-scale sports sponsorship could support reputation and awareness goals, unclaimed in F1 today."
217,Equinix,equinix.com,USA,Enterprise Software & Data,Data Center / Cloud Interconnection,13000,Revenue ~$8.7B FY2024 (public),"World's largest neutral data-center/interconnection operator; global colocation footprint pairs naturally with F1's international race calendar and low-latency data needs, unsponsored today."
218,Experian,experianplc.com,United Kingdom/Ireland,Enterprise Software & Data,Credit & Data Analytics,22000,"Revenue ~$7.2B FY2024 (ending Mar 2024, public)",Global consumer/business data and credit analytics giant with a UK heritage close to F1's Silverstone/Home teams; no current F1 sponsorship despite scale rivaling sponsors like S&P peers.
219,FIS (Fidelity National Information Services),fisglobal.com,USA,Enterprise Software & Data,Banking & Capital Markets Software,55000,Revenue ~$10.1B FY2024 (public),"Massive fintech infrastructure provider to global banks; comparable scale to sponsors like Oracle/HP, with an unclaimed opportunity to reach F1's finance-heavy hospitality audience."
220,Fiserv,fiserv.com,USA,Enterprise Software & Data,Financial Services Technology / Payments Software,41000,Revenue ~$20.2B FY2024 (public),"Global payments and banking technology giant (Clover, First Data) with the scale of current F1 sponsors like Mastercard/Visa but no team deal of its own."
221,Fujitsu,fujitsu.com,Japan,Enterprise Software & Data,IT Services & Enterprise Software,124000,Revenue ~¥3.7T (~$24B) FY2024 (public),Major global IT services/enterprise software company (Uvance digital transformation platform) with a strong Japan/APAC growth push and no current motorsport sponsorship.
222,HCLTech,hcltech.com,India,Enterprise Software & Data,IT Services & Engineering Software,223000,Revenue ~$13.3B FY2024 (public),Large global IT/engineering services company with deep automotive/engineering R&D outsourcing practice directly relevant to F1 team operations; currently no sponsorship presence.
223,HubSpot,hubspot.com,USA,Enterprise Software & Data,CRM / Marketing Cloud Software,8700,Revenue ~$2.6B FY2024 (public),"Fast-growing CRM/marketing platform aiming upmarket into enterprise, competing indirectly with Salesforce (a current F1 sponsor); F1 offers a high-visibility platform to build enterprise credibility."
224,Infor (Koch Industries),infor.com,USA,Enterprise Software & Data,Industry Cloud ERP Software,17000,"Revenue ~$3.4B est. 2023 (Koch-owned, private)","Backed by Koch Industries' balance sheet, Infor competes directly with SAP/Oracle/Workday (all current F1 sponsors) yet has no F1 presence of its own — an obvious competitive-parity pitch."
225,Infosys,infosys.com,India,Enterprise Software & Data,IT Services & Enterprise Software,317000,Revenue ~$18.7B FY2024 (public),"Global IT services and digital consulting leader (Infosys Cobalt cloud, AI) with strong brand ambitions in Europe and North America; no current F1 sponsorship despite comparable scale to rivals in the sport."
226,Intuit,intuit.com,USA,Enterprise Software & Data,Fintech / Accounting Software,18000,Revenue ~$16.3B FY2024 (public),"Consumer-facing fintech brand (QuickBooks, TurboTax, Mailchimp) with large ad budgets and SMB-to-enterprise ambitions; no current F1 presence unlike payment-adjacent rivals in the grid."
227,Jack Henry & Associates,jackhenry.com,USA,Enterprise Software & Data,Core Banking Software,8542,Revenue ~$2.2B FY2024 (public),Core banking/fintech software provider to thousands of US banks and credit unions seeking broader brand awareness beyond its core market; no motorsport presence today.
228,MongoDB,mongodb.com,USA,Enterprise Software & Data,Database Platform,8049,Revenue ~$1.68B FY2024 (public),"Developer-first database brand seeking enterprise credibility at scale; F1's global tech-audience reach fits its enterprise sales expansion, no existing motorsport sponsorship."
229,Moody's Corporation,moodys.com,USA,Enterprise Software & Data,"Ratings, Data & Analytics",15000,Revenue ~$6.9B FY2024 (public),"Global ratings/analytics leader with deep enterprise and government relationships; F1's international executive reach fits its brand-visibility goals, currently untapped."
230,NICE Ltd,nice.com,Israel,Enterprise Software & Data,CX / Contact Center Software,14266,Revenue ~$2.7B FY2024 (public),Global leader in AI-powered customer experience software competing with F1 sponsor Genesys; strong case for a counter-sponsorship given comparable scale and no current F1 deal.
231,Nutanix,nutanix.com,USA,Enterprise Software & Data,Hyperconverged / Hybrid Cloud Infrastructure,10012,Revenue ~$2.15B FY2024 (public),"Hybrid-cloud infrastructure competitor to VMware/Dell with global enterprise ambitions; no current F1 presence despite rivals (Dell, HPE) being motorsport-active."
232,Paychex,paychex.com,USA,Enterprise Software & Data,HR / Payroll Cloud Software,16000,Revenue ~$5.3B FY2024 (public),"Large US HR/payroll SaaS provider serving SMB-to-enterprise clients; no current sports sponsorship at this scale, and F1 offers a premium brand-building platform."
233,Rackspace Technology,rackspace.com,USA,Enterprise Software & Data,Managed Cloud Services,6907,Revenue ~$2.9B FY2024 (public),"Enterprise cloud/AI operations provider repositioning its brand post-turnaround; F1 sponsorship would be a high-visibility relaunch vehicle, currently absent from the sport."
